num_opportunities,EMP_2016,EMP_2016,,ERP_2016,,
96,1128883.537,1127704.296,1179.241,45.55049807,1.12E+01,
97,1116842.051,1110761.828,6080.223,15.50459424,3.77E+00,
98,1137091.631,1135278.43,1813.201,53.49065266,1.32E+01,
99,982729.0615,975062.1668,7666.8947,25.07363012,5.37E+00,
100,944044.466,936152.218,7892.248,17.63874771,3.63E+00,
101,1055986.93,1046674.302,9312.628,135.3819332,3.11E+01,
102,1100968.487,1093102.549,7865.938,287.0059773,6.88E+01,
103,1185907.688,1185230.487,677.201,40.31551903,1.04E+01,
104,1185840.438,1185163.237,677.201,51.9605084,1.34E+01,
105,1202584.334,1201405.094,1179.24,765.564986,2.00E+02,
106,1134601.83,1132742.759,1859.071,0.00010299,2.54E-05,
107,1072323.662,1070963.461,1360.201,18.86468334,4.40E+00,
108,863812.0671,854858.904,8953.1631,3.8538967,7.25E-01,
109,1028199.56,1019048.326,9151.234,1615.752238,3.62E+02,
110,1086935.082,1079069.145,7865.937,2041.139664,4.83E+02,
111,1147611.734,1147428.45,183.284,819.0363561,2.05E+02,
112,1176748.374,1176071.172,677.202,0.00010299,2.64E-05,
113,1123213.054,1121621.266,1591.788,725.5933355,1.77E+02,
114,1092739.595,1090699.76,2039.835,97.40837708,2.32E+01,
115,1064308.836,1062495.635,1813.201,543.2621322,1.26E+02,
116,1083638.65,1082534.106,1104.544,191.8006225,4.53E+01,
117,980740.5796,977111.7454,3628.8342,1096.877077,2.34E+02,
118,1037053.194,1036030.019,1023.175,1537.346575,3.47E+02,
119,1039031.605,1038420.978,610.627,1733.533719,3.92E+02,
120,1016595.27,1015359.84,1235.43,402.6870641,8.91E+01,
121,1060567.378,1059976.821,590.557,0.00010299,2.38E-05,
122,1032009.924,1031419.366,590.558,725.7637604,1.63E+02,
123,980185.5021,978561.1529,1624.3492,267.1532931,5.70E+01,
124,960189.3779,960189.3779,0,616.9085712,1.29E+02,
125,942323.1714,933838.6197,8484.5517,32.23551107,6.61E+00,
126,944818.3007,942037.4607,2780.84,124.2987941,2.56E+01,
127,1017331.568,1016686.696,644.872,26.36346757,5.84E+00,
128,1034824.744,1033739.204,1085.54,2.925833985,6.59E-01,
129,1057663.318,1057052.691,610.627,47.58518228,1.10E+01,
130,1034813.345,1034202.718,610.627,988.8130299,2.23E+02,
131,994005.8034,993193.0193,812.7841,3289.806615,7.12E+02,
132,991180.004,990589.4463,590.5577,29.92842902,6.46E+00,
133,1041856.87,1041246.244,610.626,8.728155037,1.98E+00,
134,1090365.856,1089775.298,590.558,38.0301172,9.03E+00,
135,1007182.521,1006591.963,590.558,981.5520766,2.15E+02,
136,871718.9421,868819.541,2899.4011,681.8316237,1.29E+02,
137,1007418.746,1006828.188,590.558,0.405635506,8.90E-02,
138,1066038.237,1065427.61,610.627,10.63032909,2.47E+00,
139,1050021.811,1049835.898,185.913,0.00010299,2.35E-05,
140,1013255.91,1012511.968,743.942,0.00010299,2.27E-05,
141,990291.7691,989478.985,812.7841,15.2984667,3.30E+00,
142,1026629.772,1026039.214,590.558,365.1748832,8.16E+01,
143,1078493.465,1077478.195,1015.27,0.00010299,2.42E-05,
144,987122.3234,985828.5724,1293.751,1119.399227,2.41E+02,
145,1091823.069,1091212.442,610.627,56.6822071,1.35E+01,
146,1205513.997,1204923.44,590.557,140.1721887,3.68E+01,
147,436501.7124,436501.7124,0,0.00010299,9.79E-06,
148,481452.8722,477526.9026,3925.9696,0.00010299,1.08E-05,
149,963702.4961,949631.4523,14071.0438,802.8836932,1.68E+02,
150,930413.8061,922666.4151,7747.391,0.00010299,2.09E-05,
151,802353.8011,801522.9676,830.8335,401.8165556,7.02E+01,
152,738364.025,731423.6395,6940.3855,3737.743639,6.01E+02,
153,898126.9744,891439.9584,6687.016,1510.146795,2.95E+02,
154,1008284.788,1000663.858,7620.93,1559.560076,3.42E+02,
155,913699.3521,905013.2495,8686.1026,943.8032282,1.88E+02,
156,858784.5753,851750.3766,7034.1987,3633.875283,6.79E+02,
157,798430.2225,790912.8273,7517.3952,3800.730356,6.61E+02,
158,814260.6352,813082.6189,1178.0163,3283.296511,5.82E+02,
159,846614.2684,844019.1415,2595.1269,1500.507026,2.77E+02,
160,939351.5018,932969.7093,6381.7925,875.2958609,1.79E+02,
161,1180599.301,1172954.585,7644.716,106.3106535,2.73E+01,
162,1126328.393,1125072.894,1255.499,156.4057365,3.84E+01,
163,582605.2071,572403.4644,10201.7427,4206.023084,5.34E+02,
164,659128.3048,637800.9637,21327.3411,400.996756,5.75E+01,
165,776614.499,752523.5449,24090.9541,1920.097246,3.25E+02,
166,701058.1651,675012.2709,26045.8942,1941.237516,2.96E+02,
167,633529.4354,611072.9293,22456.5061,3317.857257,4.58E+02,
168,934716.8876,926535.1315,8181.7561,962.3629579,1.96E+02,
169,857754.1962,850222.6832,7531.513,988.023129,1.85E+02,
170,885441.8947,865039.95,20401.9447,1398.124242,2.70E+02,
171,927224.5243,914735.3845,12489.1398,2755.475013,5.56E+02,
172,833749.1831,796820.1532,36929.0299,855.8816531,1.55E+02,
173,730440.3505,693439.7548,37000.5957,4026.921145,6.40E+02,
174,1127042.307,1120177.749,6864.558,0.00010299,2.53E-05,
175,838159.4869,837568.9292,590.5577,416.7384014,7.61E+01,
176,976937.9479,969485.7691,7452.1788,396.9347117,8.44E+01,
177,957812.8245,957222.2668,590.5577,431.3345821,9.00E+01,
178,918969.64,917518.4873,1451.1527,1694.388197,3.39E+02,
179,879518.8557,861392.5608,18126.2949,2088.573095,4.00E+02,
180,773262.8752,750599.9176,22662.9576,3215.932292,5.41E+02,
181,931861.7798,931861.7798,0,154.03312,3.13E+01,
182,885604.8568,885604.8568,0,1785.965084,3.44E+02,
183,810860.8041,810270.2464,590.5577,559.8478427,9.88E+01,
184,885742.2654,885742.2654,0,733.0218813,1.41E+02,
185,838850.5736,838850.5736,0,765.2307928,1.40E+02,
186,715590.8891,715590.8891,0,1401.717228,2.18E+02,
187,954648.1651,944944.0027,9704.1624,463.5074394,9.63E+01,
188,940217.1754,939626.6177,590.5577,2082.78879,4.26E+02,
189,956761.3842,956348.8359,412.5483,335.5002462,6.99E+01,
190,896963.6988,896551.1505,412.5483,18.65157149,3.64E+00,
191,876823.6036,876823.6036,0,276.4288708,5.28E+01,
192,1009040.707,1009040.707,0,779.0516504,1.71E+02,
193,942763.6354,942763.6354,0,1397.851554,2.87E+02,
194,1133185.816,1133185.816,0,0.058064883,1.43E-02,
195,1004646.808,1004056.251,590.557,768.4921023,1.68E+02,
196,855608.0319,855608.0319,0,2570.008504,4.79E+02,
197,1145997.31,1145572.598,424.712,596.508066,1.49E+02,
198,995262.6078,994672.0501,590.5577,1190.290257,2.58E+02,
199,855397.5355,855397.5355,0,2572.946921,4.79E+02,
200,1023961.38,1023370.822,590.558,19.59265067,4.37E+00,
201,979757.8656,979167.3079,590.5577,3319.60921,7.08E+02,
202,861345.5745,860464.3718,881.2027,1818.221543,3.41E+02,
205,952089.3888,944485.761,7603.6278,1176.268199,2.44E+02,
206,870786.3667,867482.1437,3304.223,3788.913002,7.18E+02,
207,836342.4023,829655.3863,6687.016,3293.28886,6.00E+02,
208,1087765.989,1086530.559,1235.43,0.000106658,2.53E-05,
209,901977.0326,899219.82,2757.2126,888.3124827,1.74E+02,
210,1065779.143,1058987.725,6791.418,1051.113321,2.44E+02,
211,1060873.589,1053177.377,7696.212,880.1982681,2.03E+02,
212,934549.834,928431.3596,6118.4744,2241.42511,4.56E+02,
213,868297.5659,866398.3033,1899.2626,732.4879464,1.38E+02,
214,799732.4618,798583.8383,1148.6235,1761.467124,3.07E+02,
215,1140983.311,1140160.429,822.882,1537.885857,3.82E+02,
216,899364.9362,891529.7511,7835.1851,178.2657128,3.49E+01,
217,1023393.553,1016032.284,7361.269,422.0436021,9.40E+01,
218,915128.1921,912218.9236,2909.2685,1438.397717,2.87E+02,
219,890127.4448,887833.2277,2294.2171,1533.723374,2.97E+02,
220,806957.5208,806126.6872,830.8336,880.3732715,1.55E+02,
221,722104.7971,721273.9635,830.8336,1456.997777,2.29E+02,
222,917308.6951,913641.9456,3666.7495,0.000106658,2.13E-05,
223,686600.6665,679660.281,6940.3855,524.8379544,7.85E+01,
224,1007021.172,1004836.806,2184.366,0.000106658,2.34E-05,
225,711902.1268,711902.1268,0,0.000106658,1.65E-05,
226,541348.4763,541348.4763,0,1780.474452,2.10E+02,
227,642340.6742,642340.6742,0,3008.323102,4.21E+02,
228,658704.7339,658704.7339,0,2692.316866,3.86E+02,
229,611497.5891,611497.5891,0,3334.655024,4.44E+02,
230,561528.5035,561528.5035,0,3590.056708,4.39E+02,
231,699212.4504,699212.4504,0,2661.349366,4.05E+02,
232,715284.1313,714453.2978,830.8335,1745.419444,2.72E+02,
233,719937.4398,712997.0543,6940.3855,2017.405038,3.16E+02,
236,686204.7391,686204.7391,0,1422.957496,2.13E+02,
237,585019.6773,585019.6773,0,1643.675357,2.09E+02,
238,627293.0698,627293.0698,0,342.8875586,4.68E+01,
239,851107.616,844420.6,6687.016,625.9179253,1.16E+02,
240,1039364.231,1031867.723,7496.508,1301.419214,2.95E+02,
241,656601.3791,656601.3791,0,1628.008541,2.33E+02,
242,754482.2101,754482.2101,0,2617.974598,4.30E+02,
243,769180.9454,768350.1118,830.8336,1173.830968,1.97E+02,
244,1029038.808,1026367.024,2671.784,553.0395378,1.24E+02,
245,815797.0123,814966.1787,830.8336,2212.322931,3.93E+02,
246,817661.9563,816831.1227,830.8336,1917.14988,3.41E+02,
247,828424.2699,821737.2539,6687.016,1191.479637,2.15E+02,
248,853563.5335,846876.5175,6687.016,1636.834087,3.04E+02,
