member_sha256,component_group,member_path,scenario_member_count,member_bytes,component_gzip_bytes,component_parts
3d244cb940840266b1c4a851fe595c33eb6452834a1db9623286ebdb7c68a9d7,3d244cb940840266,agency.txt,29,35910,4765,data/scenario_gtfs_components/3d244cb940840266/agency.txt.gz.part01
83f9519c1862051450997490e764edc1a570c9b84d7ef8efb5d2e93c598102fd,83f9519c18620514,calendar.txt,29,124662,10507,data/scenario_gtfs_components/83f9519c18620514/calendar.txt.gz.part01
b874fb7fe9f7c216e67493eba0e78a5b282ccd00cf641f8aa1c2339acc36ad4f,b874fb7fe9f7c216,calendar_dates.txt,29,721876,71008,data/scenario_gtfs_components/b874fb7fe9f7c216/calendar_dates.txt.gz.part01
8036aabb64bffffa20966ba888a0cd18033d6a0082e14e1b1ca05af3c2ac4ad0,8036aabb64bffffa,levels.txt,29,162,91,data/scenario_gtfs_components/8036aabb64bffffa/levels.txt.gz.part01
c7d1b93111cd314985cb5065cbf4db8e95e26a655de9e4a61976abc9579732c5,c7d1b93111cd3149,notes.txt,29,68758,19263,data/scenario_gtfs_components/c7d1b93111cd3149/notes.txt.gz.part01
8308fd8ad39a82dafbcb8d5ccaa11908a2ac9f9fbacb817656c481248712046e,8308fd8ad39a82da,pathways.txt,29,342004,48714,data/scenario_gtfs_components/8308fd8ad39a82da/pathways.txt.gz.part01
ad17445129f3147ca9708acde9eafd1aedbf75255437d7b01b8644826acc6fc4,ad17445129f3147c,routes.txt,24,1149036,166285,data/scenario_gtfs_components/ad17445129f3147c/routes.txt.gz.part01
9cc64a8009cd2f905fb5dd0b4957a9d367997645d8fc01133afd2384683686a1,9cc64a8009cd2f90,trips.txt,24,24118158,1423126,data/scenario_gtfs_components/9cc64a8009cd2f90/trips.txt.gz.part01
13001934bf69ef4f12bdc2af980802aa444818984aeb969edc22854bffa10b90,13001934bf69ef4f,stops.txt,7,16142211,4483949,data/scenario_gtfs_components/13001934bf69ef4f/stops.txt.gz.part01
9b92c53dc5b3a598007c2404710ab24e23a4568ff038a3aba2bed65e310f87f4,9b92c53dc5b3a598,stop_times.txt,3,290248520,42623876,data/scenario_gtfs_components/9b92c53dc5b3a598/stop_times.txt.gz.part01
dda0af8cbee053ca54b5f52c241c6e4cbb95f579bedefe71eef1b2dccead1248,dda0af8cbee053ca,stop_times.txt,3,290150697,42615312,data/scenario_gtfs_components/dda0af8cbee053ca/stop_times.txt.gz.part01
fb51d1dc66fa27d43b25ee0681954b934ae5dad675cb445ae6ebf8cbdfb70df5,fb51d1dc66fa27d4,routes.txt,2,1149134,166299,data/scenario_gtfs_components/fb51d1dc66fa27d4/routes.txt.gz.part01
621b09f1e011e3b59936e235178f4f5a4d52891c47ae595991aa9cf18591947b,621b09f1e011e3b5,stop_times.txt,2,290022005,42608163,data/scenario_gtfs_components/621b09f1e011e3b5/stop_times.txt.gz.part01
92315b47fd2c6f7ab069cff20754a3366482c68d4a713c326fc4014dc24c9983,92315b47fd2c6f7a,stops.txt,2,16142175,4483968,data/scenario_gtfs_components/92315b47fd2c6f7a/stops.txt.gz.part01
c5e58fb61a938e8197c84501b91d6825efb171d8f60aa35953eefae0a5935cb0,c5e58fb61a938e81,stops.txt,2,16142213,4483950,data/scenario_gtfs_components/c5e58fb61a938e81/stops.txt.gz.part01
c6148d91a925c3b41c91d2d2cc602acbb4f4d10dfe48358824f5c0e836d69ca8,c6148d91a925c3b4,stops.txt,2,16145060,4484496,data/scenario_gtfs_components/c6148d91a925c3b4/stops.txt.gz.part01
fb2e62f9f4ca1b6905c4dde7d004aef804854f1d10dcea5e4e8dcb00a9148d82,fb2e62f9f4ca1b69,stops.txt,2,16142396,4483991,data/scenario_gtfs_components/fb2e62f9f4ca1b69/stops.txt.gz.part01
241e1000dcedd300c0f4026985f188a12df83889d3fef2f21ec5b463627d00de,241e1000dcedd300,trips.txt,2,24123126,1423352,data/scenario_gtfs_components/241e1000dcedd300/trips.txt.gz.part01
1077121cfea7267d34819bc2b008dd5f5f9e79c244f56b76744da3b39459f7db,1077121cfea7267d,routes.txt,1,1150900,166550,data/scenario_gtfs_components/1077121cfea7267d/routes.txt.gz.part01
16d1b5e0d2927d01218c46c54be7753b4e5b17b16ab5c33c36c5f7ce0522df6f,16d1b5e0d2927d01,routes.txt,1,1149133,166298,data/scenario_gtfs_components/16d1b5e0d2927d01/routes.txt.gz.part01
51600650d39529a343488389b4113f6baead80234ca28f09cb9bb947fe95137c,51600650d39529a3,routes.txt,1,1150276,166476,data/scenario_gtfs_components/51600650d39529a3/routes.txt.gz.part01
00ca2d5ed12e195d067bf84bb2cd39a578dd17857abe4c7a47d9c788b3af51b1,00ca2d5ed12e195d,stop_times.txt,1,290216043,42635843,data/scenario_gtfs_components/00ca2d5ed12e195d/stop_times.txt.gz.part01
14e11a15b78759879139939a6a9edfa4d14b24f145050b6eb693319b2aa85734,14e11a15b7875987,stop_times.txt,1,290052906,42613541,data/scenario_gtfs_components/14e11a15b7875987/stop_times.txt.gz.part01
