source_no_shapes_zip,scenario_original_zip,member_path,member_sha256,member_bytes,original_zip_entry_compressed_bytes,component_group,component_parts,component_gzip_bytes,component_gzip_sha256,representative_no_shapes_zip,representative_member_path
data/scenario_gtfs_no_shapes/1974_v2_no_shapes.zip,1974_v2.zip,stop_times.txt,262ad41df373e654e3e9ac78bd7da278f00c8edbc0988249021c3e8551b502f7,290150697,42614922,262ad41df373e654,data/scenario_gtfs_components/262ad41df373e654/stop_times.txt.gz.part01,42614940,81778a4bb7c361122bfcbff41ef5c6a972cf646ca90dfea0331d6a7b63d7131d,data/scenario_gtfs_no_shapes/1974_v2_no_shapes.zip,stop_times.txt
data/scenario_gtfs_no_shapes/1974_v2_no_shapes.zip,1974_v2.zip,stops.txt,df836b6d56b3d30031eacb1c360de143a516c9ae284a849b7cbd65e8b49da574,16141028,4483687,df836b6d56b3d300,data/scenario_gtfs_components/df836b6d56b3d300/stops.txt.gz.part01,4483705,c5bf97010d9beb19fc9da9ff9a0c2e6c313e026fb94b6c79f3224c32818d8342,data/scenario_gtfs_no_shapes/1974_v2_no_shapes.zip,stops.txt
data/scenario_gtfs_no_shapes/1974_v2_no_shapes.zip,1974_v2.zip,trips.txt,9cc64a8009cd2f905fb5dd0b4957a9d367997645d8fc01133afd2384683686a1,24118158,1423108,9cc64a8009cd2f90,data/scenario_gtfs_components/9cc64a8009cd2f90/trips.txt.gz.part01,1423126,69e9b96413fca4d76bca754d76ed956ca901885beb7756546cc025a34e1693ed,data/scenario_gtfs_no_shapes/1974_v2_no_shapes.zip,trips.txt
data/scenario_gtfs_no_shapes/1974_v2_no_shapes.zip,1974_v2.zip,routes.txt,ad17445129f3147ca9708acde9eafd1aedbf75255437d7b01b8644826acc6fc4,1149036,166267,ad17445129f3147c,data/scenario_gtfs_components/ad17445129f3147c/routes.txt.gz.part01,166285,8b6055eb8d0f90c019862c2b5fcb92e86dd548832a72e0c9feab35d3fa6ada54,data/scenario_gtfs_no_shapes/1974_v2_no_shapes.zip,routes.txt
data/scenario_gtfs_no_shapes/1974_v2_no_shapes.zip,1974_v2.zip,levels.txt,8036aabb64bffffa20966ba888a0cd18033d6a0082e14e1b1ca05af3c2ac4ad0,162,73,8036aabb64bffffa,data/scenario_gtfs_components/8036aabb64bffffa/levels.txt.gz.part01,91,de090cc91af09acd3b33cca9f3cc9014e7191bbb57f68fa11ecb481cdf60987a,data/scenario_gtfs_no_shapes/1974_v2_no_shapes.zip,levels.txt
data/scenario_gtfs_no_shapes/1974_v2_no_shapes.zip,1974_v2.zip,notes.txt,c7d1b93111cd314985cb5065cbf4db8e95e26a655de9e4a61976abc9579732c5,68758,19245,c7d1b93111cd3149,data/scenario_gtfs_components/c7d1b93111cd3149/notes.txt.gz.part01,19263,e46b336920e4eb028b6e83b0e392e304e1019958abf2cdcc66aa878da276b523,data/scenario_gtfs_no_shapes/1974_v2_no_shapes.zip,notes.txt
data/scenario_gtfs_no_shapes/1974_v2_no_shapes.zip,1974_v2.zip,pathways.txt,8308fd8ad39a82dafbcb8d5ccaa11908a2ac9f9fbacb817656c481248712046e,342004,48696,8308fd8ad39a82da,data/scenario_gtfs_components/8308fd8ad39a82da/pathways.txt.gz.part01,48714,a78909d0aff6559f60b572b4376039130e08bc40a0d58026f57464bfac3ddc16,data/scenario_gtfs_no_shapes/1974_v2_no_shapes.zip,pathways.txt
data/scenario_gtfs_no_shapes/1974_v2_no_shapes.zip,1974_v2.zip,agency.txt,3d244cb940840266b1c4a851fe595c33eb6452834a1db9623286ebdb7c68a9d7,35910,4747,3d244cb940840266,data/scenario_gtfs_components/3d244cb940840266/agency.txt.gz.part01,4765,bfb82e7c32fd85ab0dc1a6862313977a79afe5fe0faedf639a990fd9f85437d8,data/scenario_gtfs_no_shapes/1974_v2_no_shapes.zip,agency.txt
data/scenario_gtfs_no_shapes/1974_v2_no_shapes.zip,1974_v2.zip,calendar.txt,83f9519c1862051450997490e764edc1a570c9b84d7ef8efb5d2e93c598102fd,124662,10489,83f9519c18620514,data/scenario_gtfs_components/83f9519c18620514/calendar.txt.gz.part01,10507,f2e9c5b13470a99d049bedb84813d6111236994891a4d7dad7622ebe94a4794d,data/scenario_gtfs_no_shapes/1974_v2_no_shapes.zip,calendar.txt
data/scenario_gtfs_no_shapes/1974_v2_no_shapes.zip,1974_v2.zip,calendar_dates.txt,b874fb7fe9f7c216e67493eba0e78a5b282ccd00cf641f8aa1c2339acc36ad4f,721876,70990,b874fb7fe9f7c216,data/scenario_gtfs_components/b874fb7fe9f7c216/calendar_dates.txt.gz.part01,71008,a40faf924596d335fee73cb92d8ac0e726045fa657f08d6421b65ef665df9547,data/scenario_gtfs_no_shapes/1974_v2_no_shapes.zip,calendar_dates.txt
data/scenario_gtfs_no_shapes/2001_v2_no_shapes.zip,2001_v2.zip,stops.txt,b270d6b972a01766a0c95b2a3800f1f0e9e80f76b41f233c94273ab840c81018,16140568,4483590,b270d6b972a01766,data/scenario_gtfs_components/b270d6b972a01766/stops.txt.gz.part01,4483608,35689f2efcdbf4b64ea569115b0f46c156bc81ada2230227a88df0aa8ce49750,data/scenario_gtfs_no_shapes/2001_v2_no_shapes.zip,stops.txt
data/scenario_gtfs_no_shapes/2001_v2_no_shapes.zip,2001_v2.zip,stop_times.txt,14e11a15b78759879139939a6a9edfa4d14b24f145050b6eb693319b2aa85734,290052906,42613523,14e11a15b7875987,data/scenario_gtfs_components/14e11a15b7875987/stop_times.txt.gz.part01,42613541,4c57d9b80be62f9f08caaa3f29e9e45c61cdb4b7cb996b6be55a2710545d13f8,data/scenario_gtfs_no_shapes/2001_v2_no_shapes.zip,stop_times.txt
data/scenario_gtfs_no_shapes/2001_v2_no_shapes.zip,2001_v2.zip,trips.txt,9cc64a8009cd2f905fb5dd0b4957a9d367997645d8fc01133afd2384683686a1,24118158,1423108,9cc64a8009cd2f90,data/scenario_gtfs_components/9cc64a8009cd2f90/trips.txt.gz.part01,1423126,69e9b96413fca4d76bca754d76ed956ca901885beb7756546cc025a34e1693ed,data/scenario_gtfs_no_shapes/1974_v2_no_shapes.zip,trips.txt
data/scenario_gtfs_no_shapes/2001_v2_no_shapes.zip,2001_v2.zip,routes.txt,ad17445129f3147ca9708acde9eafd1aedbf75255437d7b01b8644826acc6fc4,1149036,166267,ad17445129f3147c,data/scenario_gtfs_components/ad17445129f3147c/routes.txt.gz.part01,166285,8b6055eb8d0f90c019862c2b5fcb92e86dd548832a72e0c9feab35d3fa6ada54,data/scenario_gtfs_no_shapes/1974_v2_no_shapes.zip,routes.txt
data/scenario_gtfs_no_shapes/2001_v2_no_shapes.zip,2001_v2.zip,levels.txt,8036aabb64bffffa20966ba888a0cd18033d6a0082e14e1b1ca05af3c2ac4ad0,162,73,8036aabb64bffffa,data/scenario_gtfs_components/8036aabb64bffffa/levels.txt.gz.part01,91,de090cc91af09acd3b33cca9f3cc9014e7191bbb57f68fa11ecb481cdf60987a,data/scenario_gtfs_no_shapes/1974_v2_no_shapes.zip,levels.txt
data/scenario_gtfs_no_shapes/2001_v2_no_shapes.zip,2001_v2.zip,notes.txt,c7d1b93111cd314985cb5065cbf4db8e95e26a655de9e4a61976abc9579732c5,68758,19245,c7d1b93111cd3149,data/scenario_gtfs_components/c7d1b93111cd3149/notes.txt.gz.part01,19263,e46b336920e4eb028b6e83b0e392e304e1019958abf2cdcc66aa878da276b523,data/scenario_gtfs_no_shapes/1974_v2_no_shapes.zip,notes.txt
data/scenario_gtfs_no_shapes/2001_v2_no_shapes.zip,2001_v2.zip,pathways.txt,8308fd8ad39a82dafbcb8d5ccaa11908a2ac9f9fbacb817656c481248712046e,342004,48696,8308fd8ad39a82da,data/scenario_gtfs_components/8308fd8ad39a82da/pathways.txt.gz.part01,48714,a78909d0aff6559f60b572b4376039130e08bc40a0d58026f57464bfac3ddc16,data/scenario_gtfs_no_shapes/1974_v2_no_shapes.zip,pathways.txt
data/scenario_gtfs_no_shapes/2001_v2_no_shapes.zip,2001_v2.zip,agency.txt,3d244cb940840266b1c4a851fe595c33eb6452834a1db9623286ebdb7c68a9d7,35910,4747,3d244cb940840266,data/scenario_gtfs_components/3d244cb940840266/agency.txt.gz.part01,4765,bfb82e7c32fd85ab0dc1a6862313977a79afe5fe0faedf639a990fd9f85437d8,data/scenario_gtfs_no_shapes/1974_v2_no_shapes.zip,agency.txt
data/scenario_gtfs_no_shapes/2001_v2_no_shapes.zip,2001_v2.zip,calendar.txt,83f9519c1862051450997490e764edc1a570c9b84d7ef8efb5d2e93c598102fd,124662,10489,83f9519c18620514,data/scenario_gtfs_components/83f9519c18620514/calendar.txt.gz.part01,10507,f2e9c5b13470a99d049bedb84813d6111236994891a4d7dad7622ebe94a4794d,data/scenario_gtfs_no_shapes/1974_v2_no_shapes.zip,calendar.txt
data/scenario_gtfs_no_shapes/2001_v2_no_shapes.zip,2001_v2.zip,calendar_dates.txt,b874fb7fe9f7c216e67493eba0e78a5b282ccd00cf641f8aa1c2339acc36ad4f,721876,70990,b874fb7fe9f7c216,data/scenario_gtfs_components/b874fb7fe9f7c216/calendar_dates.txt.gz.part01,71008,a40faf924596d335fee73cb92d8ac0e726045fa657f08d6421b65ef665df9547,data/scenario_gtfs_no_shapes/1974_v2_no_shapes.zip,calendar_dates.txt
data/scenario_gtfs_no_shapes/2056_stage1_v2_no_shapes.zip,2056_stage1_v2.zip,stop_times.txt,bf64220af19d91e2d6da02678a0caf35d87964eaf7e591f1c95133953ba007c1,290022005,42608266,bf64220af19d91e2,data/scenario_gtfs_components/bf64220af19d91e2/stop_times.txt.gz.part01,42608284,ba4f7bfbe3c2b3647790a6ded8e3127abb930effbd970929d02cbca6b338cf07,data/scenario_gtfs_no_shapes/2056_stage1_v2_no_shapes.zip,stop_times.txt
data/scenario_gtfs_no_shapes/2056_stage1_v2_no_shapes.zip,2056_stage1_v2.zip,stops.txt,fb2e62f9f4ca1b6905c4dde7d004aef804854f1d10dcea5e4e8dcb00a9148d82,16142396,4483973,fb2e62f9f4ca1b69,data/scenario_gtfs_components/fb2e62f9f4ca1b69/stops.txt.gz.part01,4483991,f758e18318bde1ea1dbe9418e2366171531623e268e17e38c040a70071d4e276,data/scenario_gtfs_no_shapes/2056_stage1_v2_no_shapes.zip,stops.txt
