num_opportunities,EMP_2016,,
1,1102908.879091282,1099931.164306382,2977.714785
2,1188982.000631812,1188749.676568212,232.3240636
3,1337532.575093592,1336597.471175692,935.1039179
4,1435988.6049191111,1434338.518062611,1650.086857
5,1427140.8340027242,1425828.113264424,1312.720738
6,1144015.318065412,1144015.318065412,0
7,1224792.857207762,1224440.232255362,352.6249524
8,1204281.651989964,1203647.425471564,634.2265184
9,1090274.5425701821,1089044.080309682,1230.462261
10,1177668.975260864,1177436.6511972642,232.3240636
11,1103143.174285132,1103143.174285132,0
12,1139271.521090532,1139271.521090532,0
13,1261551.986062014,1260453.6572510141,1098.328811
14,1281742.075207724,1280429.354469424,1312.720738
15,1191016.834349364,1190614.931894564,401.9024548
16,1301078.416383814,1299324.508467714,1753.907916
17,1207860.2818462641,1207419.094668464,441.1871778
18,1259894.428018282,1258727.352335582,1167.075683
19,1262483.130783182,1261316.055100482,1167.075683
20,1316845.046603484,1315359.115174784,1485.931429
21,1348403.6051309542,1346300.2797801541,2103.325351
22,1410726.537000024,1408220.392161024,2506.144839
23,1392028.4586439142,1391814.0667166142,214.3919273
24,1322813.226581714,1321500.505843414,1312.720738
25,1431606.6042815042,1429100.459442504,2506.144839
26,1509892.3742860912,1509892.3742860912,0
27,1442096.074902524,1439892.511148324,2203.563754
28,1455463.1836042241,1452619.672647024,2843.510957
29,1502240.914049481,1497092.1921843812,5148.721865
30,1461621.880506731,1459115.7356677311,2506.144839
31,1453535.267662391,1451409.389030691,2125.878632
32,1476578.4451269412,1475724.105996641,854.3391303
33,1434478.4586625812,1434478.4586625812,0
34,1425782.250191061,1425782.250191061,0
35,1266565.9820865642,1265153.0229448641,1412.959142
36,1486033.459124916,1484167.2614889161,1866.197636
37,1535386.9343186961,1533520.736682696,1866.197636
38,1546214.069162066,1543904.906033766,2309.163128
39,1551468.3626606362,1546883.191499436,4585.171161
40,1552662.934561786,1548153.8820412161,4509.052521
41,1522074.299743291,1520121.631801991,1952.667941
42,1500845.460064751,1498892.7921234511,1952.667941
43,1477105.820765601,1477008.7287158312,97.09204977
44,1473073.022826466,1473073.022826466,0
45,1451599.848052371,1448935.4662465712,2664.381806
46,1573884.956473086,1571932.288531786,1952.667941
47,1579796.099262536,1576696.859530036,3099.239732
48,1588025.2940807762,1583613.333609976,4411.960471
49,1535958.9402087561,1534006.2722674562,1952.667941
50,1537749.947391336,1537749.947391336,0
51,1523933.8090226362,1523933.8090226362,0
52,1537695.0063032561,1535235.713773756,2459.29253
53,1435166.9398242212,1433753.9806825211,1412.959142
54,1548108.350127446,1545799.1869991461,2309.163128
55,1568993.967761636,1567041.299820336,1952.667941
56,1575940.7584806161,1574381.388965116,1559.369516
57,1580189.031560471,1577632.6469812011,2556.384579
58,1571129.9587401962,1569909.896369196,1220.062371
59,1548847.7296874062,1547928.307374906,919.4223125
60,1465391.171621909,1464171.109250909,1220.062371
61,1533215.9544140361,1531584.226182836,1631.728231
62,1524771.2729893662,1523551.210618366,1220.062371
63,1495749.098428586,1494529.036057586,1220.062371
64,1100057.082359252,1100057.082359252,0
65,1370577.855598152,1367756.414083752,2821.441514
66,1408209.712763694,1406559.625907194,1650.086857
67,1476843.4512779112,1474977.253641911,1866.197636
68,1514140.7089295161,1511831.545801216,2309.163128
69,1542770.345006541,1540817.6770652412,1952.667941
70,1499688.497111916,1497735.829170616,1952.667941
71,1566221.512774846,1563460.038919276,2761.473856
72,1516034.084337831,1513477.699758561,2556.384579
73,1546986.7087079461,1544322.326902146,2664.381806
