num_opportunities,EMP_2016,,,ERP_2016,,
1,1104755.402,1099931.164,4824.237888,0.00010299,2.48E-05,"444,122"
2,1193503.856,1188749.677,4754.179069,0.00010299,2.68E-05,
3,1338820.126,1336597.471,2222.654363,0.00010299,3.00E-05,
4,1436561.172,1434338.518,2222.654363,58.99529221,18.45299085,
5,1428050.768,1425828.113,2222.654363,142.8118795,44.40514244,
6,1149049.71,1144015.318,5034.391681,48.40819099,12.11108233,
7,1227414.129,1224440.232,2973.896605,178.3730884,47.67006408,
8,1208000.028,1203647.425,4352.602331,62.80657353,16.51951645,
9,1093644.065,1089044.08,4599.985069,377.5755298,89.90940564,
10,1181668.894,1177436.651,4232.242906,92.57474947,23.81845759,
11,1106626.49,1103143.174,3483.315839,0.00010299,2.48E-05,
12,1144095.759,1139271.521,4824.237888,24.53771006,6.112539687,
13,1264207.367,1260453.657,3753.709941,32.26452915,8.881144457,
14,1282652.009,1280429.354,2222.654363,14.29122678,3.99120139,
15,1194613.352,1190614.932,3998.420206,26.29969088,6.840743305,
16,1300611.18,1299324.508,1286.671642,0.00010299,2.92E-05,
17,1209641.749,1207419.095,2222.654363,0.00010299,2.71E-05,
18,1263056.621,1258727.352,4329.268419,56.94404446,15.66016794,
19,1266581.306,1261316.055,5265.25114,373.1507618,102.9064727,
20,1317581.77,1315359.115,2222.654363,73.75688622,21.15950174,
21,1346985.891,1346300.28,685.6113411,12.42697009,3.644631173,
22,1408220.392,1408220.392,0,0.00010299,3.16E-05,
23,1391814.067,1391814.067,0,312.8469003,94.80655448,
24,1323723.16,1321500.506,2222.654363,181.1260925,52.20396275,
25,1429786.071,1429100.459,685.6113411,7.067088463,2.200071905,
26,1509892.374,1509892.374,0,6.464326556,2.125174346,
27,1442352.293,1439892.511,2459.782078,208.3514625,65.43245095,
28,1454143.472,1452619.673,1523.799357,289.3970132,91.62765843,
29,1497092.192,1497092.192,0,0.642453825,0.20941884,
30,1459447.165,1459115.736,331.4292157,27.62682143,8.778990588,
31,1451409.389,1451409.389,0,16.333015,5.161567067,
32,1475724.106,1475724.106,0,266.4666687,85.61963059,
33,1434478.459,1434478.459,0,0.00010299,3.22E-05,
34,1425782.25,1425782.25,0,27.43729271,8.517649127,
35,1266984.771,1265153.023,1831.747855,13.848952,3.82044182,
36,1485103.244,1484167.261,935.9827207,0.00010299,3.33E-05,
37,1534456.719,1533520.737,935.9827207,0.00010299,3.44E-05,
38,1543904.906,1543904.906,0,0.642446818,0.215964822,
39,1546883.191,1546883.191,0,0.00010299,3.47E-05,
40,1548153.882,1548153.882,0,82.63511608,27.85505711,
41,1520121.632,1520121.632,0,6.083398538,2.013491933,
42,1498892.792,1498892.792,0,0.00010299,3.36E-05,
43,1477008.729,1477008.729,0,0.00010299,3.31E-05,
44,1473073.023,1473073.023,0,0.00010299,3.30E-05,
45,1448935.466,1448935.466,0,179.8712483,56.74610761,
46,1571932.289,1571932.289,0,92.55002448,31.67638832,
47,1576696.86,1576696.86,0,242.9354251,83.39967091,
48,1583613.334,1583613.334,0,12.38459587,4.270279237,
49,1534006.272,1534006.272,0,16.65509752,5.562878839,
50,1537749.947,1537749.947,0,0.00010299,3.45E-05,
51,1523933.809,1523933.809,0,14.51982728,4.817845181,
52,1535235.714,1535235.714,0,0.00010299,3.44E-05,
53,1435976.635,1433753.981,2222.654363,0.608113496,0.190132913,
54,1546735.17,1545799.187,935.9827207,1.851264205,0.623461515,
55,1567041.3,1567041.3,0,1.110747196,0.378984069,
56,1574381.389,1574381.389,0,13.10067463,4.490853559,
57,1577632.647,1577632.647,0,49.9156758,17.1462095,
58,1569909.896,1569909.896,0,0.796847896,0.272380143,
59,1547928.307,1547928.307,0,0.00010299,3.47E-05,
60,1465107.092,1464171.109,935.9827207,46.75710141,14.91565181,
61,1531584.226,1531584.226,0,0.00010299,3.43E-05,
62,1523551.211,1523551.211,0,91.76152943,30.43988349,
63,1494529.036,1494529.036,0,30.11767072,9.800562971,
64,1104386.351,1100057.082,4329.268419,3.195967297,0.768508443,
65,1369979.068,1367756.414,2222.654363,528.3963552,157.6155387,
66,1409019.408,1406559.626,2459.782078,0.00010299,3.16E-05,
67,1475913.236,1474977.254,935.9827207,138.8149333,44.60898092,
68,1512767.529,1511831.546,935.9827207,0.00010299,3.39E-05,
69,1540817.677,1540817.677,0,54.51634872,18.28956174,
70,1498671.812,1497735.829,935.9827207,74.44696069,24.29286836,
71,1563460.039,1563460.039,0,0.00010299,3.50596E-05,
72,1513477.7,1513477.7,0,0.631209554,0.208005527,
73,1544322.327,1544322.327,0,9.296291089,3.125884665,
74,1530798.898,1530798.898,0,7.429876834,2.47642421,
75,1519406.298,1519406.298,0,0.00010299,3.41E-05,
76,1523316.943,1523316.943,0,2.12463254,0.704692074,
77,1508295.597,1508295.597,0,15.48768274,5.086255734,
78,1409548.413,1407068.567,2479.846447,0.00010299,3.16E-05,
79,1386816.887,1384357.105,2459.782078,22.0473012,6.657326278,
80,1413318.023,1412382.041,935.9827207,845.0590729,260.0472418,
81,1458808.274,1457872.292,935.9827207,102.2352226,32.47312248,
82,1514196.944,1514196.944,0,11.77703801,3.882788439,
83,1494399.793,1493463.81,935.9827207,0.631211547,0.205384195,
84,1522926.388,1522926.388,0,23.94850525,7.941135557,
