TZ16_CODE,30_lin,45_lin,60_lin,30_log,45_log,60_log,Average_Price
3,0.1198743855725,5240109.427731399,1441740.6505398126,0.01045061587155441,820466.2805712725,325132.02131235955,2227283.3811445707
4,0.00028997345,325556.3482860779,64011.77885809111,1.8658407936535812e-05,37516.164478252846,10869.5921056079,129856.04243282833
5,0.060446568,2281211.5188396,579200.6113924249,0.00502488709714385,339922.19487787096,126120.81734682436,953470.7209892509
6,-0.0021184215000000003,-0.000994680372,139464.90830744326,-0.0007801568860933152,-0.0006007967745249766,105124.95307815907,46488.30195449124
7,0.0029882295300000003,358529.78334749595,208761.38570502767,0.0006620514445863448,144273.93344368538,115528.96557344744,189097.05695922137
8,-0.012528066232500001,121159.86095253348,284284.6107448604,-0.0033151989691799426,53237.04333522908,168849.78637880986,135148.1545919204
9,4.5942000000000007e-07,1407.09375059328,436.3545836453401,2.2525997388832405e-08,109.08501297642803,39.9760115206142,614.4827781598643
10,0.0038103637195,83818.205620576,318715.6077805914,0.0011466880788009697,43096.61175384107,211079.5983495429,134177.93862656443
11,-0.00022601299499999997,0.013440150279000002,475159.84509431623,-8.542792524896121e-06,0.0008224173526950611,37553.99731677652,158386.6194723962
12,-0.004572745385,-0.00019288935172,178439.42719479802,-0.0010921218114896426,-7.708878852381856e-05,91534.76515763966,59479.80805649168
13,-0.006361533685,424433.77207209787,566045.532838919,-0.0004872365963623144,54726.626256167365,102633.74098318617,330159.7671622106
14,-0.0022776037050000002,470603.58767443575,175751.2705359183,-0.00022334530136915265,80437.51821271173,43910.55139452226,215451.61898662648
15,-0.00059696,26066.197638013124,93639.8024883552,-9.709171899694814e-05,7160.950682514342,33262.10000054576,39901.99992644749
16,-0.00077728911,246600.60993298978,39040.113761265486,-6.265356164313507e-05,36250.44680964496,8282.87830829714,95213.57442476133
18,-0.01151436,166742.4090343968,256472.7879710304,-0.0030429705787980597,76764.88211423156,164074.77417887084,141071.72990892068
19,0.007069645908000001,765320.9045470257,1431671.5837112824,0.0007860688322052169,149346.4669140619,388953.1865532318,732330.8307287218
20,0.0,1064874.5448181343,291218.90706032555,0.0,151802.8544501258,62118.60819408038,452031.1506261533
21,0.0,476062.44676428725,48370.38595865246,0.0,82914.91787146058,12780.547469385352,174810.94424097988
22,-0.0053038908,554627.8408930129,0.0,-0.0005201950906082691,98628.1664072501,0.0,184875.94599365667
23,-0.02049483384,884879.7427323819,0.0,-0.009494599300140247,749025.1348711025,0.0,294959.90924588847
24,0.005949450000000001,360664.27489463764,103754.17246114892,0.0009018759006734884,96586.0313997782,40561.550037084555,154806.15026048318
25,-0.00619714875,335555.168763162,19325.80679952447,-0.0008802658820484291,84866.44083871083,7360.544192514581,118293.65734132637
26,0.001120736305,194080.18993349315,0.0,8.385728988460847e-05,27250.189093077795,0.0,64693.39684526331
