TZ16_CODE,30_lin,45_lin,60_lin,30_log,45_log,60_log,Average_Price
3,0.1198743855725,12926084.32885165,3502732.851832675,0.01045061587155441,2023892.1491826428,789913.6448758367,5476272.4152822755
4,0.00028997345,827212.212601536,135792.034412907,1.8658407936535812e-05,95325.52379875007,23058.319134219822,321001.4157229196
5,0.060446568,7484900.976209064,1228693.1269018753,0.00502488709714385,1115321.3751834475,267547.6827635762,2904531.378615556
6,-0.0021184215000000003,49191.30004154182,312812.1354144488,-0.0007801568860933152,29712.031353574024,235789.50043283132,120667.81133556715
7,0.0029882295300000003,1509549.915950924,345742.47224383487,0.0006620514445863448,607449.406491115,191334.57098993874,618430.7966732997
8,-0.012528066232500001,981918.2163065546,372619.33214174176,-0.0033151989691799426,431450.00516006135,221315.86535021532,451512.5135088879
9,4.5942000000000007e-07,1407.09375059328,1139.5636259832002,2.2525997388832405e-08,109.08501297642803,104.39951898798805,848.8857922724843
10,0.0038103637195,1156777.2471976243,320362.8370267383,0.0011466880788009697,594777.4655762246,212170.52856813977,492380.02890096296
11,-0.00022601299499999997,0.013440150279000002,1279567.2694224587,-8.542792524896121e-06,0.0008224173526950611,101129.89617838577,426522.42758177704
12,-0.004572745385,65679.89784800835,356227.09157966246,-0.0010921218114896426,26249.16155465589,182735.1930183958,140635.66219841238
13,-0.006361533685,2853313.3316570288,397980.5261132473,-0.0004872365963623144,367907.1331458718,72160.6794220261,1083764.6181152968
14,-0.0022776037050000002,1469028.4241155968,222384.36339248923,-0.00022334530136915265,251092.4347256278,55561.58990092954,563804.2620858705
15,-0.00059696,334703.875195592,112360.9366592496,-9.709171899694814e-05,91950.42471506265,39912.09519883083,149021.6038359386
16,-0.00077728911,594038.179923261,98720.26812535369,-6.265356164313507e-05,87323.99100739481,20944.81518278917,230919.48254288113
18,-0.01151436,1228686.7123133857,292595.6881083456,-0.0030429705787980597,565662.8758830201,187183.8795525971,507094.1310476886
19,0.007069645908000001,5639475.213281931,1342967.2929362939,0.0007860688322052169,1100500.0560537155,364854.21235382906,2327480.8367153606
20,0.020205806335,2454585.821448258,302553.5704147048,0.0016512517444587098,349912.70662056206,64536.35475809943,919046.4675971641
21,-0.00023378577820000002,1153869.5703238947,325578.3648812162,-2.2458691289539945e-05,200967.33381945122,86025.15082112796,493149.31169232953
22,-0.0053038908,1330104.1497023234,231575.78256773876,-0.0005201950906082691,236529.29720331187,62020.9870579432,520559.976452673
23,-0.02049483384,2189879.4687819635,171028.620528261,-0.009494599300140247,1853669.6968459636,219514.81152456155,786969.3581051693
24,0.005949450000000001,976351.6590136173,131283.833032611,0.0009018759006734884,261467.34944087162,51323.9673768927,369211.83182396373
25,-0.00619714875,538617.4196917277,91881.356135799,-0.0008802658820484291,136223.63068181503,34994.49152737882,210166.2574296065
26,90402.46324513736,300237.1713886473,20832.201409352587,6764.218784391164,42155.35699916135,4478.429163269732,123217.57127092138
27,-0.007569404375,592327.9500367091,131463.32004123222,-0.0016094836751331587,226292.11921132155,73769.86491929261,241263.75516283244
28,0.0042713245575,456866.5849995916,104370.26408316728,0.0010910621477149725,208967.62978811082,71345.03091611253,187078.95058798406
