num_opportunities,EMP_2016,EMP_2016,,ERP_2016,,
94,1511549.163,1508664.743,2884.420122,55.34771426,1.82E+01,
95,1539370.842,1536501.467,2869.374938,6.11624361,2.05E+00,
96,1508715.984,1500351.817,8364.167424,45.55049807,1.50E+01,
97,1503064.004,1479301.534,23762.46985,15.50459424,5.07E+00,
98,1496214.526,1479775.085,16439.44108,53.49065266,1.74E+01,
99,1397103.04,1368198.202,28904.83816,25.07363012,7.63E+00,
100,1331847.756,1327589.437,4258.319452,17.63874771,5.12E+00,
101,1433653.021,1429219.131,4433.890441,135.3819332,4.23E+01,
102,1466991.389,1464864.883,2126.506312,287.0059773,9.17E+01,
103,1554795.368,1552085.429,2709.938703,40.31551903,1.36E+01,
104,1578020.764,1567817.226,10203.53837,51.9605084,1.79E+01,
105,1546750.427,1543798.993,2951.434348,765.564986,2.58E+02,
106,1518684.037,1490605.067,28078.96967,0.00010299,3.41E-05,
107,1483014.272,1450881.403,32132.8691,18.86468334,6.09E+00,
108,1283382.014,1276790.477,6591.537243,3.8538967,1.08E+00,
109,1400923.328,1396045.555,4877.773489,1615.752238,4.93E+02,
110,1465064.479,1462937.973,2126.506158,2041.139664,6.51E+02,
111,1532497.669,1525919.523,6578.145853,819.0363561,2.73E+02,
112,1560325.134,1547424.129,12901.005,0.00010299,3.50E-05,
113,1503173.856,1493192.194,9981.661752,725.5933355,2.37E+02,
114,1470939.091,1462140.985,8798.106466,97.40837708,3.12E+01,
115,1472374.061,1441018.446,31355.61464,543.2621322,1.74E+02,
116,1494347.506,1459050.015,35297.49062,191.8006225,6.24E+01,
117,1368794.066,1348966.636,19827.43037,1096.877077,3.27E+02,
118,1425236.86,1418951.097,6285.763318,1537.346575,4.77E+02,
119,1448104.409,1421717.565,26386.84408,1733.533719,5.47E+02,
120,1438802.032,1405286.09,33515.94195,402.6870641,1.26E+02,
121,1488752.454,1451094.687,37657.76704,0.00010299,3.34E-05,
122,1488752.454,1433666.771,55085.68304,725.7637604,2.35E+02,
123,1456450.389,1386317.465,70132.92409,267.1532931,8.47E+01,
124,1447399.637,1355654.39,91745.24725,616.9085712,1.94E+02,
125,1335389.882,1327194.198,8195.684098,32.23551107,9.37E+00,
126,1353777.084,1333285.613,20491.47109,124.2987941,3.66E+01,
127,1402665.41,1382263.262,20402.14789,26.36346757,8.05E+00,
128,1413582.541,1395808.269,17774.27185,2.925833985,9.01E-01,
129,1438648.083,1432855.552,5792.530861,47.58518228,1.49E+01,
130,1430641.722,1405441.311,25200.41132,988.8130299,3.08E+02,
131,1465299.831,1404673.152,60626.67859,3289.806615,1.05E+03,
132,1467531.614,1408307.291,59224.32251,29.92842902,9.56E+00,
133,1437157.606,1426175.077,10982.52922,8.728155037,2.73E+00,
134,1481233.661,1473526.069,7707.59203,38.0301172,1.23E+01,
135,1417647.122,1401314.795,16332.32697,981.5520766,3.03E+02,
136,1275646.605,1271853.504,3793.100675,681.8316237,1.89E+02,
137,1420540.43,1403728.762,16811.66843,0.405635506,1.25E-01,
138,1450923.472,1445122.47,5801.00161,10.63032909,3.36E+00,
139,1445521.356,1434412.626,11108.73033,0.00010299,3.24E-05,
140,1432794.532,1419902.466,12892.06559,0.00010299,3.21E-05,
141,1389917.534,1380284.493,9633.041096,15.2984667,4.63E+00,
142,1441064.708,1431011.374,10053.33386,365.1748832,1.15E+02,
143,1478779.293,1464323.018,14456.27527,0.00010299,3.32E-05,
144,1400168.667,1391643.945,8524.721745,1119.399227,3.41E+02,
145,1472890.993,1467470.861,5420.131707,56.6822071,1.82E+01,
146,1578034.508,1577093.343,941.1647767,140.1721887,4.82E+01,
147,803377.885,792492.2998,10885.58516,0.00010299,1.80E-05,
148,864827.5056,849571.4291,15256.07646,0.00010299,1.94E-05,
149,1392474.387,1389819.671,2654.71624,802.8836932,2.43E+02,
150,1361691.8,1347281.102,14410.69802,0.00010299,3.05E-05,
151,1277795.758,1262048.704,15747.05369,401.8165556,1.12E+02,
152,1191441.887,1185115.684,6326.202784,3737.743639,9.70E+02,
153,1329944.776,1314338.637,15606.13877,1510.146795,4.37E+02,
154,1442731.905,1434643.585,8088.320038,1559.560076,4.90E+02,
155,1354153.539,1342365.593,11787.94622,943.8032282,2.78E+02,
156,1298136.553,1281744.27,16392.2832,3633.875283,1.03E+03,
157,1210265.01,1200485.161,9779.848641,3800.730356,1.00E+03,
158,1208711.512,1189368.718,19342.79353,3283.296511,8.64E+02,
159,1261414.257,1236645.587,24768.67018,1500.507026,4.12E+02,
160,1337152.643,1329881.036,7271.607222,875.2958609,2.55E+02,
161,1569575.094,1559221.161,10353.93332,106.3106535,3.63E+01,
162,1528522.101,1518312.091,10210.00974,156.4057365,5.21E+01,
163,960561.9814,956857.344,3704.637442,4206.023084,8.80E+02,
164,1063178.823,1051222.359,11956.46406,400.996756,9.28E+01,
165,1193721.151,1184271.48,9449.671128,1920.097246,4.99E+02,
166,1078481.832,1074091.055,4390.777411,1941.237516,4.56E+02,
167,1024444.6,1010780.121,13664.47852,3317.857257,7.40E+02,
168,1391195.942,1321189.67,70006.27177,962.3629579,2.92E+02,
169,1301968.436,1243095.91,58872.52603,988.023129,2.80E+02,
170,1276480.85,1252649.847,23831.00302,1398.124242,3.89E+02,
171,1309499.553,1307230.715,2268.837741,2755.475013,7.86E+02,
172,1226424.792,1218190.401,8234.391384,855.8816531,2.29E+02,
173,1173410.453,1105440.715,67969.73807,4026.921145,1.03E+03,
174,1542378.325,1525823.693,16554.63167,0.00010299,3.46E-05,
175,1316083.753,1231243.819,84839.93352,416.7384014,1.19E+02,
