num_opportunities,Base 30 Mins,30 Mins,Base 45 Mins,45 Mins,Base 60 Mins,60 Mins,TZ16_CODE,,TZ16_NAME,Tz16_Area
943,18569.85785,1.10E-06,164341.1247,-3.29E-05,860307.5907,1358.071165,943,YES,Dulwich Hill_Dixon Av and Elizabeth Av,351426.7734
944,24252.20715,-2.53E-06,554512.9195,2374.21379,997943.1856,5469.472315,944,YES,Dulwich Hill Station_North,350826.6592
945,28941.79688,-3.18E-06,529355.3216,8607.825399,994329.0231,4244.833377,945,YES,Dulwich Hill_Terrace Rd and Consett St,228642.6686
946,22446.75905,-2.13E-06,574668.8653,1987.014211,1008806.426,8833.5884,946,YES,Dulwich Hill Station_South,199292.3697
949,13925.48949,-4.04E-06,410469.6994,2108.384518,827276.4908,3687.573384,949,YES,Dobroyd Pt Primary School,652429.912
950,86729.2905,-2.90E-07,670059.9757,4055.315108,1096811.785,3247.407033,950,YES,Haberfield,929737.3777
951,36406.37924,-3.39E-06,560365.9245,380.9825743,978930.2915,12129.62499,951,YES,Haberfield_Marion St and Ramsay Rd,796042.1586
952,113352.9039,1.04E+03,821006.4926,613.2400425,1295351.902,6344.203824,952,YES,Summer Hill Station_North,349592.8768
953,124479.3289,-2.17E-05,832861.8357,625.7405938,1327212.416,3425.489193,953,YES,Summer Hill Station_South,109748.0237
954,41311.49033,-3.79E-06,635736.6612,2265.788113,1127839.701,1027.342315,954,YES,Allied Mills,248630.2056
955,22205.10214,-2.29E-06,334842.8533,2996.980814,973206.3689,1243.109096,955,YES,Summer Hill_Henson St and Junction Rd,382112.2633
958,30960.7446,2.60E-06,337385.5985,2.24E-06,1059638.862,1693.044399,958,YES,Homebush Park Business Centre,944379.1145
959,9915.839012,-1.00E-07,37987.78894,4.00E-06,260117.7616,1.51E-05,959,YES,Campus Business Park,294570.243
960,13768.20939,7.00E-07,103004.2649,2.63E-05,732007.78,8160.980397,960,YES,Courallie Ave and Telopea Ave,185105.1296
961,28828.62887,7.00E-07,212322.5378,6.00E-07,1035014.44,2130.164009,961,YES,Flemington Markets_Flemington Station,710720.0433
962,13431.31515,1.20E-06,124561.9885,-2.68E-05,875961.7094,2265.78815,962,YES,Db Business Park,220747.9446
963,59156.79148,2.70E-06,619125.6141,9564.824982,1339829.706,1329.265336,963,YES,Homebush Station_North,122450.185
