num_opportunities,EMP_2016,ERP_2016,,
145,1091212.442,56.6822071,1.35E+01,
146,1204923.44,140.1721887,3.68E+01,
147,436501.7124,0.00010299,9.79E-06,
148,477526.9026,0.00010299,1.07E-05,
149,949631.4523,802.8836932,1.66E+02,
150,922666.4151,0.00010299,2.07E-05,
151,801522.9676,401.8165556,7.01E+01,
152,731423.6395,3737.743639,5.95E+02,
153,891439.9584,1510.146795,2.93E+02,
154,1000663.858,1559.560076,3.40E+02,
155,905013.2495,943.8032282,1.86E+02,
156,851750.3766,3633.875283,6.74E+02,
157,790912.8273,3800.730356,6.55E+02,
158,813082.6189,3283.296511,5.81E+02,
159,844019.1415,1500.507026,2.76E+02,
160,932969.7093,875.2958609,1.78E+02,
161,1172954.585,106.3106535,2.72E+01,
162,1125072.894,156.4057365,3.83E+01,
163,572403.4644,4206.023084,5.24E+02,
164,637800.9637,400.996756,5.57E+01,
165,752523.5449,1920.097246,3.15E+02,
166,675012.2709,1941.237516,2.85E+02,
167,611072.9293,3317.857257,4.41E+02,
168,926535.1315,962.3629579,1.94E+02,
169,850222.6832,988.023129,1.83E+02,
170,865039.95,1398.124242,2.63E+02,
171,914735.3845,2755.475013,5.49E+02,
172,796820.1532,855.8816531,1.48E+02,
173,693439.7548,4026.921145,6.08E+02,
174,1120177.749,0.00010299,2.51E-05,
175,837568.9292,416.7384014,7.60E+01,
176,969485.7691,396.9347117,8.38E+01,
177,957222.2668,431.3345821,8.99E+01,
178,917518.4873,1694.388197,3.38E+02,
179,861392.5608,2088.573095,3.92E+02,
180,750599.9176,3215.932292,5.26E+02,
181,931861.7798,154.03312,3.13E+01,
182,885604.8568,1785.965084,3.44E+02,
183,810270.2464,559.8478427,9.88E+01,
184,885742.2654,733.0218813,1.41E+02,
185,838850.5736,765.2307928,1.40E+02,
186,715590.8891,1401.717228,2.18E+02,
187,944944.0027,463.5074394,9.54E+01,
188,939626.6177,2082.78879,4.26E+02,
189,956348.8359,335.5002462,6.99E+01,
190,896551.1505,18.65157149,3.64E+00,
191,876823.6036,276.4288708,5.28E+01,
192,1009040.707,779.0516504,1.71E+02,
193,942763.6354,1397.851554,2.87E+02,
194,1133185.816,0.058064883,1.43E-02,
195,1004056.251,768.4921023,1.68E+02,
196,855608.0319,2570.008504,4.79E+02,
197,1145572.598,596.508066,1.49E+02,
198,994672.0501,1190.290257,2.58E+02,
199,855397.5355,2572.946921,4.79E+02,
200,1023370.822,19.59265067,4.37E+00,
201,979167.3079,3319.60921,7.08E+02,
202,860464.3718,1818.221543,3.41E+02,
205,944485.761,1176.268199,2.42E+02,
206,867482.1437,3788.913002,7.16E+02,
207,829655.3863,3293.28886,5.95E+02,
208,1086530.559,0.000106658,2.52E-05,
209,899219.82,888.3124827,1.74E+02,
210,1058987.725,1051.113321,2.42E+02,
211,1053177.377,880.1982681,2.02E+02,
212,928431.3596,2241.42511,4.53E+02,
213,866398.3033,732.4879464,1.38E+02,
214,798583.8383,1761.467124,3.06E+02,
215,1140160.429,1537.885857,3.82E+02,
216,891529.7511,178.2657128,3.46E+01,
217,1016032.284,422.0436021,9.34E+01,
218,912218.9236,1438.397717,2.86E+02,
219,887833.2277,1533.723374,2.96E+02,
220,806126.6872,880.3732715,1.55E+02,
221,721273.9635,1456.997777,2.29E+02,
222,913641.9456,0.000106658,2.12E-05,
223,679660.281,524.8379544,7.77E+01,
224,1004836.806,0.000106658,2.33E-05,
225,711902.1268,0.000106658,1.65E-05,
226,541348.4763,1780.474452,2.10E+02,
227,642340.6742,3008.323102,4.21E+02,
228,658704.7339,2692.316866,3.86E+02,
229,611497.5891,3334.655024,4.44E+02,
230,561528.5035,3590.056708,4.39E+02,
231,699212.4504,2661.349366,4.05E+02,
232,714453.2978,1745.419444,2.72E+02,
233,712997.0543,2017.405038,3.13E+02,
236,686204.7391,1422.957496,2.13E+02,
237,585019.6773,1643.675357,2.09E+02,
238,627293.0698,342.8875586,4.68E+01,
239,844420.6,625.9179253,1.15E+02,
240,1031867.723,1301.419214,2.92E+02,
241,656601.3791,1628.008541,2.33E+02,
242,754482.2101,2617.974598,4.30E+02,
243,768350.1118,1173.830968,1.96E+02,
244,1026367.024,553.0395378,1.24E+02,
245,814966.1787,2212.322931,3.93E+02,
246,816831.1227,1917.14988,3.41E+02,
247,821737.2539,1191.479637,2.13E+02,
248,846876.5175,1636.834087,3.02E+02,
249,863023.2048,1571.425648,2.95E+02,
250,741702.5745,1418.779207,2.29E+02,
