num_opportunities,EMP_2016,ERP_2016,,
1,304694.0583,0.00010299,6.83E-06,"42,229"
2,390046.5602,0.00010299,8.75E-06,
3,505826.8442,0.00010299,1.13E-05,
4,553774.2947,58.99529221,7.11E+00,
5,546404.6757,142.8118795,1.70E+01,
6,342568.3747,48.40819099,3.61E+00,
7,447450.1412,178.3730884,1.74E+01,
8,395243.7645,62.80657353,5.40E+00,
9,297697.6284,377.5755298,2.45E+01,
10,379092.9802,92.57474947,7.64E+00,
11,337462.8743,0.00010299,7.57E-06,
12,357991.3728,24.53771006,1.91E+00,
13,436547.7296,32.26452915,3.07E+00,
14,477278.1014,14.29122678,1.49E+00,
15,380423.7929,26.29969088,2.18E+00,
16,500344.1017,0.00010299,1.12E-05,
17,405817.6646,0.00010299,9.10E-06,
18,445777.7329,56.94404446,5.53E+00,
19,450878.0229,373.1507618,3.66E+01,
20,502288.8218,73.75688622,8.07E+00,
21,541738.3903,12.42697009,1.47E+00,
22,562585.6056,0.00010299,1.26E-05,
23,564141.6281,312.8469003,3.84E+01,
24,498597.9307,181.1260925,1.97E+01,
25,560605.3394,7.067088463,8.63E-01,
26,634663.1488,6.464326556,8.93E-01,
27,555934.6265,208.3514625,2.52E+01,
28,568716.8324,289.3970132,3.58E+01,
29,603337.1555,0.642453825,8.44E-02,
30,575646.0563,27.62682143,3.46E+00,
31,586446.7496,16.333015,2.09E+00,
32,598863.0038,266.4666687,3.47E+01,
33,601496.3446,0.00010299,1.35E-05,
34,599859.0514,27.43729271,3.58E+00,
35,468243.0805,13.848952,1.41E+00,
36,601905.5411,0.00010299,1.35E-05,
37,632414.4599,0.00010299,1.42E-05,
38,631246.8685,0.642446818,8.83E-02,
39,634500.606,0.00010299,1.42E-05,
40,654875.7723,82.63511608,1.18E+01,
41,625705.835,6.083398538,8.29E-01,
42,623032.6353,0.00010299,1.40E-05,
43,613221.0454,0.00010299,1.38E-05,
44,623289.3715,0.00010299,1.40E-05,
45,623978.8483,179.8712483,2.44E+01,
46,683647.9528,92.55002448,1.38E+01,
47,706893.607,242.9354251,3.74E+01,
48,683325.0021,12.38459587,1.84E+00,
49,640322.7299,16.65509752,2.32E+00,
50,646642.7264,0.00010299,1.45E-05,
51,636716.8662,14.51982728,2.01E+00,
52,654341.8126,0.00010299,1.47E-05,
53,558219.8077,0.608113496,7.39E-02,
54,657888.6731,1.851264205,2.65E-01,
55,667430.5675,1.110747196,1.61E-01,
56,703969.0635,13.10067463,2.01E+00,
57,716864.3889,49.9156758,7.79E+00,
58,686818.1742,0.796847896,1.19E-01,
59,656568.6933,0.00010299,1.47E-05,
60,659034.6986,46.75710141,6.71E+00,
61,680583.8254,0.00010299,1.53E-05,
62,655803.6002,91.76152943,1.31E+01,
63,665915.4592,30.11767072,4.37E+00,
64,279396.8028,3.195967297,1.94E-01,
65,532611.4329,528.3963552,6.13E+01,
66,553286.8459,0.00010299,1.24E-05,
67,595570.2941,138.8149333,1.80E+01,
68,624702.1311,0.00010299,1.40E-05,
69,649439.5988,54.51634872,7.71E+00,
70,618703.3539,74.44696069,1.00E+01,
71,662425.1484,0.00010299,1.49E-05,
72,624109.8986,0.631209554,8.58E-02,
73,643838.2046,9.296291089,1.30E+00,
74,653928.6428,7.429876834,1.06E+00,
75,661320.9548,0.00010299,1.48E-05,
76,675412.0045,2.12463254,3.12E-01,
77,696186.7067,15.48768274,2.35E+00,
78,559522.715,0.00010299,1.25E-05,
79,539763.7072,22.0473012,2.59E+00,
80,574092.8542,845.0590729,1.06E+02,
81,601412.6483,102.2352226,1.34E+01,
82,628226.8848,11.77703801,1.61E+00,
83,622301.3076,0.631211547,8.55E-02,
84,635368.8418,23.94850525,3.31E+00,
85,643156.7817,0.00010299,1.44E-05,
86,664435.1375,1.586547553,2.30E-01,
87,681737.1961,0.00010299,1.53E-05,
88,540322.3715,440.0987338,5.18E+01,
89,500885.0621,6.419590335,7.00E-01,
90,536905.2144,6.116354161,7.15E-01,
91,507687.767,0.00010299,1.14E-05,
92,627792.0721,333.1503288,4.55E+01,
93,670392.4284,230.0699412,3.36E+01,
94,694974.4536,55.34771426,8.38E+00,
95,709154.7273,6.11624361,9.44E-01,
96,703359.3441,45.55049807,6.98E+00,
97,659982.8692,15.50459424,2.23E+00,
98,672796.6858,53.49065266,7.84E+00,
99,579723.3555,25.07363012,3.16E+00,
100,539643.7119,17.63874771,2.07E+00,
101,629217.792,135.3819332,1.85E+01,
102,642977.1416,287.0059773,4.02E+01,
103,738848.3426,40.31551903,6.49E+00,
104,774605.9852,51.9605084,8.76E+00,
105,748468.6536,765.564986,1.25E+02,
106,709353.1683,0.00010299,1.59E-05,
107,681985.8491,18.86468334,2.80E+00,
108,479547.3153,3.8538967,4.02E-01,
109,606152.3387,1615.752238,2.13E+02,
110,635787.7968,2041.139664,2.83E+02,
111,705289.561,819.0363561,1.26E+02,
112,746292.4009,0.00010299,1.67E-05,
113,699229.3081,725.5933355,1.10E+02,
114,646199.4101,97.40837708,1.37E+01,
115,679966.5086,543.2621322,8.04E+01,
