num_opportunities,EMP_2016,ERP_2016,,
1,1099931.164,0.00010299,2.47E-05,"441,170"
2,1188749.677,0.00010299,2.67E-05,
3,1336597.471,0.00010299,3.00E-05,
4,1434338.518,58.99529221,1.84E+01,
5,1425828.113,142.8118795,4.43E+01,
6,1144015.318,48.40819099,1.21E+01,
7,1224440.232,178.3730884,4.76E+01,
8,1203647.425,62.80657353,1.65E+01,
9,1089044.08,377.5755298,8.95E+01,
10,1177436.651,92.57474947,2.37E+01,
11,1103143.174,0.00010299,2.47E-05,
12,1139271.521,24.53771006,6.09E+00,
13,1260453.657,32.26452915,8.85E+00,
14,1280429.354,14.29122678,3.98E+00,
15,1190614.932,26.29969088,6.82E+00,
16,1299324.508,0.00010299,2.91E-05,
17,1207419.095,0.00010299,2.71E-05,
18,1258727.352,56.94404446,1.56E+01,
19,1261316.055,373.1507618,1.02E+02,
20,1315359.115,73.75688622,2.11E+01,
21,1346300.28,12.42697009,3.64E+00,
22,1408220.392,0.00010299,3.16E-05,
23,1391814.067,312.8469003,9.48E+01,
24,1321500.506,181.1260925,5.21E+01,
25,1429100.459,7.067088463,2.20E+00,
26,1509892.374,6.464326556,2.13E+00,
27,1439892.511,208.3514625,6.53E+01,
28,1452619.673,289.3970132,9.15E+01,
29,1497092.192,0.642453825,2.09E-01,
30,1459115.736,27.62682143,8.78E+00,
31,1451409.389,16.333015,5.16E+00,
32,1475724.106,266.4666687,8.56E+01,
33,1434478.459,0.00010299,3.22E-05,
34,1425782.25,27.43729271,8.52E+00,
35,1265153.023,13.848952,3.81E+00,
36,1484167.261,0.00010299,3.33E-05,
37,1533520.737,0.00010299,3.44E-05,
38,1543904.906,0.642446818,2.16E-01,
39,1546883.191,0.00010299,3.47E-05,
40,1548153.882,82.63511608,2.79E+01,
41,1520121.632,6.083398538,2.01E+00,
42,1498892.792,0.00010299,3.36E-05,
43,1477008.729,0.00010299,3.31E-05,
44,1473073.023,0.00010299,3.30E-05,
45,1448935.466,179.8712483,5.67E+01,
46,1571932.289,92.55002448,3.17E+01,
47,1576696.86,242.9354251,8.34E+01,
48,1583613.334,12.38459587,4.27E+00,
49,1534006.272,16.65509752,5.56E+00,
50,1537749.947,0.00010299,3.45E-05,
51,1523933.809,14.51982728,4.82E+00,
52,1535235.714,0.00010299,3.44E-05,
53,1433753.981,0.608113496,1.90E-01,
54,1545799.187,1.851264205,6.23E-01,
55,1567041.3,1.110747196,3.79E-01,
56,1574381.389,13.10067463,4.49E+00,
57,1577632.647,49.9156758,1.71E+01,
58,1569909.896,0.796847896,2.72E-01,
59,1547928.307,0.00010299,3.47E-05,
60,1464171.109,46.75710141,1.49E+01,
61,1531584.226,0.00010299,3.43E-05,
62,1523551.211,91.76152943,3.04E+01,
63,1494529.036,30.11767072,9.80E+00,
64,1100057.082,3.195967297,7.65E-01,
65,1367756.414,528.3963552,1.57E+02,
66,1406559.626,0.00010299,3.15E-05,
67,1474977.254,138.8149333,4.46E+01,
68,1511831.546,0.00010299,3.39E-05,
69,1540817.677,54.51634872,1.83E+01,
70,1497735.829,74.44696069,2.43E+01,
71,1563460.039,0.00010299,3.51E-05,
72,1513477.7,0.631209554,2.08E-01,
73,1544322.327,9.296291089,3.13E+00,
74,1530798.898,7.429876834,2.48E+00,
75,1519406.298,0.00010299,3.41E-05,
76,1523316.943,2.12463254,7.05E-01,
77,1508295.597,15.48768274,5.09E+00,
78,1407068.567,0.00010299,3.16E-05,
79,1384357.105,22.0473012,6.65E+00,
80,1412382.041,845.0590729,2.60E+02,
81,1457872.292,102.2352226,3.25E+01,
82,1514196.944,11.77703801,3.88E+00,
83,1493463.81,0.631211547,2.05E-01,
84,1522926.388,23.94850525,7.94E+00,
85,1501429.264,0.00010299,3.37E-05,
86,1481142.299,1.586547553,5.12E-01,
87,1487923.725,0.00010299,3.34E-05,
88,1376484.825,440.0987338,1.32E+02,
89,1341063.328,6.419590335,1.87E+00,
90,1357029.52,6.116354161,1.81E+00,
91,1336454.125,0.00010299,3.00E-05,
92,1439412.078,333.1503288,1.04E+02,
93,1503735.468,230.0699412,7.53E+01,
94,1508664.743,55.34771426,1.82E+01,
95,1536501.467,6.11624361,2.05E+00,
96,1500351.817,45.55049807,1.49E+01,
97,1479301.534,15.50459424,4.99E+00,
98,1479775.085,53.49065266,1.72E+01,
99,1368198.202,25.07363012,7.47E+00,
100,1327589.437,17.63874771,5.10E+00,
101,1429219.131,135.3819332,4.21E+01,
102,1464864.883,287.0059773,9.15E+01,
103,1552085.429,40.31551903,1.36E+01,
104,1567817.226,51.9605084,1.77E+01,
105,1543798.993,765.564986,2.57E+02,
106,1490605.067,0.00010299,3.34E-05,
107,1450881.403,18.86468334,5.96E+00,
108,1276790.477,3.8538967,1.07E+00,
109,1396045.555,1615.752238,4.91E+02,
110,1462937.973,2041.139664,6.50E+02,
111,1525919.523,819.0363561,2.72E+02,
112,1547424.129,0.00010299,3.47E-05,
113,1493192.194,725.5933355,2.36E+02,
114,1462140.985,97.40837708,3.10E+01,
115,1441018.446,543.2621322,1.70E+02,
116,1459050.015,191.8006225,6.09E+01,
117,1348966.636,1096.877077,3.22E+02,
118,1418951.097,1537.346575,4.75E+02,
119,1421717.565,1733.533719,5.37E+02,
120,1405286.09,402.6870641,1.23E+02,
121,1451094.687,0.00010299,3.25E-05,
122,1433666.771,725.7637604,2.27E+02,
123,1386317.465,267.1532931,8.06E+01,
124,1355654.39,616.9085712,1.82E+02,
125,1327194.198,32.23551107,9.32E+00,
126,1333285.613,124.2987941,3.61E+01,
127,1382263.262,26.36346757,7.93E+00,
128,1395808.269,2.925833985,8.89E-01,
129,1432855.552,47.58518228,1.48E+01,
130,1405441.311,988.8130299,3.03E+02,
131,1404673.152,3289.806615,1.01E+03,
132,1408307.291,29.92842902,9.18E+00,
133,1426175.077,8.728155037,2.71E+00,
134,1473526.069,38.0301172,1.22E+01,
135,1401314.795,981.5520766,2.99E+02,
136,1271853.504,681.8316237,1.89E+02,
137,1403728.762,0.405635506,1.24E-01,
138,1445122.47,10.63032909,3.34E+00,
139,1434412.626,0.00010299,3.22E-05,
140,1419902.466,0.00010299,3.18E-05,
141,1380284.493,15.2984667,4.60E+00,
142,1431011.374,365.1748832,1.14E+02,
143,1464323.018,0.00010299,3.28E-05,
144,1391643.945,1119.399227,3.39E+02,
145,1467470.861,56.6822071,1.81E+01,
146,1577093.343,140.1721887,4.81E+01,
147,792492.2998,0.00010299,1.78E-05,
148,849571.4291,0.00010299,1.91E-05,
149,1389819.671,802.8836932,2.43E+02,
150,1347281.102,0.00010299,3.02E-05,
151,1262048.704,401.8165556,1.10E+02,
152,1185115.684,3737.743639,9.64E+02,
153,1314338.637,1510.146795,4.32E+02,
154,1434643.585,1559.560076,4.87E+02,
155,1342365.593,943.8032282,2.76E+02,
156,1281744.27,3633.875283,1.01E+03,
157,1200485.161,3800.730356,9.93E+02,
158,1189368.718,3283.296511,8.50E+02,
159,1236645.587,1500.507026,4.04E+02,
160,1329881.036,875.2958609,2.53E+02,
161,1559221.161,106.3106535,3.61E+01,
162,1518312.091,156.4057365,5.17E+01,
163,956857.344,4206.023084,8.76E+02,
164,1051222.359,400.996756,9.18E+01,
165,1184271.48,1920.097246,4.95E+02,
166,1074091.055,1941.237516,4.54E+02,
167,1010780.121,3317.857257,7.30E+02,
168,1321189.67,962.3629579,2.77E+02,
169,1243095.91,988.023129,2.67E+02,
170,1252649.847,1398.124242,3.81E+02,
171,1307230.715,2755.475013,7.84E+02,
172,1218190.401,855.8816531,2.27E+02,
173,1105440.715,4026.921145,9.69E+02,
174,1525823.693,0.00010299,3.42E-05,
175,1231243.819,416.7384014,1.12E+02,
176,1359123.677,396.9347117,1.17E+02,
177,1354775.619,431.3345821,1.27E+02,
178,1290791.063,1694.388197,4.76E+02,
179,1253545.373,2088.573095,5.70E+02,
180,1150846.422,3215.932292,8.06E+02,
181,1339014.67,154.03312,4.49E+01,
182,1250715.973,1785.965084,4.86E+02,
183,1214547.095,559.8478427,1.48E+02,
184,1255293.19,733.0218813,2.00E+02,
185,1224997.732,765.2307928,2.04E+02,
186,1179532.991,1401.717228,3.60E+02,
187,1370307.117,463.5074394,1.38E+02,
188,1342467.592,2082.78879,6.09E+02,
189,1342688.805,335.5002462,9.81E+01,
190,1282580.731,18.65157149,5.21E+00,
191,1258174.603,276.4288708,7.57E+01,
192,1429353.198,779.0516504,2.42E+02,
193,1335857.376,1397.851554,4.07E+02,
194,1511271.585,0.058064883,1.91E-02,
195,1428525.737,768.4921023,2.39E+02,
196,1265290.149,2570.008504,7.08E+02,
197,1526475.977,596.508066,1.98E+02,
198,1422400.842,1190.290257,3.69E+02,
199,1259111.142,2572.946921,7.05E+02,
200,1415433.082,19.59265067,6.04E+00,
201,1382153.259,3319.60921,9.99E+02,
202,1263096.259,1818.221543,5.00E+02,
205,1333460.08,1176.268199,3.42E+02,
206,1279752.265,3788.913002,1.06E+03,
207,1261879.846,3293.28886,9.05E+02,
208,1474526.387,0.000106658,3.42E-05,
209,1331963.481,888.3124827,2.58E+02,
210,1471351.31,1051.113321,3.37E+02,
211,1468726.554,880.1982681,2.81E+02,
212,1362611.677,2241.42511,6.65E+02,
213,1281586.537,732.4879464,2.04E+02,
214,1180350.307,1761.467124,4.53E+02,
215,1571641.069,1537.885857,5.26E+02,
216,1345783.667,178.2657128,5.22E+01,
217,1427141.686,422.0436021,1.31E+02,
218,1348244.6,1438.397717,4.22E+02,
219,1309968.944,1533.723374,4.37E+02,
220,1198479.853,880.3732715,2.30E+02,
221,1045809.287,1456.997777,3.32E+02,
222,1351069.397,0.000106658,3.14E-05,
223,1153734.228,524.8379544,1.32E+02,
224,1432453.695,0.000106658,3.33E-05,
225,1146856.064,0.000106658,2.66E-05,
226,935771.4235,1780.474452,3.63E+02,
227,1052352.613,3008.323102,6.89E+02,
228,1069946.934,2692.316866,6.27E+02,
229,1032709.114,3334.655024,7.50E+02,
230,915157.1783,3590.056708,7.15E+02,
231,1036218.785,2661.349366,6.00E+02,
232,1051640.025,1745.419444,4.00E+02,
233,1090560.193,2017.405038,4.79E+02,
236,1027487.201,1422.957496,3.18E+02,
237,972521.3793,1643.675357,3.48E+02,
238,990812.9277,342.8875586,7.40E+01,
239,1282980.971,625.9179253,1.75E+02,
240,1438010.067,1301.419214,4.07E+02,
241,1112541.929,1628.008541,3.94E+02,
242,1168448.059,2617.974598,6.66E+02,
