num_opportunities,Base 30 Mins,30 Mins,Base 45 Mins,45 Mins,Base 60 Mins,60 Mins,TZ16_CODE,,TZ16_NAME,Tz16_Area
46,683647.9528,27696.00534,1142893.083,22543.54794,1571932.289,10054.69046,46,YES,Sydney CBD_The York Apartment Hotel,6129.611467
47,706893.607,41393.53989,1181617.918,27204.22073,1576696.86,9234.754728,47,YES,Sydney CBD_Metcentre,13887.99946
48,683325.0021,49988.98664,1178616.928,30520.86757,1583613.334,15218.0622,48,YES,Sydney CBD_Australia Square,13399.92826
49,640322.7299,43291.48296,1134765.532,25704.7554,1534006.272,14885.89547,49,YES,Sydney CBD_Radisson Plaza Hotel,12977.67413
50,646642.7264,25897.66435,1141586.954,17626.53515,1537749.947,10190.91648,50,YES,Sydney CBD_25 Bligh St,16749.40533
51,636716.8662,18625.98149,1129001.483,15335.19647,1523933.809,9395.596142,51,YES,Sydney CBD_Wentworth Hotel,12746.48332
52,654341.8126,15874.93131,1145072.164,18749.38487,1535235.714,7799.841432,52,YES,Sydney CBD_Chifley Square_Chifley Tower,15234.74128
53,558219.8077,15547.77637,989736.8361,30196.98166,1433753.981,10326.95536,53,YES,Sydney CBD_King St Wharf_Northern End,29032.55945
54,657888.6731,9376.997976,1119389.708,16853.54554,1545799.187,11801.8513,54,YES,Sydney CBD_Westpac Place,17119.20495
55,667430.5675,17873.72549,1144125.638,19009.93511,1567041.3,8181.159843,55,YES,Sydney CBD_83 Clarence St,10947.03167
56,703969.0635,25700.76447,1151677.375,20834.84082,1574381.389,8741.970153,56,YES,Sydney CBD_Wynyard Station_York St,12411.30385
57,716864.3889,40439.46812,1185634.072,26465.98963,1577632.647,8389.7187,57,YES,Sydney CBD_Wynyard Station_George St,30102.61628
58,686818.1742,42489.37874,1169405.317,27860.67796,1569909.896,10016.95291,58,YES,Sydney CBD_Hunter Connection,21693.94338
59,656568.6933,25990.31444,1144579.612,13791.81281,1547928.307,8445.956968,59,YES,Sydney CBD_QBE Building,10366.01952
60,659034.6986,-2.47E-05,1077264.766,8349.70596,1464171.109,4340.050231,60,YES,Sydney CBD_Savings Bank Building,10816.1342
61,680583.8254,14502.43319,1147397.125,10282.54209,1531584.226,6259.971624,61,YES,Sydney CBD_Colonial Centre_Goodsell Building,9573.43
62,655803.6002,14993.66127,1136514.394,12773.91813,1523551.211,5181.760124,62,YES,Sydney CBD_Martin Place Station_Hunter St and Macquarie St,14067.41983
63,665915.4592,65642.35319,1111753.788,65942.56084,1494529.036,62292.74535,63,YES,Sydney CBD_Parliament House_Sydney Hospital,68780.05289
