num_opportunities,EMP_2016
1,1108980.444872382
2,1185730.010757112
3,1338120.252436902
4,1442749.155054311
5,1434238.7502561242
6,1145536.797664512
7,1223810.103000062
8,1203997.1169408641
9,1093800.809715282
10,1180384.7979676642
11,1101875.229821732
12,1143588.881946932
13,1261567.082204414
14,1286408.675364824
15,1188332.4903218641
16,1301063.838763914
17,1209010.884871464
18,1260158.551372082
19,1262212.379243882
20,1312504.7905628842
21,1349344.865008254
22,1408027.163612324
23,1388877.7643930041
24,1321375.2243295142
25,1437731.6419346342
26,1516676.8660574812
27,1442677.090096924
28,1458174.2700786141
29,1499384.4541729812
30,1462236.3276310312
31,1447822.2215528912
32,1479084.076671441
33,1433867.690890911
34,1431808.8462776612
35,1266172.2824346642
36,1486941.532393916
37,1532663.213223196
38,1547934.381031166
39,1544851.9767066361
40,1553255.768597016
41,1511518.989190591
42,1496993.3956725912
43,1488139.618303901
44,1480882.887882366
45,1461326.281001871
46,1573081.872783326
47,1580216.5212825362
48,1585144.8357361462
49,1528574.253251956
50,1535564.141444036
51,1530871.342871936
52,1534132.670459856
53,1442164.617674221
54,1552129.569127036
55,1570319.750779336
56,1573820.3027071161
57,1583688.6093834562
58,1577985.515837466
59,1546166.013313506
60,1464509.960995309
61,1540204.234323526
62,1522975.595463236
63,1496342.809749586
64,1089578.282448252
65,1370467.070123042
66,1411242.0420632942
67,1479950.1408161111
68,1519597.3593189062
69,1543902.3683566411
70,1496671.1713626161
71,1558241.857409076
72,1516115.636082961
73,1546252.7620498461
74,1537864.783751206
75,1523134.606093036
76,1527045.251252036
77,1510653.808875056
78,1451712.065143172
79,1403881.664405642
80,1422388.849609622
81,1461141.237382519
82,1520757.274953681
83,1496238.0813121512
84,1525700.659175761
85,1504888.878115121
86,1481337.769537866
87,1487923.724999966
88,1408889.775799832
89,1365564.464151412
90,1363449.846115032
91,1340890.824683442
92,1455990.254427082
93,1503364.537381174
94,1511110.600404774
95,1534845.0969073712
96,1492647.409951131
97,1478635.5127674912
98,1483938.1573175911
99,1368872.097059204
100,1327711.754840814
101,1429414.601743872
102,1465180.3558407342
103,1551140.644830231
104,1567406.9400022612
105,1543262.551206331
106,1490380.706374501
107,1450881.4029672411
108,1282565.493606382
109,1392809.088707702
110,1462775.0216418642
111,1525919.523468831
112,1545521.437131331
113,1485487.787425834
114,1462201.453501164
115,1440792.728053644
116,1458824.2966639912
117,1348966.636038502
118,1418885.340854312
119,1415543.6011149741
120,1401550.419703694
121,1453305.351079111
122,1433666.7707918142
123,1401602.237244944
124,1357341.9951270241
125,1330700.447816362
126,1337794.707232482
127,1382197.506288832
128,1395497.779023822
129,1431572.951054184
130,1405355.181517322
131,1404334.299805914
132,1408307.2907544542
133,1428882.221085732
134,1473526.068622669
135,1405438.057803832
136,1283131.894588312
137,1408047.495585402
138,1448443.205546212
139,1437570.409512382
140,1424025.728418802
141,1387222.738618172
142,1430851.411737552
143,1468220.562601669
144,1392451.645074712
145,1467384.731370969
146,1577093.342821371
147,806911.035962832
148,849241.59557747
149,1395918.592975564
150,1347346.858279962
151,1310167.102778612
152,1223479.8527443921
153,1326065.411192562
154,1477875.396060202
155,1393902.089847402
156,1300872.155248912
157,1233155.705882072
158,1189853.921986702
159,1240501.066926912
160,1343040.447192802
161,1563719.220737226
162,1514462.2111201212
163,957101.373891402
164,1054022.722280502
165,1184271.480196992
166,1073711.844328302
167,1011322.594024522
168,1321189.669863882
169,1243095.909574932
170,1253168.945855242
171,1307230.715138612
172,1218190.400923782
173,1112193.093789532
174,1521820.393480486
175,1231243.818568952
176,1356286.758705192
177,1356463.2245385242
178,1291338.169796512
179,1253545.373031142
180,1157088.115453192
181,1340891.5801308241
182,1251842.317174202
183,1217497.909310362
184,1257149.394987002
185,1227276.199225382
186,1237805.893500542
187,1425084.764386402
188,1344012.497746432
189,1342688.804863872
190,1285915.251727002
191,1258693.701079702
192,1429759.1115293321
193,1335857.375872672
194,1511271.5850180811
195,1428525.736767532
196,1265290.148916602
197,1529489.392486481
198,1422400.842291612
199,1259111.142069112
200,1415433.082058222
201,1382153.259326662
202,1263096.258656582
205,1333460.080352772
206,1280072.739868512
207,1261879.845978502
208,1474526.386817169
209,1331963.480658592
210,1474527.676838312
211,1468726.553557982
212,1362611.676727222
213,1282454.1185524021
214,1172496.458271042
215,1571641.068904182
216,1347786.710272772
217,1427480.538190542
218,1348244.600357692
219,1309968.943591502
220,1190822.851500342
221,1045809.286609882
222,1353072.439482792
223,1153734.227533322
224,1432792.547057162
225,1157487.446473902
226,940547.165271112
227,1075093.539758302
228,1088874.546301352
229,1047602.044680012
230,922212.011642812
231,1036218.785380662
232,1054907.337585872
233,1093369.826720662
236,1027487.201224262
237,972521.379312112
238,990812.927714132
239,1284826.210376172
240,1438010.066908112
241,1115516.309509152
242,1168448.059217592
243,1215856.302425702
244,1435883.805266012
245,1247363.505350742
246,1228606.078529082
247,1264659.643520342
248,1289923.852628312
249,1295520.951779342
250,1176518.062282872
251,1144588.693285902
252,976513.249797762
253,1101921.469528902
254,1334319.436757332
255,1283212.914871512
256,1223839.540303212
257,1161602.847726602
258,1235288.226061142
259,1171257.802620982
260,1146876.733257422
261,1058755.425178422
262,1092001.70723183
263,1005716.4385165
264,1248240.005259672
265,1027556.211358822
266,982278.182554
267,922068.87444491
268,1186794.774102872
270,1319492.515220062
271,1246408.322562202
272,1088468.100174152
273,1046483.64137003
274,1235154.688112852
275,1168317.672901122
276,1019031.75122925
277,1183084.367473582
278,1000907.38506464
279,1285506.832682772
280,977324.7473877401
281,1079465.457069602
282,946735.58532995
283,1109072.750752362
284,1091090.842279352
285,1056841.73076547
286,914724.55187984
287,1007924.90547554
288,921142.37148869
289,917126.4277269801
290,873996.92464059
291,1297894.121524652
292,1189989.393832552
300,916981.075664712
301,848952.041895552
302,853841.582217652
303,925275.95118465
304,986264.568714682
305,1117832.650552692
306,950534.9267646921
307,1102647.474064472
308,1033714.444359942
309,1268278.039940132
310,1113076.876124522
311,851970.289967692
312,949336.662159692
313,1058316.936553992
314,1093958.383847272
315,1100559.161922972
316,1056282.807855692
317,1137407.819978652
318,1099234.597312942
319,1217356.359398112
320,1199762.168006412
321,1140666.628674272
322,1120106.776658362
323,1051644.473557832
324,994341.613373412
325,1071217.232255952
328,1195380.658223482
329,1095789.553735652
330,904041.60402384
331,1287726.516025732
332,874731.12160404
333,1171187.614907482
334,89766.0082014
400,102576.69704814
401,143050.13020356
402,152060.34721753
405,567499.15073579
406,383648.9229149
407,578806.35048912
408,632384.22025699
409,1004835.98334503
410,1110394.050209022
411,1332359.446150176
412,903907.15214108
413,767494.17193807
414,950474.24794443
415,714032.27050459
416,757062.46870059
417,662995.16053979
418,1058916.49960554
420,844819.72320727
421,585551.1318899
422,549963.117491
423,563220.5765949
424,522965.4450267
425,432077.5430237
426,626506.73399632
428,118137.97210243001
429,108000.218006
430,39602.28354307
433,1153027.201506262
434,959593.20317786
435,51075.4951078
500,890059.01772682
501,802580.66071473
502,824355.3061092
503,691648.99061116
504,704952.58932231
505,723507.41488411
508,631804.61739906
509,586817.66379488
510,588645.64547727
511,788134.65850523
512,713057.50643326
513,629597.88853256
514,673586.57331426
517,1244583.942530512
518,1090520.321215902
519,984291.467623352
520,1034115.814586272
521,959307.362299152
522,844952.810131
523,906475.28467082
524,739122.36354788
525,1167076.529837492
527,755623.9310759
530,832003.8734106501
531,966621.360537702
532,857084.22568547
533,767721.87666923
534,1149818.636026192
535,951486.369407102
536,1034206.362791502
537,1219656.854747482
538,771253.88316255
539,1272131.284520562
540,653720.53994206
541,1102997.905155902
542,806393.81312015
543,715994.93524476
544,709033.7016717601
545,826451.8865866
548,240745.09792608
549,330597.53784268
550,585505.3164567701
551,327992.00210456
554,978622.995307362
555,1054607.856367532
556,1176743.0135295321
