SA4,PWA_30,PWA_45,PWA_60,average,
Sydney - City and Inner South,"257,238","688,542","1,111,554","685,778",1
Sydney - Eastern Suburbs,"65,780","348,176","741,563","385,173",3
Sydney - Inner West,"60,817","438,781","1,022,231","507,276",2
Sydney - Parramatta,"22,177","117,645","430,160","189,994",7
Sydney - Ryde,"22,316","150,130","672,626","281,691",5
Sydney - North Sydney and Hornsby,"79,606","310,295","630,519","340,140",4
Sydney - Northern Beaches,"10,930","47,006","217,635","91,857",9
Sydney - Inner South West,"15,756","111,297","501,416","209,490",6
Sydney - Sutherland,"8,454","29,395","92,905","43,584",12
Sydney - Outer South West,"3,761","15,151","38,232","19,048",13
Sydney - South West,"7,358","33,828","106,240","49,142",11
Sydney - Blacktown,"6,485","38,346","147,680","64,170",10
Sydney - Baulkham Hills and Hawkesbury,"8,363","55,951","244,200","102,838",8
Sydney - Outer West and Blue Mountains,"2,979","13,058","34,146","16,727",14
,,,,,
averages,,,,,
