SA3,PWA_30,PWA_45,PWA_60,average
Sydney Inner City,342153.4394206101,805671.6530428824,1205422.4178466096,784415.836770034
North Sydney - Mosman,192394.9861007665,586378.8621262902,997924.0339304685,592232.6273858417
Leichhardt,122162.2917241765,587086.8817053925,995130.561480654,568126.5783034078
Marrickville - Sydenham - Petersham,70117.56865447566,564228.4291978114,1046165.5446180578,560170.5141567816
Strathfield - Burwood - Ashfield,43291.05346298567,405322.5568958337,1052269.4521909056,500294.35418324167
Chatswood - Lane Cove,103688.48706192356,483557.9388687219,909483.6636930077,498910.02987455105
Canada Bay,51635.45387196704,400785.3886025104,986752.8084061985,479724.5502935587
Eastern Suburbs - North,95370.46305051252,404645.902673833,775477.9961727165,425164.7872990207
Botany,79715.71549282949,286029.2151689526,748639.9358336456,371461.62216514256
Eastern Suburbs - South,38860.70359318098,296804.34524572943,710710.8220926705,348791.95697719365
Ryde - Hunters Hill,25131.63409857056,156278.20479069636,720491.4147473658,300633.7512122109
Kogarah - Rockdale,24935.339624066488,186607.898095208,643230.1871091728,284924.4749428158
Parramatta,41305.79799732651,170540.29072930393,578860.7919407858,263568.9602224721
Auburn,18784.3278899488,123334.8372415441,590539.1787300215,244219.44795383813
Canterbury,12521.917804101355,92824.53114938903,598587.0210255513,234644.48999301388
Hurstville,13760.226496755768,126056.09315344563,563932.9045435615,234583.07473125428
Pennant Hills - Epping,14302.46828757728,132627.2152677393,536366.9791619267,227765.55423908107
Manly,13845.321512181223,92808.73098613205,487801.83266847266,198151.96172226197
Ku-ring-gai,11580.500044757993,108238.9852833761,390099.3870254879,169972.95745120733
Baulkham Hills,10634.305886023221,70947.45738982118,314851.228349542,132144.33054179547
Carlingford,8935.548200038345,75052.27939825662,277899.97129496105,120629.266297752
Merrylands - Guildford,12285.83448919006,83923.90021238463,263582.7268534393,119930.820518338
Bankstown,12296.785966067304,53948.26220564146,263590.3667948664,109945.13832219172
Blacktown,9157.990506443453,53029.70931801388,200300.50471874292,87496.06818106676
Warringah,11764.979908290774,43730.29594058037,201809.8764412794,85768.38409671684
Blacktown - North,5470.174362960193,37064.747139461186,145670.48027146925,62735.13392463021
Hornsby,7346.266416303205,28377.266280276708,147874.91216857018,61199.481621716695
Fairfield,7728.508068755099,40769.853263760335,133801.82518664486,60766.7288397201
Liverpool,10775.284129236696,38082.56966173934,110460.2987371474,53106.05084270781
Sutherland - Menai - Heathcote,4971.329834767251,21813.353688344778,104992.48371072332,43925.72241127845
Cronulla - Miranda - Caringbah,12242.94563641631,37646.046078267376,79750.27425579277,43213.08865682549
Mount Druitt,4108.082686332556,21722.574015298527,85967.01876454627,37265.89182205912
Rouse Hill - McGraths Hill,3193.0960955484134,23830.338445404082,74073.74397360909,33699.05950485386
St Marys,2343.0450086027945,19177.452058028754,60239.63394207053,27253.377002900696
Campbelltown (NSW),4390.07721437388,18906.07900888993,47686.962729054554,23661.039650772786
Bringelly - Green Valley,2777.8593242809497,16370.251908970598,51427.92993287457,23525.347055375372
Penrith,4675.33487787709,18520.028556918107,45099.83871415726,22765.067382984154
Pittwater,6239.520811539201,18619.08772434713,40539.99972321169,21799.536086366006
Dural - Wisemans Ferry,1430.3267629675645,6371.753641589989,47169.39353222906,18323.824645595538
Camden,3299.3113657721055,10829.034319601886,27548.7849409123,13892.376875428765
Richmond - Windsor,1854.0030186356285,4958.515435509716,10000.912076836932,5604.476843660758
Blue Mountains,789.8089426180088,2223.199776895572,6166.898374651,3059.9690313881933
Hawkesbury,416.3441333683188,1723.150351778052,2687.98047544592,1609.1583201974302
Wollondilly,575.5662826547563,575.5662826547563,967.664408919541,706.2656580763511
