num_opportunities,EMP_2016,L2&L3,Marginal,Base,Net to Base,ERP,,
60,659587.7972,659034.6986,553.0986284,659034.6986,553.0986284,46.75710141,6.71E+00,
61,680583.8254,680583.8254,-2.97E-05,680583.8254,-2.97E-05,0.00010299,1.53E-05,
62,656356.6988,655803.6002,553.098622,655803.6002,553.098622,91.76152943,1.31E+01,
63,666468.5578,665915.4592,553.0986253,665915.4592,553.0986253,30.11767072,4.37E+00,
64,279396.8028,279396.8028,-3.84E-05,279396.8028,-3.84E-05,3.195967297,1.94E-01,
65,543000.7273,532611.4329,10389.29442,532611.4329,10389.29442,528.3963552,6.25E+01,
66,559555.2735,553286.8459,6268.427611,553286.8459,6268.427611,0.00010299,1.25E-05,
67,597093.8359,595570.2941,1523.54185,595570.2941,1523.54185,138.8149333,1.80E+01,
68,634541.6219,624702.1311,9839.490799,624702.1311,9839.490799,0.00010299,1.42E-05,
69,652338.704,649439.5988,2899.105239,649439.5988,2899.105239,54.51634872,7.74E+00,
70,627929.6047,618703.3539,9226.250794,618703.3539,9226.250794,74.44696069,1.02E+01,
71,667020.6893,662425.1484,4595.540873,662425.1484,4595.540873,0.00010299,1.50E-05,
72,625920.4818,624109.8986,1810.583216,624109.8986,1810.583216,0.631209554,8.60E-02,
73,646125.9581,643838.2046,2287.75346,643838.2046,2287.75346,9.296291089,1.31E+00,
74,653928.6428,653928.6428,-3.76E-05,653928.6428,-3.76E-05,7.429876834,1.06E+00,
75,661320.9548,661320.9548,-7.44E-06,661320.9548,-7.44E-06,0.00010299,1.48E-05,
76,675412.0045,675412.0045,3.72E-05,675412.0045,3.72E-05,2.12463254,3.12E-01,
77,696186.7067,696186.7067,9.96E-06,696186.7067,9.96E-06,15.48768274,2.35E+00,
78,563526.9917,559522.715,4004.276723,559522.715,4004.276723,0.00010299,1.26E-05,
79,546032.1348,539763.7072,6268.427564,539763.7072,6268.427564,22.0473012,2.62E+00,
80,576091.6781,574092.8542,1998.823927,574092.8542,1998.823927,845.0590729,1.06E+02,
81,603836.4715,601412.6483,2423.823243,601412.6483,2423.823243,102.2352226,1.34E+01,
82,630037.468,628226.8848,1810.583225,628226.8848,1810.583225,11.77703801,1.62E+00,
83,624111.8908,622301.3076,1810.583246,622301.3076,1810.583246,0.631211547,8.58E-02,
84,635921.9405,635368.8418,553.0986982,635368.8418,553.0986982,23.94850525,3.32E+00,
85,645444.5352,643156.7817,2287.753532,643156.7817,2287.753532,0.00010299,1.45E-05,
86,664435.1375,664435.1375,2.38E-05,664435.1375,2.38E-05,1.586547553,2.30E-01,
87,681737.1961,681737.1961,1.14E-05,681737.1961,1.14E-05,0.00010299,1.53E-05,
88,543857.6981,540322.3715,3535.326633,540322.3715,3535.326633,440.0987338,5.21E+01,
89,509026.366,500885.0621,8141.303869,500885.0621,8141.303869,6.419590335,7.11E-01,
90,539054.9085,536905.2144,2149.694084,536905.2144,2149.694084,6.116354161,7.18E-01,
91,516701.8139,507687.767,9014.046939,507687.767,9014.046939,0.00010299,1.16E-05,
92,632435.0782,627792.0721,4643.00612,627792.0721,4643.00612,333.1503288,4.59E+01,
93,670945.5271,670392.4284,553.0986889,670392.4284,553.0986889,230.0699412,3.36E+01,
94,695527.5522,694974.4536,553.0986328,694974.4536,553.0986328,55.34771426,8.38E+00,
95,709707.826,709154.7273,553.0987017,709154.7273,553.0987017,6.11624361,9.45E-01,
96,703359.3441,703359.3441,-2.10E-05,703359.3441,-2.10E-05,45.55049807,6.98E+00,
97,659982.8692,659982.8692,1.10E-05,659982.8692,1.10E-05,15.50459424,2.23E+00,
98,672796.6858,672796.6858,-3.84E-05,672796.6858,-3.84E-05,53.49065266,7.84E+00,
