num_opportunities,EMP_2016,T2&T3,Marginal,,Gains over Base,ERP,,
1,1102908.879,1102908.879,9.13E-05,1099931.164,2977.715091,0.00010299,2.47E-05,"442,606"
2,1188982.001,1188982.001,-0.00036819,1188749.677,232.3236318,0.00010299,2.67E-05,
3,1337532.575,1337532.575,9.36E-05,1336597.471,935.1040936,0.00010299,3.00E-05,
4,1435537.085,1435537.085,0.00027701,1434338.518,1198.567277,58.99529221,1.84E+01,
5,1426926.442,1426926.442,7.54E-05,1425828.113,1098.329075,142.8118795,4.44E+01,
6,1145131.987,1144015.318,1116.669295,1144015.318,1116.669295,48.40819099,1.21E+01,
7,1224440.232,1224440.232,0.00025536,1224440.232,0.00025536,178.3730884,4.76E+01,
8,1203879.75,1203879.75,-0.00046484,1203647.425,232.3245352,62.80657353,1.65E+01,
9,1090274.543,1090274.543,-0.00042982,1089044.08,1230.46257,377.5755298,8.96E+01,
10,1177668.975,1177668.975,0.00026086,1177436.651,232.3242609,92.57474947,2.37E+01,
11,1103684.161,1103143.174,540.9865332,1103143.174,540.9865332,0.00010299,2.47E-05,
12,1140388.19,1139271.521,1116.669321,1139271.521,1116.669321,24.53771006,6.09E+00,
13,1262482.645,1261551.986,930.659022,1260453.657,2028.988022,32.26452915,8.87E+00,
14,1281527.683,1281527.683,0.00028042,1280429.354,1098.32928,14.29122678,3.99E+00,
15,1190614.932,1190614.932,-0.00010544,1190614.932,-0.00010544,26.29969088,6.82E+00,
16,1300864.024,1300864.024,0.00045651,1299324.508,1539.516457,0.00010299,2.92E-05,
17,1207860.282,1207860.282,-0.00015374,1207419.095,441.1868463,0.00010299,2.71E-05,
18,1260070.56,1259139.901,930.6585711,1258727.352,1343.207571,56.94404446,1.56E+01,
19,1262659.262,1261728.603,930.659336,1261316.055,1343.207336,373.1507618,1.03E+02,
20,1316630.655,1316630.655,-0.00032382,1315359.115,1271.539676,73.75688622,2.11E+01,
21,1347808.947,1347808.947,-3.65E-06,1346300.28,1508.666996,12.42697009,3.65E+00,
