num_opportunities,Base 30 Mins,30 Mins,Base 45 Mins,45 Mins,Base 60 Mins,60 Mins,TZ16_CODE,,TZ16_NAME,Tz16_Area,30 Min Lin ,45 Min Lin,60 Min Lin
38,631246.8685,-1.49E-05,1093682.823,11829.55655,1543904.906,2406.255178,38,YES,Sydney CBD_1 York St,7629.562321,-3.69E-03,9.84E+05,9.36E+04
39,634500.606,-4.31E-06,1110085.991,9200.650223,1546883.191,2222.970681,39,YES,Sydney CBD_AAP Centre,19490.92875,-2.73E-03,1.95E+06,2.21E+05
40,654875.7723,-4.68E-05,1143140.983,10808.20605,1548153.882,2049.759991,40,YES,Sydney CBD_10 Bond St and 20 Bond St,14572.64988,-2.22E-02,1.72E+06,1.52E+05
41,625705.835,-8.54E-06,1120140.479,10808.20605,1520121.632,2049.759991,41,YES,Sydney CBD_Royal Exchange Building,7146.816926,-1.98E-03,8.42E+05,7.47E+04
42,623032.6353,2.59E-05,1103878.168,13372.06637,1498892.792,2049.759991,42,YES,Sydney CBD_Lands Dept Building_Bridge St,6357.739406,5.35E-03,9.27E+05,6.65E+04
43,613221.0454,6687.01597,1094689.42,7081.601612,1477008.729,97.09204977,43,YES,Sydney CBD_Department of Education Building,6398.754555,1.39E+06,4.94E+05,3.17E+03
44,623289.3715,6687.015986,1093018.038,7990.295798,1473073.023,473.1040421,44,YES,Sydney CBD_Governor Macquarie Tower_Governor Phillip Tower,11622.65432,2.53E+06,1.01E+06,2.80E+04
45,623978.8483,7034.198703,1081143.401,7865.937756,1448935.466,2012.974259,45,YES,Sydney CBD_ABN Amro Tower_Aurora Place,22184.0785,5.07E+06,1.90E+06,2.28E+05
46,683647.9528,1815.611459,1142893.083,10121.70893,1571932.289,2049.759991,46,YES,Sydney CBD_The York Apartment Hotel,6129.611467,3.62E+05,6.76E+05,6.41E+04
47,706893.607,1815.611393,1181617.918,9151.233767,1576696.86,737.0392528,47,YES,Sydney CBD_Metcentre,13887.99946,8.19E+05,1.39E+06,5.22E+04
48,683325.0021,1815.61148,1178616.928,9301.70654,1583613.334,2049.759991,48,YES,Sydney CBD_Australia Square,13399.92826,7.91E+05,1.36E+06,1.40E+05
49,640322.7299,6687.015945,1134765.532,12197.5251,1534006.272,2049.759991,49,YES,Sydney CBD_Radisson Plaza Hotel,12977.67413,2.82E+06,1.73E+06,1.36E+05
50,646642.7264,8282.491746,1141586.954,9635.411538,1537749.947,2965.021864,50,YES,Sydney CBD_25 Bligh St,16749.40533,4.51E+06,1.76E+06,2.53E+05
51,636716.8662,8282.491741,1129001.483,9498.335131,1523933.809,2965.021864,51,YES,Sydney CBD_Wentworth Hotel,12746.48332,3.43E+06,1.32E+06,1.93E+05
52,654341.8126,9814.034861,1145072.164,9009.648752,1535235.714,2759.932588,52,YES,Sydney CBD_Chifley Square_Chifley Tower,15234.74128,4.86E+06,1.50E+06,2.14E+05
53,558219.8077,-1.07E-05,989736.8361,16354.10966,1433753.981,2172.456324,53,YES,Sydney CBD_King St Wharf_Northern End,29032.55945,-1.01E-02,5.18E+06,3.22E+05
54,657888.6731,-4.96E-05,1119389.708,10836.98176,1545799.187,2406.255178,54,YES,Sydney CBD_Westpac Place,17119.20495,-2.76E-02,2.02E+06,2.10E+05
55,667430.5675,1815.611418,1144125.638,10121.70893,1567041.3,2049.759991,55,YES,Sydney CBD_83 Clarence St,10947.03167,6.46E+05,1.21E+06,1.14E+05
56,703969.0635,6687.016,1151677.375,11187.51921,1574381.389,942.1285291,56,YES,Sydney CBD_Wynyard Station_York St,12411.30385,2.70E+06,1.51E+06,5.96E+04
57,716864.3889,6687.015984,1185634.072,11187.51921,1577632.647,97.09204977,57,YES,Sydney CBD_Wynyard Station_George St,30102.61628,6.54E+06,3.67E+06,1.49E+04
58,686818.1742,6687.015951,1169405.317,11187.51921,1569909.896,0,58,YES,Sydney CBD_Hunter Connection,21693.94338,4.71E+06,2.65E+06,0.00E+00
59,656568.6933,9302.226811,1144579.612,8000.075245,1547928.307,1220.062371,59,YES,Sydney CBD_QBE Building,10366.01952,3.13E+06,9.04E+05,6.45E+04
60,659034.6986,-2.47E-05,1077264.766,8453.557737,1464171.109,0,60,YES,Sydney CBD_Savings Bank Building,10816.1342,-8.68E-03,9.97E+05,0.00E+00
61,680583.8254,11191.59146,1147397.125,2404.046683,1531584.226,1631.728231,61,YES,Sydney CBD_Colonial Centre_Goodsell Building,9573.43,3.48E+06,2.51E+05,7.97E+04
62,655803.6002,11324.17324,1136514.394,8839.458721,1523551.211,1437.521605,62,YES,Sydney CBD_Martin Place Station_Hunter St and Macquarie St,14067.41983,5.18E+06,1.36E+06,1.03E+05
63,665915.4592,9320.539976,1111753.788,7651.23701,1494529.036,1220.062371,63,YES,Sydney CBD_Parliament House_Sydney Hospital,68780.05289,2.08E+07,5.74E+06,4.28E+05
64,279396.8028,-3.84E-05,633036.0306,8686.102514,1100057.082,9330.295884,64,YES,Mrs Macquaries Chair,143531.9027,-1.79E-01,1.36E+07,6.83E+06
65,532611.4329,-4.26E-05,938933.3424,14591.81773,1367756.414,2029.371391,65,YES,Sydney CBD_King St Wharf_Southern End,14395.44479,-1.99E-02,2.29E+06,1.49E+05
66,553286.8459,2.80E-05,975253.5638,16511.71133,1406559.626,1999.245633,66,YES,Sydney CBD_Slip St,16475.59194,1.50E-02,2.97E+06,1.68E+05
67,595570.2941,3925.969605,1045099.18,11723.42836,1474977.254,2049.482133,67,YES,Sydney CBD_Lumley House,19926.0001,2.54E+06,2.55E+06,2.08E+05
68,624702.1311,6940.385527,1095124.871,10333.29081,1511831.546,2406.255178,68,YES,Sydney CBD_Red Cross House,14129.87804,3.19E+06,1.59E+06,1.73E+05
69,649439.5988,1815.611399,1110700.026,11940.84664,1540817.677,2049.759991,69,YES,Sydney CBD_AWA Building,8170.834637,4.82E+05,1.06E+06,8.54E+04
70,618703.3539,6940.385518,1085522.959,9947.338057,1497735.829,2049.759991,70,YES,Barrack St and York St,7780.211811,1.75E+06,8.44E+05,8.13E+04
71,662425.1484,6687.016012,1146003.065,11187.51921,1563460.039,97.09204977,71,YES,Centenary Square,7520.760436,1.63E+06,9.17E+05,3.72E+03
72,624109.8986,1815.611449,1119524.284,9151.233768,1513477.7,97.09204977,72,YES,Centenary Square and George,10913.76096,6.44E+05,1.09E+06,5.40E+03
73,643838.2046,7034.198691,1140932.058,8511.000505,1544322.327,2218.063535,73,YES,Sydney CBD_No.1 Martin Place,24095.53391,5.51E+06,2.24E+06,2.73E+05
74,653928.6428,9302.226741,1127760.981,7614.55299,1530798.898,1220.062371,74,YES,MLC Centre Sydney,19218.99924,5.81E+06,1.60E+06,1.20E+05
75,661320.9548,9995.762917,1129542.238,5501.924722,1519406.298,964.4175627,75,YES,Martin Place and Elizabeth St,10794.63396,3.51E+06,6.47E+05,5.31E+04
76,675412.0045,10648.95039,1141519.424,1929.132987,1523316.943,2902.528375,76,YES,Martin Place and Phillip St,9440.499185,3.27E+06,1.99E+05,1.40E+05
77,696186.7067,10812.36524,1136004.969,1929.132988,1508295.597,1437.521605,77,YES,Martin Place Station,14175.2392,4.98E+06,2.98E+05,1.04E+05
78,559522.715,-1.12E-05,994268.0513,9126.532325,1407068.567,1269.979424,78,YES,Star City_Pyrmont Bay Ferry Wharf,22341.37156,-8.13E-03,2.22E+06,1.45E+05
79,539763.7072,-1.83E-05,972729.844,15712.40437,1384357.105,1999.245633,79,YES,Sydney Aquarium,42496.50077,-2.53E-02,7.28E+06,4.33E+05
80,574092.8542,723.4659187,1013672.069,10616.73781,1412382.041,2689.429336,80,YES,Allianz Centre,22366.29744,5.26E+05,2.59E+06,3.07E+05
81,601412.6483,4.82E-05,1047764.909,10836.98176,1457872.292,2603.236889,81,YES,King St and Clarence St,15089.06279,2.36E-02,1.78E+06,2.00E+05
82,628226.8848,1815.611458,1084681.236,8887.915709,1514196.944,737.0392528,82,YES,Westpac Building,16846.33276,9.94E+05,1.63E+06,6.33E+04
83,622301.3076,4.63E-05,1091641.63,10808.20605,1493463.81,951.4311801,83,YES,King St and George St,17061.28475,2.57E-02,2.01E+06,8.28E+04
84,635368.8418,1815.611477,1119773.269,6733.240704,1522926.388,0,84,YES,Sydney CBD_Strand Arcade,16576.71142,9.78E+05,1.22E+06,0.00E+00
85,643156.7817,1815.611478,1110231.675,6733.240704,1501429.264,0,85,YES,Sydney CBD_Centrepoint,15275.41577,9.01E+05,1.12E+06,0.00E+00
86,664435.1375,8686.10254,1086262.635,7611.823943,1481142.299,964.4175627,86,YES,David Jones_Elizabeth Street,12122.55966,3.42E+06,1.01E+06,5.96E+04
87,681737.1961,10507.57098,1109749.132,1250.818095,1487923.725,446.3182704,87,YES,Law Courts Building Sydney,11853.1391,4.05E+06,1.62E+05,2.70E+04
88,540322.3715,4.43E-06,948476.539,8535.455093,1376484.825,677.2012367,88,YES,"Darling Harbour_Novotel, Grand Mercure, Ibis",39939.40502,5.75E-03,3.72E+06,1.38E+05
89,500885.0621,-4.96E-05,935810.1077,15875.61727,1341063.328,1915.720858,89,YES,Harbourside_Darling Harbour,93823.6793,-1.51E-01,1.62E+07,9.17E+05
90,536905.2144,3925.969609,978755.5809,11011.07752,1357029.52,2691.303545,90,YES,Cockle Bay Wharf,12729.91793,1.62E+06,1.53E+06,1.75E+05
91,507687.767,3.40E-05,941994.5848,15875.61723,1336454.125,1915.720858,91,YES,Cockle Bay Wharf_East,28385.95123,3.14E-02,4.91E+06,2.77E+05
92,627792.0721,6687.016006,1066481.791,11187.51921,1439412.078,737.0392528,92,YES,Market St and Kent St,18947.31594,4.12E+06,2.31E+06,7.12E+04
93,670392.4284,8282.491812,1110217.61,8796.596716,1503735.468,1220.062371,93,YES,Market St and Clarence St,12537.29958,3.37E+06,1.20E+06,7.80E+04
94,694974.4536,8686.102496,1127144.403,2705.731994,1508664.743,1220.062371,94,YES,Market St and York St,15443.30979,4.36E+06,4.55E+05,9.61E+04
95,709154.7273,8686.102565,1158650.752,2705.731994,1536501.467,1220.062371,95,YES,Queen Victoria Building,11986.26124,3.38E+06,3.54E+05,7.46E+04
96,703359.3441,8686.102495,1127704.296,2293.183718,1500351.817,1220.062371,96,YES,Sydney CBD_Galeries Victoria,28064.59261,7.92E+06,7.01E+05,1.75E+05
97,659982.8692,6687.015997,1110761.828,7878.761342,1479301.534,0,97,YES,Piccadilly Arcade,28769.26751,6.25E+06,2.47E+06,0.00E+00
98,672796.6858,7034.198678,1135278.43,2307.117735,1479775.085,446.3182704,98,YES,Sheraton On The Park,19184.57676,4.39E+06,4.82E+05,4.37E+04
99,579723.3555,1815.61142,975062.1668,7743.246643,1368198.202,0,99,YES,St. Mary's Cathedral,20220.24647,1.19E+06,1.71E+06,0.00E+00
100,539643.7119,1815.611447,936152.218,10123.27495,1327589.437,2049.759991,100,YES,Art Gallery Of NSW,186788.4385,1.10E+07,2.06E+07,1.95E+06
101,629217.792,6687.016014,1046674.302,11187.51921,1429219.131,737.0392528,101,YES,Darling Harbour_Crown Plaza Hotel,15834.87293,3.44E+06,1.93E+06,5.95E+04
102,642977.1416,8282.491797,1093102.549,8796.596716,1464864.883,1220.062371,102,YES,Druitt St and Kent St,13826.33208,3.72E+06,1.33E+06,8.60E+04
103,738848.3426,9320.540012,1185230.487,677.2012367,1552085.429,1437.521605,103,YES,Sydney CBD_Sydney Town Hall,26694.84618,8.09E+06,1.97E+05,1.96E+05
104,774605.9852,9144.845497,1185163.237,677.2012367,1567817.226,1220.062371,104,YES,Town Hall Station,16072.83088,4.78E+06,1.19E+05,1.00E+05
105,748468.6536,9133.40918,1201405.094,2603.815962,1543798.993,446.3182704,105,YES,Sydney CBD_Defence Plaza,14487.8945,4.30E+06,4.11E+05,3.30E+04
106,709353.1683,7034.198726,1132742.759,1859.070968,1490605.067,0,106,YES,Park St and Elizabeth St,9942.012928,2.27E+06,2.01E+05,0.00E+00
107,681985.8491,6687.015979,1070963.461,1784.914391,1450881.403,0,107,YES,St James Station,193075.4495,4.20E+07,3.76E+06,0.00E+00
108,479547.3153,4.10E-05,854858.904,9473.937072,1276790.477,961.8377926,108,YES,Exhibition Centre_Darling Harbour,150505.3481,2.01E-01,1.55E+07,7.38E+05
109,606152.3387,1815.611464,1019048.326,9151.233767,1396045.555,97.09204977,109,YES,Millennium Towers,22973.25763,1.36E+06,2.29E+06,1.14E+04
110,635787.7968,8282.491773,1079069.145,8796.596716,1462937.973,1220.062371,110,YES,Bathurst St and Kent St,20750.75601,5.59E+06,1.99E+06,1.29E+05
111,705289.561,9302.226779,1147428.45,677.2012367,1525919.523,1220.062371,111,YES,Greater Union Cinema Centre,22793.48345,6.89E+06,1.68E+05,1.42E+05
112,746292.4009,9995.762887,1176071.172,677.2012367,1547424.129,746.9583289,112,YES,Bathurst St and Pitt St,11404.28474,3.70E+06,8.42E+04,4.34E+04
113,699229.3081,8686.102471,1121621.266,2705.731994,1493192.194,1220.062371,113,YES,Wilmot St and Pitt St,5237.621604,1.48E+06,1.54E+05,3.26E+04
114,646199.4101,8282.491752,1090699.76,2970.494264,1462140.985,1220.062371,114,YES,Court Of Petty Sessions,15263.08821,4.11E+06,4.94E+05,9.50E+04
115,679966.5086,7034.198709,1062495.635,1813.200995,1441018.446,446.3182704,115,YES,Bathurst St and Castlereagh St,21789.64453,4.98E+06,4.31E+05,4.96E+04
116,695264.4258,6687.015952,1082534.106,1786.413028,1459050.015,0,116,YES,Bathurst St and Elizabeth St,15744.04239,3.42E+06,3.07E+05,0.00E+00
117,584761.9934,2.70E-05,977111.7454,4732.699083,1348966.636,0,117,YES,Liverpool St and Sussex,19668.80926,1.73E-02,1.01E+06,0.00E+00
118,632272.4081,6687.015972,1036030.019,3296.627489,1418951.097,473.1040421,118,YES,Liverpool St and George,19684.19281,4.28E+06,7.07E+05,4.75E+04
119,663612.8656,6687.016009,1038420.978,610.6268211,1421717.565,0,119,YES,World Square Sydney,26149.04053,5.68E+06,1.74E+05,0.00E+00
120,663586.3616,-1.67E-05,1015359.84,1681.90919,1405286.09,0,120,YES,Masonic Centre,16347.60654,-8.87E-03,3.00E+05,0.00E+00
121,679236.8402,984.7778433,1059976.821,590.5577254,1451094.687,0,121,YES,Sydney CBD_Downing Centre,10757.60982,3.44E+05,6.92E+04,0.00E+00
122,668175.5527,6940.385522,1031419.366,1707.226955,1433666.771,0,122,YES,Liverpool St and Nithsdale St,13472.45923,3.04E+06,2.51E+05,0.00E+00
123,626318.1718,-3.82E-05,978561.1529,2056.897232,1386317.465,354.1821254,123,YES,Liverpool St and Commonweath St,15796.49971,-1.96E-02,3.54E+05,2.85E+04
124,614657.8192,4.43E-05,960189.3779,2.23E-05,1355654.39,0,124,YES,Liverpool St and Wentworth St,10162.97601,1.46E-02,2.47E-03,0.00E+00
125,549709.1881,1.01E-05,933838.6197,8922.474865,1327194.198,1952.667941,125,YES,Entertainment Centre,53119.8559,1.74E-02,5.17E+06,5.29E+05
126,577774.506,6940.385533,942037.4607,3884.704845,1333285.613,0,126,YES,Holiday Inn_Chinatown,14490.35532,3.27E+06,6.14E+05,0.00E+00
127,617046.8799,1815.611389,1016686.696,644.8723391,1382263.262,0,127,YES,Sussex Centre_Chinatown,8467.153021,5.00E+05,5.95E+04,0.00E+00
128,637911.8593,6687.015971,1033739.204,1085.540517,1395808.269,0,128,YES,Little Hay St and Sussex St_Chinatown,5928.615293,1.29E+06,7.01E+04,0.00E+00
129,654747.4184,7034.19871,1057052.691,610.6268211,1432855.552,300.6400585,129,YES,Goulburn St and George St,14109.95469,3.23E+06,9.39E+04,2.16E+04
130,639290.6589,6687.015986,1034202.718,610.6268211,1405441.311,473.1040421,130,YES,Scruffy Murphys,22704.04237,4.93E+06,1.51E+05,5.48E+04
131,616418.236,723.4658943,993193.0193,812.7840576,1404673.152,0,131,YES,Regis Tower,18089.7868,4.25E+05,1.60E+05,0.00E+00
132,642089.0193,4.34E-05,990589.4463,1450.931106,1408307.291,0,132,YES,Goulburn St and Wentworth St,20109.46225,2.84E-02,3.18E+05,0.00E+00
133,645309.6247,6687.016019,1041246.244,610.6268211,1426175.077,473.1040421,133,YES,Capitol Square,11803.27491,2.57E+06,7.86E+04,2.85E+04
134,677362.096,723.4658701,1089775.298,590.5577254,1473526.069,0,134,YES,Sydney CBD_Belmore Park,63159.93173,1.49E+06,4.07E+05,0.00E+00
135,617862.2285,0,1006591.963,590.5577254,1401314.795,0,135,YES,Paddys Market,19807.01643,0.00E+00,1.27E+05,0.00E+00
136,487476.476,-3.20E-05,868819.541,2899.401111,1271853.504,800.6784187,136,YES,UTS_Ultimo_East,37750.69755,-3.93E-02,1.19E+06,1.54E+05
137,617862.2285,0,1006828.188,590.5577254,1403728.762,0,137,YES,Hay St and George St,6217.884181,0.00E+00,4.00E+04,0.00E+00
138,684073.3822,6687.016013,1065427.61,610.6268211,1445122.47,446.3182704,138,YES,Central Square MLR Stop,6141.059324,1.33E+06,4.09E+04,1.40E+04
139,661278.1732,1815.611451,1049835.898,185.9139666,1434412.626,0,139,YES,Parker St and Hay St,4997.040586,2.95E+05,1.01E+04,0.00E+00
140,617134.8287,6940.385513,1012511.968,743.942424,1419902.466,0,140,YES,Sydney CBD_Sydney Central Building,10195.43286,2.30E+06,8.27E+04,0.00E+00
141,588073.7831,723.4658883,989478.985,812.7840712,1380284.493,0,141,YES,Ultimo St and Hay St,8099.011109,1.90E+05,7.18E+04,0.00E+00
142,654730.7362,8.58E-06,1026039.214,590.5577254,1431011.374,0,142,YES,Ultimo St and George St,22076.00184,6.16E-03,1.42E+05,0.00E+00
143,691644.6044,5856.182379,1077478.195,1015.27058,1464323.018,0,143,YES,Sydney CBD_McKell Building,6937.284639,1.32E+06,7.68E+04,0.00E+00
144,589337.8661,-4.73E-05,985828.5724,2325.382009,1391643.945,0,144,YES,Sydney TAFE,26313.20257,-4.04E-02,6.67E+05,0.00E+00
145,695087.511,7671.793823,1091212.442,610.6268211,1467470.861,0,145,YES,Rawson St and Pitt St,14492.18868,3.61E+06,9.65E+04,0.00E+00
146,757147.877,1815.611472,1204923.44,1578.023099,1577093.343,0,146,YES,Central Station,133134.5415,7.86E+06,2.29E+06,0.00E+00
147,16745.5369,1.60E-06,436501.7124,-2.92E-05,792492.2998,-2.59E-05,147,YES,Goat Island,64184.28731,3.34E-03,-2.04E-02,-8.48E-03
148,83546.30351,-4.42E-06,477526.9026,3925.969579,849571.4291,10769.59861,148,YES,Fort Denison,4123.15218,-5.92E-04,1.76E+05,2.26E+05
149,528047.9274,3.85E-05,949631.4523,16031.53023,1389819.671,1915.720858,149,YES,Sydney CBD_Jenkins St,17113.30218,2.14E-02,2.99E+06,1.67E+05
150,521584.0769,2403.939716,922666.4151,8755.583486,1347281.102,2029.371391,150,YES,Sydney CBD_King St Wharf_Southern End,12229.09607,9.55E+05,1.17E+06,1.27E+05
151,432159.6406,4.19E-05,801522.9676,1815.61139,1262048.704,9979.538235,151,YES,Pyrmont_Darling Island,112076.02,1.53E-01,2.22E+06,5.70E+06
152,407131.117,-3.75E-05,731423.6395,6940.385485,1185115.684,5131.607328,152,YES,John St Square MLR,190243.6129,-2.32E-01,1.44E+07,4.98E+06
153,478992.022,-4.52E-06,891439.9584,6687.015991,1314338.637,1777.702504,153,YES,Fish Markets MLR,170909.7133,-2.51E-02,1.25E+07,1.55E+06
154,577520.0185,0,1000663.858,8296.153091,1434643.585,1487.94581,154,YES,Hardwood St,35693.56715,0.00E+00,3.23E+06,2.71E+05
155,507464.4423,-3.25E-05,905013.2495,9133.409229,1342365.593,2109.899222,155,YES,Experiment St,26340.36787,-2.78E-02,2.62E+06,2.83E+05
156,461071.7162,-4.37E-05,851750.3766,8311.884553,1281744.27,1777.702504,156,YES,Wentworth Park MLR,128912.9083,-1.83E-01,1.17E+07,1.17E+06
157,428680.8886,4.63E-05,790912.8273,7835.185136,1200485.161,1179.240262,157,YES,Powerhouse Museum Ultimo,216002.2913,3.25E-01,1.84E+07,1.30E+06
158,402037.0128,3.48E-05,813082.6189,2455.70218,1189368.718,352.6249524,158,YES,Broadway Shopping Centre_Glebe_Mountain St and Small St,127790.3181,1.45E-01,3.42E+06,2.30E+05
159,491875.3943,0,844019.1415,2990.081406,1236645.587,420.4122114,159,YES,UTS_Ultimo_West,186450.6843,0.00E+00,6.08E+06,4.00E+05
160,552867.9127,1.84E-05,932969.7093,7773.817722,1329881.036,214.3919273,160,YES,ABC Ultimo Centre,24653.01667,1.47E-02,2.09E+06,2.70E+04
161,676738.405,8686.1025,1172954.585,9795.605062,1559221.161,2965.021864,161,YES,Sydney CBD_Perpetual Trustee Building,13745.71999,3.88E+06,1.47E+06,2.08E+05
162,664079.1875,6687.016015,1125072.894,3528.951553,1518312.091,0,162,YES,Sydney CBD_Myer Building,10138.71448,2.20E+06,3.90E+05,0.00E+00
163,102828.5062,4.91E-05,572403.4644,10876.96564,956857.344,12789.12918,163,YES,Garden Island,381186.0623,6.08E-01,4.52E+07,2.49E+07
