num_opportunities,Base 30 Mins,30 Mins,Base 45 Mins,45 Mins,Base 60 Mins,60 Mins,TZ16_CODE,,TZ16_NAME,Tz16_Area,30 Min Lin ,45 Min Lin,60 Min Lin
1,304694.0583,1.68E-05,637053.0488,0,1099931.164,11694.59058,1,YES,Barangaroo_Headland Park,64884.12626,3.54E-02,0.00E+00,3.87E+06
2,390046.5602,-4.51E-05,754544.0389,7481.505336,1188749.677,8360.527733,2,YES,Barangaroo_Northern Cove,74488.64591,-1.09E-01,6.07E+06,3.18E+06
3,505826.8442,2403.939717,912192.6289,10143.01865,1336597.471,1929.132987,3,YES,Barangaroo_Southern Cove,30794.77399,2.41E+06,3.40E+06,3.03E+05
4,553774.2947,1.58E-06,1001489.622,16354.10969,1434338.518,2172.456324,4,YES,Barangaroo_Jenkins Lane,13964.45013,7.17E-04,2.49E+06,1.55E+05
5,546404.6757,3.64E-05,987289.8587,16354.10972,1425828.113,2172.456324,5,YES,Barangaroo_Ferry Terminal,33804.09123,4.00E-02,6.03E+06,3.75E+05
6,342568.3747,-1.20E-05,676491.5382,1815.611415,1144015.318,9765.818373,6,YES,Sydney CBD_Moores Wharf,23405.44884,-9.13E-03,4.63E+05,1.17E+06
7,447450.1412,6.68E-06,797901.672,8368.312574,1224440.232,1454.539044,7,YES,Sydney CBD_Hickson Road_Western End,26724.96224,5.80E-03,2.44E+06,1.98E+05
8,395243.7645,-3.01E-05,770947.8447,7481.505415,1203647.425,2458.073334,8,YES,Sydney CBD_The Rocks_Argyle Place,25366.41025,-2.48E-02,2.07E+06,3.18E+05
9,297697.6284,7.60E-07,609813.4915,6940.385472,1089044.08,10169.56436,9,YES,Walsh Bay,66847.64739,1.65E-03,5.06E+06,3.47E+06
10,379092.9802,7.94E-06,718636.7351,6687.015996,1177436.651,1703.545927,10,YES,Sydney CBD_Hickson Road_Eastern End,32784.86581,8.46E-03,2.39E+06,2.85E+05
11,337462.8743,-2.60E-07,675140.0701,6940.385567,1103143.174,9480.08835,11,YES,Sydney CBD_Dawes Point Park,41747.85415,-3.53E-04,3.16E+06,2.02E+06
12,357991.3728,-1.94E-05,692904.2567,1815.61143,1139271.521,7587.644021,12,YES,Sydney CBD_The Rocks_Trinity Ave,30434.4033,-1.92E-02,6.02E+05,1.18E+06
13,436547.7296,-6.62E-06,839867.2293,7835.18511,1260453.657,1113.943457,13,YES,Sydney CBD_Gloucester Walk,12779.90742,-2.75E-03,1.09E+06,7.26E+04
14,477278.1014,-4.52E-06,886862.5466,9087.507224,1280429.354,183.2844966,14,YES,Sydney CBD_The Rocks_Argyle Centre,20559.55429,-3.02E-03,2.04E+06,1.92E+04
15,380423.7929,-4.00E-06,729459.5359,7034.198746,1190614.932,2039.835304,15,YES,Sydney CBD_Hickson Rd Reserve,20572.76852,-2.67E-03,1.58E+06,2.14E+05
16,500344.1017,2403.939684,888591.8448,9492.151741,1299324.508,861.5993892,16,YES,Sydney CBD_Sydney Cove Overseas Passenger Terminal,26328.3035,2.06E+06,2.72E+06,1.16E+05
17,405817.6646,3.45E-05,779015.0654,9857.110572,1207419.095,624.4716744,17,YES,Sydney Opera House,40824.62043,4.58E-02,4.39E+06,1.30E+05
18,445777.7329,-3.05E-05,828799.3091,8686.102565,1258727.352,2705.731994,18,YES,Sydney CBD_Kent St_Northern Section,31599.51639,-3.13E-02,2.99E+06,4.36E+05
19,450878.0229,4.08E-06,832070.6053,8686.102472,1261316.055,2705.731994,19,YES,Sydney CBD_Sydney Observatory,118316.4661,1.57E-02,1.12E+07,1.63E+06
20,502288.8218,0,932607.061,9160.40543,1315359.115,183.2844966,20,YES,Sydney CBD_The Rocks_King George V Recreation Centre,27769.69912,0.00E+00,2.77E+06,2.60E+04
21,541738.3903,0,967780.3384,8064.96899,1346300.28,800.6784187,21,YES,Sydney CBD_The Rocks_Sydney Harbour Foreshore Authority,15983.04424,0.00E+00,1.41E+06,6.53E+04
22,562585.6056,-1.44E-05,1004964.159,11159.98519,1408220.392,2049.482133,22,YES,Sydney CBD_Museum of Contemporary Art,20519.07661,-9.60E-03,2.50E+06,2.14E+05
23,564141.6281,-2.88E-05,999994.9885,9175.403289,1391814.067,311.4839771,23,YES,Sydney CBD_Circular Quay East_The Toaster,24003.08412,-2.25E-02,2.40E+06,3.81E+04
24,498597.9307,2.00E-05,914110.7455,10181.20452,1321500.506,420.4122114,24,YES,Sydney CBD_The Rocks_Shangri La Hotel,12648.1352,8.22E-03,1.40E+06,2.71E+04
25,560605.3394,-3.45E-05,1019757.006,11131.8859,1429100.459,2189.272331,25,YES,Sydney CBD_The Rocks_Four Seasons Hotel,9991.849693,-1.12E-02,1.21E+06,1.12E+05
26,634663.1488,1.03E-05,1095423.182,7693.925608,1509892.374,0,26,YES,Sydney CBD_Circular Quay Station-Wharves,27298.33604,9.14E-03,2.29E+06,0.00E+00
27,555934.6265,-3.25E-05,1002145.927,10497.92729,1439892.511,2172.456324,27,YES,Sydney CBD_The Rocks_Science House,7229.637676,-7.64E-03,8.27E+05,8.01E+04
28,568716.8324,2.31E-05,1028686.291,10282.0175,1452619.673,3248.974173,28,YES,Sydney CBD_The Rocks_Cove Apartments,9381.668092,7.04E-03,1.05E+06,1.55E+05
29,603337.1555,723.4658624,1089846.081,10669.89282,1497092.192,2689.429336,29,YES,Sydney CBD_Grosvenor Place,11975.35026,2.82E+05,1.39E+06,1.64E+05
30,575646.0563,-3.60E-05,1050928.793,9326.679426,1459115.736,2380.911348,30,YES,Sydney CBD_Circular Quay_Herald Square,32090.31857,-3.75E-02,3.26E+06,3.90E+05
31,586446.7496,6940.385558,1064238.349,10486.67551,1451409.389,2406.255178,31,YES,Sydney CBD_Circular Quay_Gateway Quayside,29015.88832,6.54E+06,3.32E+06,3.56E+05
32,598863.0038,0,1070569.951,10302.56536,1475724.106,951.4311801,32,YES,Sydney CBD_Circular Quay_Customs House,12695.54135,0.00E+00,1.43E+06,6.16E+04
33,601496.3446,1815.611458,1058122.304,7308.426331,1434478.459,0,33,YES,Sydney CBD_Circular Quay_AMP Centre,13111.99091,7.74E+05,1.04E+06,0.00E+00
34,599859.0514,1815.611431,1055031.072,7308.426331,1425782.25,0,34,YES,Sydney CBD_Sir Stamford and InterContinental Hotels,14064.62246,8.30E+05,1.12E+06,0.00E+00
35,468243.0805,-3.72E-05,851644.0123,16988.06827,1265153.023,1935.328609,35,YES,Royal Botanic Gardens,431650.5595,-5.22E-01,7.99E+07,4.26E+06
36,601905.5411,723.465844,1065052.387,11405.03888,1484167.261,2689.429336,36,YES,Sydney CBD_Maritime Trade Towers,19950.23797,4.69E+05,2.48E+06,2.74E+05
37,632414.4599,6940.385515,1115824.407,11256.42519,1533520.737,2786.521385,37,YES,Sydney CBD_35 Clarence St,12826.76054,2.89E+06,1.57E+06,1.82E+05
