TZ16_CODE,30_lin,45_lin,60_lin,30_log,45_log,60_log,Average_Price
3,0.1198743855725,12227568.891426,965166.8060014971,0.01045061587155441,1914522.6081892294,217658.17203070893,4397578.587529999
4,0.00028997345,824800.82,14994.583313916779,1.8658407936535812e-05,95047.64194531014,2546.1720846276467,279931.8011560776
5,0.060446568,7463081.76,135676.20435037633,0.00502488709714385,1112070.1046182031,29543.46637522908,2532919.3323620344
6,-0.0021184215000000003,49201.154115,225118.79995186118,-0.0007801568860933152,29717.983311324737,169688.5873956284,91439.98420585733
7,0.0029882295300000003,1408789.8693,67433.71514608308,0.0006620514445863448,566903.128498337,37317.95192531082,492074.52875707444
8,-0.012528066232500001,981332.10447,160545.92211644037,-0.0033151989691799426,431192.4705194911,95355.65285198997,380626.0062216026
9,4.5942000000000007e-07,1407.0156000000002,964.6849045962001,2.2525997388832405e-08,109.07895434779832,88.37825086591626,790.5668349457245
10,0.0038103637195,1076750.75679,128288.17966076608,0.0011466880788009697,553630.4312107785,84962.94745135325,401679.64630976407
11,-0.00022601299499999997,0.013440150279000002,1219384.8338221712,-8.542792524896121e-06,0.0008224173526950611,96373.4104433556,406461.6157150145
12,-0.004572745385,65693.053803,239349.11132972842,-0.0010921218114896426,26254.419370202144,122779.84210484587,101680.72076676495
13,-0.006361533685,2852267.4735,0.037851376752900005,-0.0004872365963623144,367772.27986075915,0.0068631022985559875,950755.8359756637
14,-0.0022776037050000002,1468597.00845,14492.83621460337,-0.00022334530136915265,251018.6953696867,3620.9606195915158,494363.281138043
15,-0.00059696,334853.232,47771.308469001604,-9.709171899694814e-05,91991.4562734555,16969.00246719818,127541.51337399193
16,-0.00077728911,594011.8936,12756.136284491455,-6.265356164313507e-05,87320.12690112414,2706.383623126806,202256.00982150668
18,-0.01151436,1120537.44,94300.11969871681,-0.0030429705787980597,515873.1062140191,60327.14412709976,404945.8508066838
19,0.007069645908000001,5143087.4247,432822.3858091382,0.0007860688322052169,1003633.8107917053,117588.17321472129,1858636.6048123322
