num_opportunities,EMP_2016,Base,,ERP_2016,,
1,304694.0583,304694.0583,0,1.03E-04,6.83257E-06,"42,253"
2,390046.5602,390046.5602,0,1.03E-04,8.74655E-06,
3,505826.8442,505826.8442,0,1.03E-04,1.13429E-05,
4,553774.2947,553774.2947,0,58.99529221,7.113370587,
5,546404.6757,546404.6757,0,142.8118795,16.99041659,
6,342568.3747,342568.3747,0,48.40819099,3.610700002,
7,447450.1412,447450.1412,0,178.3730884,17.37797896,
8,395243.7645,395243.7645,0,62.80657353,5.404996455,
9,297697.6284,297697.6284,0,377.5755298,24.47397437,
10,379092.9802,379092.9802,0,92.57474947,7.641235305,
11,337462.8743,337462.8743,0,1.03E-04,7.56739E-06,
12,357991.3728,357991.3728,0,24.53771006,1.912634023,
13,436547.7296,436547.7296,0,32.26452915,3.066778085,
14,477278.1014,477278.1014,0,14.29122678,1.485136271,
15,380423.7929,380423.7929,0,26.29969088,2.178429958,
16,500344.1017,500344.1017,0,1.03E-04,1.12199E-05,
17,405817.6646,405817.6646,0,1.03E-04,9.10021E-06,
18,445777.7329,445777.7329,0,56.94404446,5.527031841,
19,450878.0229,450878.0229,0,373.1507618,36.63267941,
20,502288.8218,502288.8218,0,73.75688622,8.066430064,
21,541738.3903,541738.3903,0,12.42697009,1.465818342,
22,562585.6056,562585.6056,0,1.03E-04,1.26156E-05,
23,564141.6281,564141.6281,0,312.8469003,38.42777946,
24,498597.9307,498597.9307,0,181.1260925,19.66331676,
25,560605.3394,560605.3394,0,7.067088463,0.862626992,
26,634663.1488,634663.1488,0,6.464326556,0.893288731,
27,555934.6265,555934.6265,0,208.3514625,25.22002797,
28,568716.8324,568716.8324,0,289.3970132,35.83566042,
29,603337.1555,603337.1555,0,0.642453825,0.084397052,
30,575646.0563,575646.0563,0,27.62682143,3.462675068,
31,586446.7496,586446.7496,0,16.333015,2.085548193,
32,598863.0038,598863.0038,0,266.4666687,34.74526773,
33,601496.3446,601496.3446,0,1.03E-04,1.34882E-05,
34,599859.0514,599859.0514,0,27.43729271,3.583568897,
35,468243.0805,468243.0805,0,13.848952,1.411931294,
36,601905.5411,601905.5411,0,1.03E-04,1.34974E-05,
