num_opportunities,EMP_2016,,,ERP_2016,,
1,304694.0583,304694.0583,1.676E-05,0.00010299,1.95798E-05,122026.787
2,390046.5602,390046.5602,-4.51E-05,0.00010299,2.50645E-05,
3,505826.8442,505826.8442,2.898E-05,0.00010299,3.25046E-05,
4,553774.2947,553774.2947,1.57999E-06,58.99529221,20.38442205,
5,546404.6757,546404.6757,3.638E-05,142.8118795,48.68856731,
6,342568.3747,342568.3747,-1.20E-05,48.40819099,10.34699821,
7,447450.1412,447450.1412,6.67997E-06,178.3730884,49.79918495,
8,395243.7645,395243.7645,-3.01E-05,62.80657353,15.48882173,
9,297697.6284,297697.6284,7.60017E-07,377.5755298,70.13381587,
10,379092.9802,379092.9802,7.93999E-06,92.57474947,21.89709696,
11,337462.8743,337462.8743,-2.60E-07,0.00010299,2.16855E-05,
12,357991.3728,357991.3728,-1.94E-05,24.53771006,5.480937436,
13,436547.7296,436547.7296,-6.62E-06,32.26452915,8.788309011,
14,477278.1014,477278.1014,-4.52E-06,14.29122678,4.255879008,
15,380423.7929,380423.7929,-4.00E-06,26.29969088,6.242615246,
16,500344.1017,500344.1017,-4.02E-06,0.00010299,3.21523E-05,
17,405817.6646,405817.6646,3.448E-05,0.00010299,2.6078E-05,
18,445777.7329,445777.7329,-3.05E-05,56.94404446,15.83853229,
19,450878.0229,450878.0229,4.08001E-06,373.1507618,104.9763947,
20,502288.82182419003,502288.82182419003,0,73.75688622,23.11555582,
21,541738.3902994801,541738.3902994801,0,12.42697009,4.200520606,
22,562585.6056,562585.6056,-1.44E-05,0.00010299,3.6152E-05,
23,564141.6281,564141.6281,-2.88E-05,312.8469003,110.120521,
24,498597.9307,498597.9307,1.998E-05,181.1260925,56.34816054,
25,560605.3394,560605.3394,-3.45E-05,7.067088463,2.471986024,
26,634663.1488,634663.1488,1.026E-05,6.464326556,2.5598518,
27,555934.6265,555934.6265,-3.25E-05,208.3514625,72.27174349,
28,568716.8324,568716.8324,2.308E-05,289.3970132,102.6924181,
29,603337.1555,603337.1555,-2.86E-05,0.642453825,0.241852312,
