num_opportunities,EMP_2016,,,ERP_2016,,
1,653751.6673,637053.0488,16698.61852,0.00010299,1.47E-05,"185,390"
2,793040.1955,754544.0389,38496.15656,0.00010299,1.78E-05,
3,946187.993,912192.6289,33995.36414,0.00010299,2.12E-05,
4,1036738.28,1001489.622,35248.65838,58.99529221,1.33E+01,
5,1022538.517,987289.8587,35248.65841,142.8118795,3.18E+01,
6,705099.208,676491.5382,28607.66982,48.40819099,7.43E+00,
7,820115.3395,797901.672,22213.66749,178.3730884,3.19E+01,
8,795973.9457,770947.8447,25026.10101,62.80657353,1.09E+01,
9,623618.3406,609813.4915,13804.8491,377.5755298,5.13E+01,
10,743982.3925,718636.7351,25345.65739,92.57474947,1.50E+01,
11,701502.6193,675140.0701,26362.54918,0.00010299,1.57E-05,
12,719790.1037,692904.2567,26885.84696,24.53771006,3.85E+00,
13,853665.4506,839867.2293,13798.22129,32.26452915,6.00E+00,
14,913034.2739,886862.5466,26171.72727,14.29122678,2.84E+00,
15,760270.6433,729459.5359,30811.10736,26.29969088,4.35E+00,
16,912187.533,888591.8448,23595.68825,0.00010299,2.05E-05,
17,794782.3612,779015.0654,15767.29585,0.00010299,1.78E-05,
18,864935.8374,828799.3091,36136.52828,56.94404446,1.07E+01,
19,867654.0348,832070.6053,35583.42953,373.1507618,7.05E+01,
20,960731.11,932607.061,28124.04905,73.75688622,1.54E+01,
21,993334.3476,967780.3384,25554.00923,12.42697009,2.69E+00,
22,1031018.952,1004964.159,26054.7923,0.00010299,2.31E-05,
23,1014191.84,999994.9885,14196.85175,312.8469003,6.91E+01,
24,955193.1648,914110.7455,41082.41926,181.1260925,3.77E+01,
25,1051850.057,1019757.006,32093.05078,7.067088463,1.62E+00,
26,1112671.344,1095423.182,17248.16112,6.464326556,1.57E+00,
27,1033155.246,1002145.927,31009.31879,208.3514625,4.69E+01,
28,1066650.626,1028686.291,37964.33464,289.3970132,6.72E+01,
29,1122551.412,1089846.081,32705.33043,0.642453825,1.57E-01,
