num_opportunities,EMP_2016,,,ERP_2016,,
1,1122195.248,1099931.164,22264.08323,0.00010299,2.52E-05,"453,167"
2,1218811.117,1188749.677,30061.44041,0.00010299,2.73E-05,
3,1350916.011,1336597.471,14318.53992,0.00010299,3.03E-05,
4,1445790.075,1434338.518,11451.55717,58.99529221,1.86E+01,
5,1437279.67,1425828.113,11451.55717,142.8118795,4.47E+01,
6,1168907.672,1144015.318,24892.35395,48.40819099,1.23E+01,
7,1242731.292,1224440.232,18291.05983,178.3730884,4.83E+01,
8,1223699.919,1203647.425,20052.49322,62.80657353,1.67E+01,
9,1106576.615,1089044.08,17532.53514,377.5755298,9.10E+01,
10,1194115.317,1177436.651,16678.66547,92.57474947,2.41E+01,
11,1127834.317,1103143.174,24691.14283,0.00010299,2.53E-05,
12,1162524.78,1139271.521,23253.25879,24.53771006,6.21E+00,
13,1270780.613,1260453.657,10326.95568,32.26452915,8.93E+00,
14,1290756.31,1280429.354,10326.95568,14.29122678,4.02E+00,
15,1213793.648,1190614.932,23178.71578,26.29969088,6.95E+00,
16,1310404.45,1299324.508,11079.94128,0.00010299,2.94E-05,
17,1225999.355,1207419.095,18580.26073,0.00010299,2.75E-05,
18,1280852.983,1258727.352,22125.63073,56.94404446,1.59E+01,
19,1283441.686,1261316.055,22125.63073,373.1507618,1.04E+02,
20,1323850.38,1315359.115,8491.264652,73.75688622,2.13E+01,
21,1356573.388,1346300.28,10273.10783,12.42697009,3.67E+00,
22,1418216.525,1408220.392,9996.132353,0.00010299,3.18E-05,
23,1398256.951,1391814.067,6442.884009,312.8469003,9.52E+01,
24,1331827.462,1321500.506,10326.95568,181.1260925,5.25E+01,
25,1445640.694,1429100.459,16540.23473,7.067088463,2.22E+00,
26,1520366.181,1509892.374,10473.80706,6.464326556,2.14E+00,
27,1453490.206,1439892.511,13597.69456,208.3514625,6.59E+01,
28,1467699.85,1452619.673,15080.17761,289.3970132,9.25E+01,
29,1513600.835,1497092.192,16508.64314,0.642453825,2.12E-01,
30,1475242.095,1459115.736,16126.35904,27.62682143,8.87E+00,
31,1464537.979,1451409.389,13128.58999,16.333015,5.21E+00,
32,1487149.344,1475724.106,11425.23824,266.4666687,8.63E+01,
33,1444952.266,1434478.459,10473.80706,0.00010299,3.24E-05,
34,1432991.861,1425782.25,7209.610968,27.43729271,8.56E+00,
35,1275554.649,1265153.023,10401.62638,13.848952,3.85E+00,
36,1497427.59,1484167.261,13260.32844,0.00010299,3.36E-05,
37,1548069.17,1533520.737,14548.43342,0.00010299,3.47E-05,
38,1558073.073,1543904.906,14168.16721,0.642446818,2.18E-01,
39,1562828.284,1546883.191,15945.09243,0.00010299,3.50E-05,
40,1564572.413,1548153.882,16418.53055,82.63511608,2.82E+01,
41,1538906.645,1520121.632,18785.01369,6.083398538,2.04E+00,
42,1517351.605,1498892.792,18458.81259,0.00010299,3.40E-05,
43,1489471.83,1477008.729,12463.10174,0.00010299,3.34E-05,
44,1483546.83,1473073.023,10473.80706,0.00010299,3.33E-05,
45,1459902.058,1448935.466,10966.59207,179.8712483,5.72E+01,
46,1584439.974,1571932.289,12507.68566,92.55002448,3.19E+01,
47,1591968.798,1576696.86,15271.93853,242.9354251,8.42E+01,
48,1604782.338,1583613.334,21169.00464,12.38459587,4.33E+00,
49,1553097.422,1534006.272,19091.15016,16.65509752,5.63E+00,
50,1551472.069,1537749.947,13722.12175,0.00010299,3.48E-05,
51,1535695.721,1523933.809,11761.91203,14.51982728,4.86E+00,
52,1545488.55,1535235.714,10252.83639,0.00010299,3.47E-05,
53,1445205.538,1433753.981,11451.55717,0.608113496,1.91E-01,
54,1559172.034,1545799.187,13372.84724,1.851264205,6.28E-01,
55,1577588.776,1567041.3,10547.47594,1.110747196,3.82E-01,
56,1588809.368,1574381.389,14427.97928,13.10067463,4.53E+00,
57,1591215.59,1577632.647,13582.94281,49.9156758,1.73E+01,
58,1585964.032,1569909.896,16054.13587,0.796847896,2.75E-01,
59,1559905.47,1547928.307,11977.16226,0.00010299,3.50E-05,
60,1468511.159,1464171.109,4340.04998,46.75710141,1.50E+01,
61,1540297.192,1531584.226,8712.966172,0.00010299,3.45E-05,
62,1532264.177,1523551.211,8712.966172,91.76152943,3.06E+01,
63,1557220.323,1494529.036,62691.28668,30.11767072,1.02E+01,
64,1180621.269,1100057.082,80564.18648,3.195967297,8.22E-01,
65,1379592.091,1367756.414,11835.67646,528.3963552,1.59E+02,
66,1416932.972,1406559.626,10373.34624,0.00010299,3.18E-05,
67,1488237.582,1474977.254,13260.32844,138.8149333,4.50E+01,
68,1525204.393,1511831.546,13372.84724,0.00010299,3.42E-05,
69,1554629.349,1540817.677,13811.67202,54.51634872,1.85E+01,
70,1510752.181,1497735.829,13016.35206,74.44696069,2.45E+01,
71,1577495.436,1563460.039,14035.39734,0.00010299,3.54E-05,
72,1525336.704,1513477.7,11859.00408,0.631209554,2.10E-01,
73,1558044.449,1544322.327,13722.12175,9.296291089,3.15E+00,
74,1540815.851,1530798.898,10016.95254,7.429876834,2.49E+00,
75,1530879.174,1519406.298,11472.8765,0.00010299,3.43E-05,
76,1533825.402,1523316.943,10508.45893,2.12463254,7.10E-01,
77,1547194.607,1508295.597,38899.01033,15.48768274,5.22E+00,
78,1456220.648,1407068.567,49152.08084,0.00010299,3.27E-05,
79,1394684.061,1384357.105,10326.95568,22.0473012,6.70E+00,
80,1421253.571,1412382.041,8871.530859,845.0590729,2.62E+02,
81,1466606.929,1457872.292,8734.63692,102.2352226,3.26E+01,
82,1522143.595,1514196.944,7946.65022,11.77703801,3.90E+00,
83,1504889.049,1493463.81,11425.23824,0.631211547,2.07E-01,
84,1531860.325,1522926.388,8933.936839,23.94850525,7.99E+00,
85,1508182.02,1501429.264,6752.756452,0.00010299,3.38E-05,
86,1507763.433,1481142.299,26621.13484,1.586547553,5.21E-01,
87,1529009.657,1487923.725,41085.9316,0.00010299,3.43E-05,
88,1425944.37,1376484.825,49459.54548,440.0987338,1.37E+02,
89,1358583.243,1341063.328,17519.91521,6.419590335,1.90E+00,
90,1367119.348,1357029.52,10089.82796,6.116354161,1.82E+00,
91,1348107.683,1336454.125,11653.55814,0.00010299,3.02E-05,
92,1446234.127,1439412.078,6822.048726,333.1503288,1.05E+02,
93,1508121.908,1503735.468,4386.440538,230.0699412,7.55E+01,
94,1514129.395,1508664.743,5464.651474,55.34771426,1.82E+01,
95,1545199.133,1536501.467,8697.665841,6.11624361,2.06E+00,
96,1505816.468,1500351.817,5464.651474,45.55049807,1.49E+01,
97,1485891.676,1479301.534,6590.142089,15.50459424,5.02E+00,
98,1498864.456,1479775.085,19089.37105,53.49065266,1.75E+01,
99,1490140.478,1368198.202,121942.2756,25.07363012,8.14E+00,
100,1469830.883,1327589.437,142241.4467,17.63874771,5.64E+00,
101,1436041.179,1429219.131,6822.048726,135.3819332,4.23E+01,
102,1469251.324,1464864.883,4386.440538,287.0059773,9.18E+01,
103,1557550.08,1552085.429,5464.651474,40.31551903,1.37E+01,
104,1570356.097,1567817.226,2538.870491,51.9605084,1.78E+01,
105,1548272.441,1543798.993,4473.44814,765.564986,2.58E+02,
106,1494632.197,1490605.067,4027.129869,0.00010299,3.35E-05,
107,1474353.258,1450881.403,23471.85536,18.86468334,6.06E+00,
108,1287870.419,1276790.477,11079.94128,3.8538967,1.08E+00,
109,1402227.657,1396045.555,6182.101523,1615.752238,4.93E+02,
110,1467278.023,1462937.973,4340.04998,2041.139664,6.52E+02,
111,1534617.189,1525919.523,8697.665841,819.0363561,2.74E+02,
112,1555431.231,1547424.129,8007.102565,0.00010299,3.49E-05,
113,1498656.846,1493192.194,5464.651474,725.5933355,2.37E+02,
114,1466527.426,1462140.985,4386.440538,97.40837708,3.11E+01,
115,1448724.909,1441018.446,7706.462507,543.2621322,1.71E+02,
116,1463077.145,1459050.015,4027.129869,191.8006225,6.11E+01,
117,1353306.686,1348966.636,4340.04998,1096.877077,3.23E+02,
118,1423291.147,1418951.097,4340.04998,1537.346575,4.76E+02,
119,1425413.443,1421717.565,3695.877262,1733.533719,5.38E+02,
120,1410277.637,1405286.09,4991.547432,402.6870641,1.24E+02,
121,1455294.234,1451094.687,4199.547056,0.00010299,3.26E-05,
122,1442902.197,1433666.771,9235.426033,725.7637604,2.28E+02,
123,1419087.36,1386317.465,32769.89543,267.1532931,8.25E+01,
124,1411072.525,1355654.39,55418.13594,616.9085712,1.90E+02,
125,1335328.968,1327194.198,8134.769465,32.23551107,9.37E+00,
126,1337625.663,1333285.613,4340.04998,124.2987941,3.62E+01,
127,1386603.312,1382263.262,4340.04998,26.36346757,7.96E+00,
128,1399930.859,1395808.269,4122.590746,2.925833985,8.92E-01,
129,1433796.717,1432855.552,941.1649553,47.58518228,1.49E+01,
130,1412828.098,1405441.311,7386.786834,988.8130299,3.04E+02,
131,1410823.185,1404673.152,6150.033098,3289.806615,1.01E+03,
132,1425330.093,1408307.291,17022.80239,29.92842902,9.29E+00,
133,1430297.668,1426175.077,4122.590746,8.728155037,2.72E+00,
134,1478773.261,1473526.069,5247.19224,38.0301172,1.22E+01,
135,1405437.386,1401314.795,4122.590746,981.5520766,3.00E+02,
136,1278253.841,1271853.504,6400.336825,681.8316237,1.90E+02,
137,1407851.353,1403728.762,4122.590746,0.405635506,1.24E-01,
138,1445762.995,1445122.47,640.5248968,10.63032909,3.35E+00,
139,1435353.791,1434412.626,941.1649553,0.00010299,3.22E-05,
140,1424025.057,1419902.466,4122.590746,0.00010299,3.19E-05,
141,1384407.084,1380284.493,4122.590746,15.2984667,4.61E+00,
142,1431952.539,1431011.374,941.1649553,365.1748832,1.14E+02,
143,1465641.826,1464323.018,1318.80812,0.00010299,3.29E-05,
144,1395983.995,1391643.945,4340.04998,1119.399227,3.40E+02,
145,1469235.987,1467470.861,1765.126391,56.6822071,1.81E+01,
146,1578080.898,1577093.343,987.5555133,140.1721887,4.82E+01,
