num_opportunities,EMP_2016,,
1,1125266.949278282,1108980.444872382,16286.50441
2,1198396.755609242,1185730.010757112,12666.74485
3,1343451.129396602,1338120.252436902,5330.87696
4,1449116.6635729112,1442749.155054311,6367.508519
5,1440606.258774724,1434238.7502561242,6367.508519
6,1159596.379464242,1145536.797664512,14059.5818
7,1228496.441329562,1223810.103000062,4686.33833
8,1210943.103607764,1203997.1169408641,6945.986667
9,1106406.361360282,1093800.809715282,12605.55165
10,1186274.442488664,1180384.7979676642,5889.644521
11,1113810.057314332,1101875.229821732,11934.82749
12,1155493.404211732,1143588.881946932,11904.52226
13,1265320.792145214,1261567.082204414,3753.709941
14,1289151.980342424,1286408.675364824,2743.304978
15,1194532.008650264,1188332.4903218641,6199.518328
16,1303312.348198614,1301063.838763914,2248.509435
17,1215208.805983864,1209010.884871464,6197.921112
18,1266589.999391882,1260158.551372082,6431.44802
19,1269579.809984382,1262212.379243882,7367.43074
20,1316822.216126684,1312504.7905628842,4317.425564
21,1353860.7001744541,1349344.865008254,4515.835166
22,1410813.684997694,1408027.163612324,2786.521385
23,1389662.352412174,1388877.7643930041,784.5880192
24,1324118.5293071142,1321375.2243295142,2743.304978
25,1441106.6826113341,1437731.6419346342,3375.040677
26,1517896.928428481,1516676.8660574812,1220.062371
27,1448023.631963294,1442677.090096924,5346.541866
28,1462584.829224284,1458174.2700786141,4410.559146
29,1502170.975558351,1499384.4541729812,2786.521385
30,1465354.2782321011,1462236.3276310312,3117.950601
31,1450228.4767309611,1447822.2215528912,2406.255178
32,1480809.251952111,1479084.076671441,1725.175281
33,1435087.753261911,1433867.690890911,1220.062371
34,1433028.908648661,1431808.8462776612,1220.062371
35,1271105.496448764,1266172.2824346642,4933.214014
36,1490664.0364999862,1486941.532393916,3722.504106
37,1536858.821371366,1532663.213223196,4195.608148
38,1551560.6985802362,1547934.381031166,3626.317549
39,1547548.051430206,1544851.9767066361,2696.074724
40,1556079.2726886861,1553255.768597016,2823.504092
41,1514342.493282261,1511518.989190591,2823.504092
42,1499816.8997642612,1496993.3956725912,2823.504092
43,1489456.772724671,1488139.618303901,1317.154421
44,1483642.8204703662,1480882.887882366,2759.932588
45,1464291.302866171,1461326.281001871,2965.021864
46,1576556.784421696,1573081.872783326,3474.911638
47,1582378.712182606,1580216.5212825362,2162.1909
48,1588414.6580982162,1585144.8357361462,3269.822362
49,1531844.075614026,1528574.253251956,3269.822362
50,1538723.369934736,1535564.141444036,3159.228491
51,1534030.571362636,1530871.342871936,3159.228491
52,1537086.809674256,1534132.670459856,2954.139214
53,1448532.1261928212,1442164.617674221,6367.508519
54,1556691.869396806,1552129.569127036,4562.30027
55,1573589.573141406,1570319.750779336,3269.822362
56,1577522.3638241861,1573820.3027071161,3702.061117
57,1586545.634021226,1583688.6093834562,2857.024638
58,1579205.578208466,1577985.515837466,1220.062371
59,1547580.282310906,1546166.013313506,1414.268997
60,1466666.006087009,1464509.960995309,2156.045092
61,1544544.2843037262,1540204.234323526,4340.04998
62,1524575.6084936662,1522975.595463236,1600.01303
63,1497974.537980786,1496342.809749586,1631.728231
64,1102708.322451682,1089578.282448252,13130.04
65,1377010.848788442,1370467.070123042,6543.778665
66,1417609.5505818941,1411242.0420632942,6367.508519
67,1483672.644922181,1479950.1408161111,3722.504106
68,1523412.701259776,1519597.3593189062,3815.341941
69,1547172.1907187111,1543902.3683566411,3269.822362
70,1500130.018116486,1496671.1713626161,3458.846754
71,1561303.971323146,1558241.857409076,3062.113914
72,1517432.790503731,1516115.636082961,1317.154421
73,1549217.783914146,1546252.7620498461,2965.021864
74,1539279.052748606,1537864.783751206,1414.268997
75,1524293.230282136,1523134.606093036,1158.624189
76,1533180.793994436,1527045.251252036,6135.542742
77,1515518.5514732562,1510653.808875056,4864.742598
78,1455964.090896872,1451712.065143172,4252.025754
79,1410249.172924242,1403881.664405642,6367.508519
80,1426111.353715692,1422388.849609622,3722.504106
81,1465454.201092589,1461141.237382519,4312.96371
82,1524459.336070751,1520757.274953681,3702.061117
83,1498899.2393135212,1496238.0813121512,2661.158001
84,1527125.810823061,1525700.659175761,1425.151647
85,1506108.940486121,1504888.878115121,1220.062371
86,1482496.393726966,1481337.769537866,1158.624189
87,1494505.586012766,1487923.724999966,6581.861013
88,1412385.803239432,1408889.775799832,3496.02744
89,1371926.1244971121,1365564.464151412,6361.660346
90,1368932.230335102,1363449.846115032,5482.38422
