num_opportunities,EMP_2016,,,,,
45,1473843.9886720912,755.7956371,,1473088.1930349912,1461326.281001871,11761.91203
46,1591008.532378266,1758.132213,,1589250.4001656661,1573081.872783326,16168.52738
47,1598916.8211868762,2484.930861,,1596431.8903262762,1580216.5212825362,16215.36904
48,1610335.657107036,3128.863296,,1607206.793810836,1585144.8357361462,22061.95807
49,1557286.7198727462,4105.010535,,1553181.709337746,1528574.253251956,24607.45609
50,1558109.702377656,1878.908302,,1556230.794075356,1535564.141444036,20666.65263
51,1552986.4385367562,1878.908302,,1551107.530234456,1530871.342871936,20236.18736
52,1547899.9358363762,281.4146207,,1547618.521215676,1534132.670459856,13485.85076
53,1460101.4782409112,1933.002328,,1458168.4759129111,1442164.617674221,16003.85824
54,1573219.487680726,1512.343714,,1571707.1439662261,1552129.569127036,19577.57484
55,1587788.9780580262,1512.343714,,1586276.634343526,1570319.750779336,15956.88356
56,1589727.653580506,1479.371588,,1588248.281992006,1573820.3027071161,14427.97928
57,1600469.0679377462,2538.290136,,1597930.777802146,1583688.6093834562,14242.16842
58,1597237.167456686,2538.290136,,1594698.8773210861,1577985.515837466,16713.36148
59,1564813.9747858262,1758.132213,,1563055.8425732262,1546166.013313506,16889.82926
60,1468850.010975509,0,,1468850.010975509,1464509.960995309,4340.04998
61,1552431.629483046,281.4146207,,1552150.2148623462,1540204.234323526,11945.98054
62,1529978.051334986,281.4146207,,1529696.6367142862,1522975.595463236,6721.041251
63,1501807.461223806,0,,1501807.461223806,1496342.809749586,5464.651474
64,1108615.447473052,0,,1108615.447473052,1089578.282448252,19037.16502
65,1388715.565184032,1875.826073,,1386839.739111432,1370467.070123042,16372.66899
66,1427890.797652384,1684.47457,,1426206.3230823842,1411242.0420632942,14964.28102
67,1498386.4103452011,3639.308353,,1494747.101992601,1479950.1408161111,14796.96118
68,1538474.9364050962,2749.200155,,1535725.736250096,1519597.3593189062,16128.37693
69,1565822.178782531,1878.908302,,1563943.2704802311,1543902.3683566411,20040.90212
70,1513673.202122206,1907.502111,,1511765.7000117062,1496671.1713626161,15094.52865
71,1578026.1192987661,1758.132213,,1576267.9870861662,1558241.857409076,18026.12968
72,1534896.391508351,1512.343714,,1533384.047793851,1516115.636082961,17268.41171
73,1565998.435474466,1868.602638,,1564129.8328366661,1546252.7620498461,17877.07079
74,1554803.487633526,1512.343715,,1553291.143919026,1537864.783751206,15426.36017
75,1530537.3711679562,1123.112665,,1529414.258502756,1523134.606093036,6279.65241
76,1532641.900719756,281.4146207,,1532360.4860990562,1527045.251252036,5315.234847
77,1516118.4603492762,0,,1516118.4603492762,1510653.808875056,5464.651474
78,1493807.857827062,5004.725159,,1488803.132667752,1451712.065143172,37091.06752
79,1415611.273272932,1356.26263,,1414255.010642732,1403881.664405642,10373.34624
80,1437669.402406712,2020.224356,,1435649.178050512,1422388.849609622,13260.32844
81,1474328.751752009,110.4704252,,1474218.281326809,1461141.237382519,13077.04394
82,1530992.816376771,1000.786225,,1529992.0301515711,1520757.274953681,9234.755198
83,1510569.481355641,1401.873289,,1509167.6080663411,1496238.0813121512,12929.52675
84,1537540.757822181,1401.873289,,1536138.8845328812,1525700.659175761,10438.22536
85,1512642.420792141,1000.786225,,1511641.634566941,1504888.878115121,6752.756452
86,1488636.980651786,1512.343715,,1487124.636937286,1481337.769537866,5786.867399
87,1496753.300171986,1123.112665,,1495630.187506786,1487923.724999966,7706.462507
88,1449256.049435942,6610.438758,,1442645.610678352,1408889.775799832,33755.83488
89,1383871.126228502,1356.26263,,1382514.863598302,1365564.464151412,16950.39945
90,1374647.408951502,1107.734872,,1373539.674079302,1363449.846115032,10089.82796
91,1353285.553103312,741.1702844,,1352544.382818912,1340890.824683442,11653.55814
92,1464778.602691872,841.6980445,,1463936.904647372,1455990.254427082,7946.65022
93,1509442.723375194,613.5345198,,1508829.188855394,1503364.537381174,5464.651474
94,1517068.0368892942,0,,1517068.0368892942,1511110.600404774,5957.436485
95,1546352.016402191,356.2589233,,1545995.7574788912,1534845.0969073712,11150.66057
96,1498604.8464356512,0,,1498604.8464356512,1492647.409951131,5957.436485
97,1483908.4748203112,281.4146207,,1483627.0601996111,1478635.5127674912,4991.547432
98,1489981.125055711,281.4146207,,1489699.7104350112,1483938.1573175911,5761.553117
99,1380351.997402104,2130.694781,,1378221.302620704,1368872.097059204,9349.205562
100,1337977.2190867842,2130.694781,,1335846.5243053841,1327711.754840814,8134.769465
101,1438202.950008662,841.6980445,,1437361.251964162,1429414.601743872,7946.65022
102,1472053.861802054,613.5345198,,1471440.3272822541,1465180.3558407342,6259.971442
103,1557454.340238051,356.2589233,,1557098.0813147512,1551140.644830231,5957.436485
104,1570438.595503981,0,,1570438.595503981,1567406.9400022612,3031.655502
105,1548092.258269451,356.2589233,,1547735.999346151,1543262.551206331,4473.44814
106,1495096.2150663212,688.3788224,,1494407.8362439212,1490380.706374501,4027.129869
107,1454065.3459633412,281.4146207,,1453783.9313426411,1450881.4029672411,2902.528375
108,1298313.842552252,3047.791447,,1295266.051105452,1282565.493606382,12700.5575
109,1402534.146943072,278.7606241,,1402255.386318972,1392809.088707702,9446.297611
110,1468853.2076358842,613.5345198,,1468239.6731160842,1462775.0216418642,5464.651474
111,1535109.9743203511,0,,1535109.9743203511,1525919.523468831,9190.450852
112,1554377.583630251,356.2589233,,1554021.3247069512,1545521.437131331,8499.887576
113,1491445.223910354,0,,1491445.223910354,1485487.787425834,5957.436485
114,1469074.959462484,613.5345198,,1468461.4249426841,1462201.453501164,6259.971442
115,1445879.710713264,613.5345198,,1445266.176193464,1440792.728053644,4473.44814
116,1464662.9180210112,1811.491488,,1462851.426533411,1458824.2966639912,4027.129869
117,1353783.7210317021,477.035013,,1353306.686018702,1348966.636038502,4340.04998
118,1425470.450997132,1120.458669,,1424349.992328532,1418885.340854312,5464.651474
119,1420641.3516665942,1401.873289,,1419239.478377294,1415543.6011149741,3695.877262
120,1406819.238931094,1401.873289,,1405417.3656417942,1401550.419703694,3866.945938
121,1456824.881736431,2200.722537,,1454624.1591995312,1453305.351079111,1318.80812
122,1437186.301449134,2200.722537,,1434985.5789122342,1433666.7707918142,1318.80812
123,1407700.284045744,2749.200155,,1404951.083890744,1401602.237244944,3348.846646
124,1364273.082425994,3582.240653,,1360690.841772824,1357341.9951270241,3348.846646
125,1339942.952153132,1107.734872,,1338835.217280932,1330700.447816362,8134.769465
126,1343491.019842882,1356.26263,,1342134.757212682,1337794.707232482,4340.04998
127,1390932.895681732,1131.143325,,1389801.752357032,1382197.506288832,7604.246068
128,1404287.927976342,278.7606241,,1404009.167352242,1395497.779023822,8511.388328
129,1434761.830168704,1123.112665,,1433638.7175035041,1431572.951054184,2065.766449
130,1414145.330469842,278.7606241,,1413866.569845742,1405355.181517322,8511.388328
131,1409430.1454232142,755.7956371,,1408674.3497861142,1404334.299805914,4340.04998
132,1413751.2292435542,2095.091843,,1411656.1374002541,1408307.2907544542,3348.846646
133,1435408.960175452,1279.546849,,1434129.413326152,1428882.221085732,5247.19224
134,1479743.054306189,969.7934431,,1478773.260863089,1473526.068622669,5247.19224
135,1410840.195399532,1279.546849,,1409560.648550232,1405438.057803832,4122.590746
136,1294864.498245782,2623.945084,,1292240.553161982,1283131.894588312,9108.658574
137,1413449.633181102,1279.546849,,1412170.086331802,1408047.495585402,4122.590746
138,1451285.066525032,281.4146207,,1451003.651904332,1448443.205546212,2560.446358
139,1439681.077690902,1123.112665,,1438557.965025702,1437570.409512382,987.5555133
140,1429427.866014502,1279.546849,,1428148.319165202,1424025.728418802,4122.590746
141,1391624.089988672,278.7606241,,1391345.329364572,1387222.738618172,4122.590746
142,1432915.689358052,1123.112665,,1431792.576692852,1430851.411737552,941.1649553
143,1470509.164165189,969.7934431,,1469539.370722089,1468220.562601669,1318.80812
144,1397912.153723512,1120.458669,,1396791.695054912,1392451.645074712,4340.04998
145,1470119.651204889,969.7934431,,1469149.857761789,1467384.731370969,1765.126391
146,1578970.619268391,889.7209337,,1578080.898334691,1577093.342821371,987.5555133
147,875013.6665,2.19019E-05,,875013.6665,806911.036,68102.63056
148,868641.296,3.54401E-05,,868641.296,849241.5956,19399.70046
149,1413961.7721675541,1356.26263,,1412605.509537354,1395918.592975564,16686.91656
150,1366019.808781352,1356.26263,,1364663.546151152,1347346.858279962,17316.68787
151,1363130.1085685021,12069.43605,,1351060.672518802,1310167.102778612,40893.56974
152,1285340.702305292,9645.798846,,1275694.903459692,1223479.8527443921,52215.05072
153,1375920.346287952,12069.43605,,1363850.910238252,1326065.411192562,37785.49905
154,1525065.014949902,5227.132317,,1519837.882633102,1477875.396060202,41962.48657
155,1442942.106350422,6218.960876,,1436723.145474322,1393902.089847402,42821.05563
156,1351029.333508502,11525.73999,,1339503.593516902,1300872.155248912,38631.43827
157,1261616.974158142,3722.203438,,1257894.770720542,1233155.705882072,24739.06484
158,1198048.908813172,0,,1198048.908813172,1189853.921986702,8194.986826
159,1250350.895784982,741.1702844,,1249609.725500582,1240501.066926912,9108.658574
160,1351197.346514972,1120.458669,,1350076.887846372,1343040.447192802,7036.440654
161,1588834.6569890962,2235.167226,,1586599.4897634962,1563719.220737226,22880.26903
162,1521496.382192641,281.4146207,,1521214.9675719412,1514462.2111201212,6752.756452
163,968522.2638,223.7872837,,968298.4765,957101.3739,11197.10256
164,1069996.595931402,2600.464878,,1067396.131053672,1054022.722280502,13373.40877
165,1196498.362298062,2633.867398,,1193864.494899662,1184271.480196992,9593.014703
166,1083440.632543272,4412.435876,,1079028.196666872,1073711.844328302,5316.352339
167,1020275.580127892,474.9136958,,1019800.666432092,1011322.594024522,8478.072408
168,1329395.520704482,2120.841367,,1327274.679337382,1321189.669863882,6085.009474
169,1248304.898056702,0,,1248304.898056702,1243095.909574932,5208.988482
170,1260627.833247612,741.1702844,,1259886.662963212,1253168.945855242,6717.717108
171,1316635.715965682,366.5645878,,1316269.151377882,1307230.715138612,9038.436239
172,1226861.723837952,0,,1226861.723837952,1218190.400923782,8671.322914
173,1120033.559059102,2524.112931,,1117509.446128102,1112193.093789532,5316.352339
174,1529704.217291106,1131.067359,,1528573.149932306,1521820.393480486,6752.756452
175,1232875.546800152,0,,1232875.546800152,1231243.818568952,1631.728231
176,1361016.039734692,389.2310493,,1360626.808685392,1356286.758705192,4340.04998
177,1363021.0405028241,2690.870026,,1360330.170476624,1356463.2245385242,3866.945938
178,1297893.6799949121,2010.370942,,1295883.309053012,1291338.169796512,4545.139257
179,1258400.270292812,741.1702844,,1257659.100008412,1253545.373031142,4113.726977
180,1163629.734270362,2524.112931,,1161105.621339362,1157088.115453192,4017.505886
181,1348345.722121024,3887.836111,,1344457.886010424,1340891.5801308241,3566.30588
182,1258010.1287650021,3265.283215,,1254744.845549602,1251842.317174202,2902.528375
183,1222492.272732062,3157.545914,,1219334.726817862,1217497.909310362,1836.817508
184,1264315.189415802,4263.266053,,1260051.923362402,1257149.394987002,2902.528375
185,1237445.676586782,10169.47736,,1227276.199225382,1227276.199225382,0
186,1291314.315424792,9645.798846,,1281668.516579192,1237805.893500542,43862.62308
187,1465790.597677282,7789.510619,,1458001.087058672,1425084.764386402,32916.32267
188,1354730.835824632,3887.836111,,1350842.999714032,1344012.497746432,6830.501968
189,1349159.549625472,2130.694781,,1347028.854844072,1342688.804863872,4340.04998
190,1291363.036579402,1107.734872,,1290255.301707202,1285915.251727002,4340.04998
191,1266869.172191402,4308.525174,,1262560.647017802,1258693.701079702,3866.945938
192,1435336.934840032,1455.232564,,1433881.702275732,1429759.1115293321,4122.590746
193,1340953.221489972,755.7956371,,1340197.425852872,1335857.375872672,4340.04998
194,1513480.114072201,889.7209337,,1512590.393138501,1511271.5850180811,1318.80812
195,1434103.560078232,1455.232564,,1432648.327513932,1428525.736767532,4122.590746
196,1268933.847576402,741.1702844,,1268192.677292002,1265290.148916602,2902.528375
197,1529729.989670901,0,,1529729.989670901,1529489.392486481,240.5971844
198,1423208.583437812,613.5345198,,1422595.048918012,1422400.842291612,194.2066264
199,1263691.615377012,3639.308353,,1260052.307024412,1259111.142069112,941.1649553
200,1419773.132038422,0,,1419773.132038422,1415433.082058222,4340.04998
201,1384531.920237282,613.5345198,,1383918.385717482,1382153.259326662,1765.126391
202,1265867.478334782,2130.694781,,1263736.783553382,1263096.258656582,640.5248968
205,1339378.867630242,841.6980445,,1338537.169585742,1333460.080352772,5077.089233
206,1291201.622798382,2020.224356,,1289181.398442182,1280072.739868512,9108.658574
207,1272710.151996972,741.1702844,,1271968.981712572,1261879.845978502,10089.13573
208,1480743.372500689,969.7934431,,1479773.579057589,1474526.386817169,5247.19224
209,1339427.418142362,0,,1339427.418142362,1331963.480658592,7463.937484
210,1478348.201013782,0,,1478348.201013782,1474527.676838312,3820.524175
211,1471036.257047002,356.2589233,,1470679.998123702,1468726.553557982,1953.444566
212,1366401.208299392,159.0881807,,1366242.120118692,1362611.676727222,3630.443391
213,1289350.678849322,110.4704252,,1289240.208424122,1282454.1185524021,6786.089872
214,1184740.964460642,741.1702844,,1183999.794176242,1172496.458271042,11503.33591
215,1573594.513469902,0,,1573594.513469902,1571641.068904182,1953.444566
216,1356478.725232742,110.4704252,,1356368.254807542,1347786.710272772,8581.544535
217,1429790.241679562,356.2589233,,1429433.982756262,1427480.538190542,1953.444566
218,1350931.000802182,281.4146207,,1350649.586181482,1348244.600357692,2404.985824
219,1316317.191844022,1000.786225,,1315316.405618822,1309968.943591502,5347.462027
220,1206864.663847242,741.1702844,,1206123.493562842,1190822.851500342,15300.64206
221,1063371.901398182,3722.203438,,1059649.697960582,1045809.286609882,13840.41135
222,1358226.441035982,1123.112665,,1357103.328370782,1353072.439482792,4030.888888
223,1167754.525409692,0,,1167754.525409692,1153734.227533322,14020.29788
224,1436271.859172952,0,,1436271.859172952,1432792.547057162,3479.312116
225,1169608.250250472,741.1702844,,1168867.079966072,1157487.446473902,11379.63349
226,984096.9357,13648.26967,,970448.666,940547.1653,29901.50069
227,1144354.108543202,238.1749406,,1144115.933602602,1075093.539758302,69022.39384
228,1159808.598345602,347.929408,,1159460.668937602,1088874.546301352,70586.12264
229,1082574.955425722,0,,1082574.955425722,1047602.044680012,34972.91075
230,940377.5505125821,5454.527013,,934923.0235,922212.0116,12711.01182
231,1044963.606267632,3403.551615,,1041560.054652232,1036218.785380662,5341.269272
232,1070769.163205442,9436.901491,,1061332.261714642,1054907.337585872,6424.924129
233,1105012.7397548321,3513.306083,,1101499.433672032,1093369.826720662,8129.606951
236,1034957.699101432,109.7544674,,1034847.944634032,1027487.201224262,7360.74341
237,984546.031,474.9137341,,984071.1173,972521.3793,11549.73803
238,1003282.232595702,1008.884261,,1002273.348334702,990812.9277,11460.42062
239,1296193.473910842,0,,1296193.473910842,1284826.210376172,11367.26353
240,1446234.517690682,0,,1446234.517690682,1438010.066908112,8224.450783
241,1134659.449643022,2524.112931,,1132135.336712022,1115516.309509152,16619.0272
242,1175048.314064862,0,,1175048.314064862,1168448.059217592,6600.254847
243,1228534.741229972,0,,1228534.741229972,1215856.302425702,12678.4388
244,1444721.790568382,613.5345198,,1444108.256048582,1435883.805266012,8224.450783
245,1259626.335594812,0,,1259626.335594812,1247363.505350742,12262.83024
246,1237581.177723352,0,,1237581.177723352,1228606.078529082,8975.099194
247,1277663.644048812,741.1702844,,1276922.473764412,1264659.643520342,12262.83024
248,1303390.640268482,1020.6729,,1302369.967368982,1289923.852628312,12446.11474
249,1307254.779901812,366.5645878,,1306888.215314012,1295520.951779342,11367.26353
250,1183977.816119542,0,,1183977.816119542,1176518.062282872,7459.753837
251,1152048.447122572,0,,1152048.447122572,1144588.693285902,7459.753837
252,989963.4701,1483.797988,,988479.6721,976513.2498,11966.42233
253,1116285.781015072,741.1702844,,1115544.610730672,1101921.469528902,13623.1412
254,1343476.427756002,0,,1343476.427756002,1334319.436757332,9156.990999
255,1294580.178406182,0,,1294580.178406182,1283212.914871512,11367.26353
256,1236990.428632382,366.5645878,,1236623.864044582,1223839.540303212,12784.32374
257,1172133.651718272,741.1702844,,1171392.481433872,1161602.847726602,9789.633707
258,1285102.457933392,2533.016614,,1282569.441319392,1235288.226061142,47281.21526
259,1179797.724899352,0,,1179797.724899352,1171257.802620982,8539.922278
260,1161603.390088092,741.1702844,,1160862.219803692,1146876.733257422,13985.48655
261,1107056.356087572,1313.301704,,1105743.054383372,1058755.425178422,46987.6292
262,1179263.957272962,6182.958207,,1173080.999065562,1092001.707,81079.29183
263,1105658.176557602,5656.406067,,1100001.770490502,1005716.439,94285.33197
264,1335216.7781846721,3827.547783,,1331389.230401572,1248240.005259672,83149.22514
265,1040223.642295392,741.1702844,,1039482.472010992,1027556.211358822,11926.26065
266,996408.5828,3528.172444,,992880.4104,982278.1826,10602.22782
267,1009356.124,13699.37232,,995656.7515,922068.8744,73587.87709
268,1256253.821476902,4516.194899,,1251737.626578402,1186794.774102872,64942.85248
270,1342179.169620882,613.5345198,,1341565.635101082,1319492.515220062,22073.11988
271,1267614.496999622,670.64567,,1266943.851329622,1246408.322562202,20535.52877
272,1120883.715678462,3613.643126,,1117270.072552262,1088468.100174152,28801.97238
273,1093199.554117582,5261.989877,,1087937.564240482,1046483.641,41453.92287
274,1324534.495839282,5942.010891,,1318592.484948082,1235154.688112852,83437.79684
275,1241656.738490752,4136.906514,,1237519.831976452,1168317.672901122,69202.15908
276,1113439.700891592,11800.67763,,1101639.023260692,1019031.751,82607.27203
277,1327607.301176052,6438.870142,,1321168.431033682,1183084.367473582,138084.0636
278,1181282.905734982,15019.42345,,1166263.482285582,1000907.385,165356.0972
279,1459648.844739742,4184.647507,,1455464.197232542,1285506.832682772,169957.3645
280,1156765.797582482,13395.41771,,1143370.379873482,977324.7473877401,166045.6325
281,1298074.266249072,9188.809448,,1288885.456801262,1079465.457069602,209419.9997
282,1072368.919067402,12743.27556,,1059625.643508002,946735.5853,112890.0582
283,1223664.163562402,4849.85853,,1218814.305032492,1109072.750752362,109741.5543
284,1259977.727811302,4849.85853,,1255127.869281392,1091090.842279352,164037.027
285,1165041.698235412,6892.81287,,1158148.885365212,1056841.731,101307.1546
286,1017695.634642382,14448.61424,,1003247.020398482,914724.5519,88522.46852
287,1091242.012842832,14378.29305,,1076863.719794002,1007924.905,68938.81432
288,1029752.376069512,17729.22881,,1012023.147260922,921142.3715,90880.77577
289,999132.0389,33883.28645,,965248.7525,917126.4277269801,48122.3248
290,995347.0958,76582.8048,,918764.291,873996.9246,44767.36637
291,1418330.410870502,4184.647507,,1414145.763363302,1297894.121524652,116251.6418
292,1351487.653077242,6489.511553,,1344998.141524242,1189989.393832552,155008.7477
300,923964.4201,3.87121E-05,,923964.4201,916981.0757,6983.344474
301,848952.0419,-4.448E-06,,848952.0419,848952.0419,0
302,860824.9267,-8.34791E-06,,860824.9267,853841.5822,6983.344474
303,940191.0486,223.7873367,,939967.2613,925275.9512,14691.31012
304,1002212.206643252,223.7873305,,1001988.419312752,986264.5687,15723.8506
305,1134214.550040762,0,,1134214.550040762,1117832.650552692,16381.89949
306,958622.1361,1.8692E-05,,958622.1361,950534.9267646921,8087.209354
307,1117645.365480742,0,,1117645.365480742,1102647.474064472,14997.89142
308,1052005.359114112,1008.884261,,1050996.474853112,1033714.444359942,17282.03049
309,1276585.638154902,0,,1276585.638154902,1268278.039940132,8307.598215
310,1130332.737666592,0,,1130332.737666592,1113076.876124522,17255.86154
311,851970.29,-3.2308E-05,,851970.29,851970.29,0
312,971790.454,223.7873228,,971566.6667,949336.6622,22230.00453
313,1075674.121562662,0,,1075674.121562662,1058316.936553992,17357.18501
314,1110801.697113842,0,,1110801.697113842,1093958.383847272,16843.31327
315,1115557.053339242,0,,1115557.053339242,1100559.161922972,14997.89142
316,1068622.302715262,109.7544674,,1068512.548247862,1056282.807855692,12229.74039
317,1162507.556904722,9327.147023,,1153180.409881322,1137407.819978652,15772.5899
318,1112824.683370712,109.7544674,,1112714.928903312,1099234.597312942,13480.33159
319,1230031.995698482,3047.791447,,1226984.204251682,1217356.359398112,9627.844854
320,1210344.497016182,2524.112931,,1207820.384085182,1199762.168006412,8058.216079
321,1160051.667547142,3612.44897,,1156439.218576942,1140666.628674272,15772.5899
322,1135466.818285532,0,,1135466.818285532,1120106.776658362,15360.04163
323,1061324.819855602,474.9136958,,1060849.906159802,1051644.473557832,9205.432602
324,1007039.9893422821,2999.026627,,1004040.962715482,994341.6134,9699.349342
325,1084697.563846322,0,,1084697.563846322,1071217.232255952,13480.33159
328,1204985.559548552,0,,1204985.559548552,1195380.658223482,9604.901325
329,1102290.524164622,0,,1102290.524164622,1095789.553735652,6500.970429
330,923779.2469,1107.734883,,922671.512,904041.604,18629.90799
331,1297184.710880202,0,,1297184.710880202,1287726.516025732,9458.194854
332,881599.6245,741.1702632,,880858.4542,874731.1216,6127.332575
333,1181825.419881452,0,,1181825.419881452,1171187.614907482,10637.80497
334,92290.12113,2524.112932,,89766.0082,89766.0082,0
400,102576.697,4.814E-05,,102576.697,102576.697,0
401,150048.5287,-1.087E-05,,150048.5287,143050.1302,6998.398486
402,152807.0351,-4.857E-05,,152807.0351,152060.3472,746.6878339
405,575861.9748,263.3180396,,575598.6568,567499.1507,8099.506045
406,508653.2067,3.37E-05,,508653.2067,383648.9229,125004.2838
407,583302.6136,-2.31003E-06,,583302.6136,578806.3505,4496.263109
408,669406.9364,9198.318266,,660208.6181,632384.2203,27824.39781
409,1019158.282,5712.071069,,1013446.211,1004835.983,8610.22723
410,1166179.347116022,2865.91445,,1163313.432666322,1110394.050209022,52919.38246
411,1343698.802797996,356.2589233,,1343342.543874696,1332359.446150176,10983.09772
412,967831.5858,43050.11159,,924781.4742,903907.1521,20874.32204
413,1210838.557058782,418771.2929,,792067.2642,767494.1719,24573.09228
414,974975.2037,16256.29371,,958718.91,950474.2479,8244.662062
415,1210838.557058782,465466.3023,,745372.2548,714032.2705,31339.98426
416,861419.9134,86449.50363,,774970.4098,757062.4687,17907.94114
417,946600.6176,248053.8248,,698546.7928,662995.1605,35551.63223
418,1099108.512,2976.385267,,1096132.127,1058916.5,37215.62779
420,899598.7341126701,31224.46921,,868374.2649,844819.7232,23554.5417
421,685543.7318,879.4386488,,684664.2932,585551.1319,99113.16127
422,664218.9736,5692.701992,,658526.2716,549963.1175,108563.1541
423,689289.3298,879.4387272,,688409.8911,563220.5766,125189.3145
424,616520.592,6247.982427,,610272.6096,522965.445,87307.16457
425,493205.528,3.322E-05,,493205.528,432077.543,61127.98501
426,825391.7659,16228.0391,,809163.7268,626506.734,182656.9928
428,120023.2101,-4.857E-05,,120023.2101,118137.97210243001,1885.237949
429,122803.0794,150.4727746,,122652.6066,108000.218,14652.3886
430,39602.28354,3.07E-06,,39602.28354,39602.28354,0
433,1219319.969601362,12499.74552,,1206820.224081432,1153027.201506262,53793.02258
434,1000514.739,19037.19935,,981477.5393,959593.2032,21884.33613
435,51075.49511,-2.2E-06,,51075.49511,51075.49511,0
500,893317.4178333901,928.1853334,,892389.2325,890059.0177,2330.214749
501,804464.3243,-4.83E-05,,804464.3243,802580.6607,1883.663537
502,831827.8083,5782.234623,,826045.5737,824355.3061,1690.267546
503,695966.335,-1.26997E-06,,695966.335,691648.9906,4317.344388
504,711610.6512,1.858E-05,,711610.6512,704952.5893,6658.061896
505,755503.4767,20278.61601,,735224.8607,723507.4149,11717.44583
508,633420.4954,-4.67401E-05,,633420.4954,631804.6174,1615.877954
509,587319.1579,-5.91995E-06,,587319.1579,586817.6638,501.4940992
510,589244.1921,2.168E-05,,589244.1921,588645.6455,598.5466444
511,789300.2594,3.85001E-05,,789300.2594,788134.6585,1165.600933
512,716162.7163,3.16601E-05,,716162.7163,713057.5064,3105.209898
513,632668.0002,-2.674E-05,,632668.0002,629597.8885,3070.111641
514,676822.2804,-3.894E-05,,676822.2804,673586.5733,3235.707047
517,1248150.248410112,0,,1248150.248410112,1244583.942530512,3566.30588
518,1101894.940342472,9645.798846,,1092249.141496872,1090520.321215902,1728.820281
519,989426.1909,1865.356262,,987560.8346,984291.4676,3269.366952
520,1039020.966590742,1008.884261,,1038012.082329742,1034115.814586272,3896.267743
521,962045.0668,1008.884241,,961036.1826,959307.3623,1728.820281
522,892351.6254,16635.99697,,875715.6284,844952.8101,30762.81827
