num_opportunities,EMP_2016,,,,,
1,1144934.481866102,0,,1144934.481866102,1108980.444872382,35954.03699
2,1229205.698370732,10474.8249,,1218730.873466732,1185730.010757112,33000.86271
3,1361231.644011492,4404.054077,,1356827.589934492,1338120.252436902,18707.3375
4,1460686.0156210011,1933.002328,,1458753.013293001,1442749.155054311,16003.85824
5,1452175.610822814,1933.002328,,1450242.608494814,1434238.7502561242,16003.85824
6,1180567.475195832,1134.316729,,1179433.158467032,1145536.797664512,33896.3608
7,1254767.081841932,9645.798846,,1245121.282996332,1223810.103000062,21311.18
8,1236634.8313097341,9645.798846,,1226989.032464134,1203997.1169408641,22991.91552
9,1121711.594042802,0,,1121711.594042802,1093800.809715282,27910.78433
10,1212813.6149817342,9436.901491,,1203376.713490934,1180384.7979676642,22991.91552
11,1134187.781169302,1682.198574,,1132505.582595302,1101875.229821732,30630.35277
12,1176492.506893902,989.1931518,,1175503.3137421021,1143588.881946932,31914.4318
13,1275260.4811524842,3366.443269,,1271894.037883484,1261567.082204414,10326.95568
14,1300570.983333114,3788.961731,,1296782.0216019142,1286408.675364824,10373.34624
15,1224096.427246934,9645.798846,,1214450.6284013342,1188332.4903218641,26118.13808
16,1314258.079577604,989.6980424,,1313268.3815352041,1301063.838763914,12204.54277
17,1237548.742872334,9645.798846,,1227902.9440267342,1209010.884871464,18892.05916
18,1292735.564379952,10169.47736,,1282566.087018552,1260158.551372082,22407.53565
19,1294789.392251752,10169.47736,,1284619.914890352,1262212.379243882,22407.53565
20,1329837.359777474,4452.506981,,1325384.852796474,1312504.7905628842,12880.06223
21,1365893.3821939442,1933.002328,,1363960.3798659442,1349344.865008254,14615.51486
22,1424954.819570214,2130.694781,,1422824.124788814,1408027.163612324,14796.96118
23,1402250.166065294,2587.11064,,1399663.055425594,1388877.7643930041,10785.29103
24,1340495.031667604,4404.054077,,1336090.977590604,1321375.2243295142,14715.75326
25,1462650.728847024,3205.032641,,1459445.696206124,1437731.6419346342,21714.05427
26,1535250.059007901,1401.873289,,1533848.185718601,1516676.8660574812,17171.31966
27,1465409.0011423142,4136.906514,,1461272.0946280141,1442677.090096924,18595.00453
28,1482804.2071693041,3748.751612,,1479055.455557604,1458174.2700786141,20881.18548
29,1521916.6489829712,1868.602638,,1520048.046345171,1499384.4541729812,20663.59217
30,1490349.9085891212,3748.751612,,1486601.1569774211,1462236.3276310312,24364.82935
31,1464585.7948444812,2346.878322,,1462238.916522081,1447822.2215528912,14416.69497
32,1492490.638438631,693.218554,,1491797.4198846312,1479084.076671441,12713.34321
33,1448229.3340570312,3639.308353,,1444590.025704431,1433867.690890911,10722.33481
34,1446170.489443781,3639.308353,,1442531.181091181,1431808.8462776612,10722.33481
35,1279621.700266134,3047.791447,,1276573.908819334,1266172.2824346642,10401.62638
36,1506223.121783406,4136.906514,,1502086.2152691062,1486941.532393916,15144.68288
37,1554499.962571986,1878.908302,,1552621.054269686,1532663.213223196,19957.84105
38,1570210.686644056,1878.908302,,1568331.7783417562,1547934.381031166,20397.39731
39,1566820.6208127262,1868.602638,,1564952.018174926,1544851.9767066361,20100.04147
40,1576236.747338056,1868.602638,,1574368.1447002562,1553255.768597016,21112.3761
41,1536808.1904890812,2235.167226,,1534573.0232634812,1511518.989190591,23054.03407
42,1526364.4316802812,3748.751612,,1522615.6800685811,1496993.3956725912,25622.2844
43,1509580.0050634912,4136.906514,,1505443.0985491911,1488139.618303901,17303.48025
44,1493497.106650186,852.3067347,,1492644.799915486,1480882.887882366,11761.91203
