num_opportunities,EMP_2016,,,ERP_2016,,
1,1123755.397,1099931.164,23824.23314,0.00010299,2.52E-05,"457,073"
2,1219690.556,1188749.677,30940.87909,0.00010299,2.74E-05,
3,1353963.803,1336597.471,17366.33136,0.00010299,3.04E-05,
4,1447146.338,1434338.518,12807.8198,58.99529221,18.58895997,
5,1438635.933,1425828.113,12807.8198,142.8118795,44.73428744,
6,1168907.672,1144015.318,24892.35395,48.40819099,12.32038695,
7,1252168.194,1224440.232,27727.96132,178.3730884,48.63145748,
8,1233136.82,1203647.425,29489.39471,62.80657353,16.8632645,
9,1108136.765,1089044.08,19092.68504,377.5755298,91.10086279,
10,1197518.868,1177436.651,20082.21709,92.57474947,24.13793959,
11,1127834.317,1103143.174,24691.14283,0.00010299,2.53E-05,
12,1162524.78,1139271.521,23253.25879,24.53771006,6.211000083,
13,1274147.056,1260453.657,13693.39895,32.26452915,8.950971461,
14,1293804.102,1280429.354,13374.74713,14.29122678,4.025903123,
15,1214782.841,1190614.932,24167.90893,26.29969088,6.956240336,
16,1310404.45,1299324.508,11079.94128,0.00010299,2.94E-05,
17,1235645.154,1207419.095,28226.05958,0.00010299,2.77E-05,
18,1290498.782,1258727.352,31771.42957,56.94404446,16.00041306,
19,1293087.485,1261316.055,31771.42957,373.1507618,105.0600315,
20,1328054.359,1315359.115,12695.24387,73.75688622,21.32768468,
21,1357314.558,1346300.28,11014.27812,12.42697009,3.672578148,
22,1420236.749,1408220.392,12016.35671,0.00010299,3.18E-05,
23,1399613.213,1391814.067,7799.146639,312.8469003,95.33781095,
24,1334875.253,1321500.506,13374.74713,181.1260925,52.6437703,
25,1449089.299,1429100.459,19988.8395,7.067088463,2.229774593,
26,1520644.942,1509892.374,10752.56768,6.464326556,2.140308591,
27,1457841.933,1439892.511,17949.42226,208.3514625,66.13513997,
28,1469830.545,1452619.673,17210.87239,289.3970132,92.61612332,
29,1514206.25,1497092.192,17114.05773,0.642453825,0.211812818,
30,1477372.789,1459115.736,18257.05382,27.62682143,8.886818329,
31,1466668.674,1451409.389,15259.28477,16.333015,5.215832819,
32,1487626.379,1475724.106,11902.27325,266.4666687,86.3101853,
33,1448840.102,1434478.459,14361.64317,0.00010299,3.25E-05,
34,1436879.697,1425782.25,11097.44708,27.43729271,8.583945478,
35,1278602.441,1265153.023,13449.41783,13.848952,3.855473521,
36,1501014.252,1484167.261,16846.99054,0.00010299,3.37E-05,
37,1548546.205,1533520.737,15025.46843,0.00010299,3.47E-05,
38,1558550.108,1543904.906,14645.20222,0.642446818,0.218013425,
39,1564275.397,1546883.191,17392.20507,0.00010299,3.50779E-05,
40,1565803.342,1548153.882,17649.45965,82.63511608,28.17261386,
41,1539878.625,1520121.632,19756.99287,6.083398538,2.03966125,
42,1519977.244,1498892.792,21084.45154,0.00010299,3.41E-05,
43,1493168.963,1477008.729,16160.23426,0.00010299,3.35E-05,
44,1484023.865,1473073.023,10950.84207,0.00010299,3.33E-05,
45,1460657.854,1448935.466,11722.3877,179.8712483,57.20520319,
46,1585560.433,1571932.289,13628.14432,92.55002448,31.95101236,
47,1593370.671,1576696.86,16673.81182,242.9354251,84.28163526,
48,1606294.682,1583613.334,22681.34836,12.38459587,4.331440436,
49,1555723.061,1534006.272,21716.7891,16.65509752,5.641632015,
