num_opportunities,EMP_2016,,,,
86,675059.3401,1.576E-05,675059.3401,664435.1375,10624.20259
87,690336.2135,7.16001E-06,690336.2135,681737.1961,8599.017396
88,600156.6679,698.7010263,599457.9668663921,561994.6468,37463.32008
89,542251.5142,1.77621E-05,542251.5142,509179.3263,33072.18792
90,539650.6390140901,0,539650.6390140901,536905.2144,2745.424583
91,510433.1916,1.729E-05,510433.1916,507687.767,2745.424583
92,636666.069,2.126E-05,636666.069,629171.9612,7494.10783
93,679835.3723,3.276E-05,679835.3723,670392.4284,9442.943897
94,703609.9865,-3.257E-05,703609.9865,694974.4536,8635.532888
95,731821.7485,698.7010263,731123.0474336001,708250.7256,22872.32184
96,712884.2208,4.97299E-05,712884.2208,703359.3441,9524.876771
97,666966.2137,-1.50399E-05,666966.2137,659982.8692,6983.344474
98,684016.0368,-1.74399E-05,684016.0368,673391.8342,10624.20259
99,580226.8202,-4.291E-05,580226.8202,580226.8202,0
100,541754.7606,1.849E-05,541754.7606,541650.0289,104.731737
101,636711.8998581601,0,636711.8998581601,629217.792,7494.10783
102,654112.1076,-3.17399E-05,654112.1076,642977.1416,11134.96595
103,755312.2204,-9.79996E-06,755312.2204,738848.3426,16463.87778
104,788996.6552,4.192E-05,788996.6552,774605.9852,14390.67006
105,757406.7804,-4.255E-05,757406.7804,748468.6536,8938.12676
106,716336.5128,-1.682E-05,716336.5128,709353.1683,6983.344474
107,681985.8491,-6.63998E-06,681985.8491,681985.8491,0
108,480250.59372241003,0,480250.59372241003,479547.3153,703.2783814
109,607151.818,-2.96399E-05,607151.818,606152.3387,999.4792389
110,645741.504,4.88601E-05,645741.504,635787.7968,9953.707253
111,724716.6158,-1.04001E-05,724716.6158,705289.5609594301,19427.05483
112,761637.1404,3.17E-05,761637.1404,744324.2991,17312.84137
113,707864.8409,4.273E-05,707864.8409,699229.3081,8635.532888
114,657334.3760232601,0,657334.3760232601,646199.4101,11134.96595
115,686949.8531,-3.374E-05,686949.8531,679966.5086,6983.344474
116,702247.7702,4.046E-05,702247.7702,695264.4258,6983.344474
117,585250.7093,1.01801E-05,585250.7093,584761.9934,488.7158832
118,639766.5159,1.556E-05,639766.5159,632272.4081,7494.10783
119,670596.2101,-3.02005E-06,670596.2101,663612.8656,6983.344474
120,663586.3616,-1.67199E-05,663586.3616,663586.3616,0
121,686220.1847,-3.18399E-05,686220.1847,679236.8402,6983.344474
122,675158.8972,-2.464E-05,675158.8972,668175.5527,6983.344474
123,626821.6364,3.12801E-05,626821.6364,626821.6364,0
124,614758.0999,-4.812E-05,614758.0999,614758.0999,0
125,550197.904,-6.71996E-06,550197.904,549709.1881,488.7158832
126,579475.1401,4.13801E-05,579475.1401,577839.0255581801,1636.114583
127,617662.3749,4.938E-05,617662.3749,617046.8799,615.4950927
128,645405.9671,1.47599E-05,645405.9671,637911.8593,7494.10783
129,663086.4974,1.026E-05,663086.4974,654747.4184,8339.079017
130,646274.0034,1.33599E-05,646274.0034,639290.6589393601,6983.344474
131,616418.236,3.28E-06,616418.236,616418.236,0
132,642089.0193,4.33599E-05,642089.0193,642089.0193,0
133,652292.9692,6.56E-06,652292.9692,645309.6247,6983.344474
134,684345.4405,-4.69501E-05,684345.4405,677362.096,6983.344474
135,617862.2285454801,0,617862.2285454801,617862.2285454801,0
136,488139.5422,-4.149E-05,488139.5422,487540.9955,598.5466444
137,617862.2285454801,0,617862.2285454801,617862.2285454801,0
138,691056.7267,8.5996E-07,691056.7267,684073.3822,6983.344474
139,668261.5177,-6.81996E-06,668261.5177,661278.1732,6983.344474
140,617199.3482,3.838E-05,617199.3482,617199.3482,0
141,588138.3026,4.338E-05,588138.3026,588138.3026,0
142,654730.7362,8.57993E-06,654730.7362,654730.7362,0
143,698627.9488,4.97299E-05,698627.9488,691644.6044,6983.344474
144,589337.8661,-4.732E-05,589337.8661,589337.8661,0
145,702070.8555,-3.814E-05,702070.8555,695087.511,6983.344474
146,765235.0863935701,0,765235.0863935701,757147.877,8087.209354
147,16745.5369,1.6E-06,16745.5369,16745.5369,0
148,83546.30351,-4.42E-06,83546.30351,83546.30351,0
149,544846.9211,-1.211E-05,544846.9211,528643.0759,16203.84522
150,534366.6772,-4.711E-05,534366.6772,521584.0769,12782.60023
151,485335.7283,-3.947E-05,485335.7283,451304.2695,34031.45877
152,426465.6492,-2.71801E-06,426465.6492,425229.5041,1236.14512
153,520320.851,2.9492E-05,520320.851,486736.6381,33584.21297
154,664176.7505,698.7010525,663478.0494,601360.3522,62117.69718
155,588098.62,-1.8388E-05,588098.62,543724.2887,44374.33133
156,498018.4901,2.6062E-05,498018.4901,477372.2713,20646.21887
157,457355.9663,-2.3238E-05,457355.9663,442247.3236,15108.64264
158,403882.4939,-3.22E-05,403882.4939,402037.0128,1845.481033
159,492477.16898240004,0,492477.16898240004,491975.67488320003,501.4940992
160,552968.1933,2.59799E-05,552968.1933,552968.1933,0
161,743754.6452,13433.64632,730320.9989,677554.6964,52766.30243
162,684918.8436,-2.287E-05,684918.8436,662111.0857,22807.75785
163,102828.5062,4.906E-05,102828.5062,102828.5062,0
164,245372.5065,1.796E-05,245372.5065,245372.5065,0
165,394722.24338390003,0,394722.24338390003,394722.24338390003,0
166,277078.3322,4.206E-05,277078.3322,277078.3322,0
167,185414.2069,-3.854E-05,185414.2069,185414.2069,0
168,548999.2747,3.71004E-06,548999.2747,548999.2747,0
169,477002.7311,-1.97E-05,477002.7311,477002.7311,0
170,490000.4284,4.44E-05,490000.4284,490000.4284,0
171,542146.3096,-2.39001E-05,542146.3096,541644.8155,501.4940992
172,450180.6451,-2.1E-05,450180.6451,450180.6451,0
173,320642.5594,1.126E-05,320642.5594,320642.5594,0
174,670998.4729,-1.907E-05,670998.4729,646578.0606,24420.41229
175,481084.4472,3.437E-05,481084.4472,481084.4472,0
176,586009.4383,2.93599E-05,586009.4383,586009.4383,0
177,614430.5337,3.68E-06,614430.5337,614430.5337,0
178,543579.9625,-1.692E-05,543579.9625,543579.9625,0
179,494666.2238,2.94E-05,494666.2238,494666.2238,0
180,388003.5332,-1.02E-05,388003.5332,388003.5332,0
181,554074.3813,-1.552E-05,554074.3813,554074.3813,0
182,528820.7599,1.10801E-05,528820.7599,528820.7599,0
183,419907.2677,-2.73E-06,419907.2677,419907.2677,0
184,531156.7638,4.03801E-05,531156.7638,531156.7638,0
185,441353.1774,-1.82999E-06,441353.1774,441353.1774,0
186,431320.5414,4.0242E-05,431320.5414,423034.2706,8286.270881
187,629649.4343,698.7010467,628950.7333,566104.4491140121,62846.28421
188,579859.9689,-4.31994E-06,579859.9689,579859.9689,0
189,573563.6181,4.35801E-05,573563.6181,573563.6181,0
190,532768.243,1.05799E-05,532768.243,532768.243,0
191,514073.0498,4.608E-05,514073.0498,514073.0498,0
192,643973.9129,4E-05,643973.9129,643973.9129,0
193,539487.0398,-4.642E-05,539487.0398,539487.0398,0
194,747518.2738663501,0,747518.2738663501,745287.2469,2231.026951
195,617195.2054,-4.77199E-05,617195.2054,617195.2054,0
196,439019.6337,-5.72001E-06,439019.6337,439019.6337,0
197,747115.9638,7.35E-06,747115.9638,744884.9369,2231.026951
198,614151.6853,-4.342E-05,614151.6853,608295.5029,5856.182403
199,419798.5096,1.358E-05,419798.5096,419798.5096,0
200,627705.1265,3.415E-05,627705.1265,627705.1265,0
201,573482.7661,2.75E-05,573482.7661,572355.6041,1127.162071
202,415699.413,1.828E-05,415699.413,415699.413,0
205,563691.9419,-1.422E-05,563691.9419,563691.9419,0
206,470594.7031,7.28003E-06,470594.7031,470594.7031,0
207,334235.2435,1.57004E-06,334235.2435,334235.2435,0
208,646279.3503,3.12299E-05,646279.3503,639296.0059,6983.344474
209,416643.865,2.428E-05,416643.865,416643.865,0
210,590325.7246,-5.20993E-06,590325.7246,590325.7246,0
211,592448.5906,223.7872828,592224.8033,573895.9503,18328.853
212,450404.786,2.237E-05,450404.786,450404.786,0
213,428665.0099,7.57002E-06,428665.0099,421201.8302,7463.179677
214,263222.0435,1.068E-05,263222.0435,263222.0435,0
215,702821.5499,698.7010655,702122.8488,685872.3126,16250.5362
216,395633.1338,1.75001E-06,395633.1338,395633.1338,0
217,544848.013,698.7010204,544149.312,517120.9486,27028.36342
218,444967.2313,-6.22997E-06,444967.2313,432414.2607,12552.97063
219,443236.5355,-1.043E-05,443236.5355,433588.0272,9648.508308
220,330166.7654,-4.832E-05,330166.7654,324633.5448,5533.220564
221,143340.4475,-7.78001E-06,143340.4475,143340.4475,0
222,446054.2449,2.327E-05,446054.2449,433501.2743,12552.97063
223,58253.43987,6.09994E-07,58253.43987,58253.43987,0
224,511696.7858,-1.013E-05,511696.7858,504713.44131587003,6983.344474
225,78841.58559,1.60999E-06,78841.58559,78841.58559,0
226,90553.53979,-1.94799E-06,90553.53979,90553.53979,0
227,265562.9106,8.562E-06,265562.9106,242057.7011,23505.20955
228,284281.0702,-1.8648E-05,284281.0702,254817.22,29463.85016
229,175894.7371,4.45201E-06,175894.7371,164668.5663,11226.17078
230,75715.34645,-2.47994E-07,75715.34645,75715.34645,0
231,161914.2738,4.544E-05,161914.2738,161914.2738,0
232,237218.9607,2.612E-05,237218.9607,237218.9607,0
233,210765.9815,3.2672E-05,210765.9815,210765.9815,0
236,140646.4762,4.404E-05,140646.4762,140646.4762,0
237,86075.25801,4.1E-06,86075.25801,86075.25801,0
238,95617.40411,1.6E-06,95617.40411,95617.40411,0
239,334482.4059,2.08E-05,334482.4059,334482.4059,0
240,549248.1944,-2.353E-05,549248.1944,549248.1944,0
241,99051.17357,1.14E-06,99051.17357,99051.17357,0
242,192899.9613,-3.307E-05,192899.9613,192899.9613,0
243,213602.5096,-6.06E-06,213602.5096,213602.5096,0
244,545939.6992,-1.463E-05,545939.6992,545939.6992,0
245,307154.0562,-2.766E-05,307154.0562,307154.0562,0
246,258574.82547281001,0,258574.82547281001,258574.82547281001,0
247,321713.114,1.689E-05,321713.114,321713.114,0
248,360390.4322,4.124E-05,360390.4322,360390.4322,0
249,364607.7169,-1.151E-05,364607.7169,364607.7169,0
250,126703.4738,-2.134E-05,126703.4738,126703.4738,0
251,73531.84092,2.56E-06,73531.84092,73531.84092,0
252,110316.35715530001,0,110316.35715530001,110316.35715530001,0
253,57746.27346,-4.6E-06,57746.27346,57746.27346,0
254,452590.2474,-2.591E-05,452590.2474,452590.2474,0
255,322396.6794,3.861E-05,322396.6794,322396.6794,0
256,191964.511,-4.876E-05,191964.511,191964.511,0
257,101626.8896,2.801E-05,101626.8896,93446.28139,8180.608236
258,416884.2817,698.7010583,416185.5806,204693.901,211491.6797
259,90204.0012,4.43E-06,90204.0012,90204.0012,0
260,79086.84443,4.04E-06,79086.84443,79086.84443,0
261,61089.34445,3.4E-06,61089.34445,61089.34445,0
262,237678.5282,3.321E-05,237678.5282,94947.28603,142731.2422
263,86413.0335,4.59999E-06,86413.0335,54043.05679,32369.97671
264,537721.4639318701,698.7010319,537022.7629,337505.4331,199517.3298
265,47060.56599,-1.68E-06,47060.56599,47060.56599,0
266,76903.59664,-3.97001E-06,76903.59664,76903.59664,0
267,43515.82652,2.84E-06,43515.82652,43515.82652,0
268,430360.1124,698.7010185,429661.4114,207485.7146,222175.6968
270,463111.8532,698.7010711,462413.1521,371603.5165,90809.63561
271,460255.754,-4.718E-05,460255.754,386853.9118,73401.84215
272,167594.8982,3.402E-05,167594.8982,146451.0923,21143.80594
273,160118.9261,-2.558E-05,160118.9261,155405.3193,4713.606822
274,531267.2402,474.9137258,530792.3265,327176.9363,203615.3903
275,457158.5648,698.7010618,456459.8637,241638.8063,214821.0575
276,203103.1751,-3.242E-05,203103.1751,89936.18254,113166.9925
277,534964.4832,474.9136668,534489.5695,264170.80580591003,270318.7637
